Mainstream	mainstream	Mainstream
abortion	abort	abortion
.	.	.
In	in	In
many	mani	many
of	of	of
these	these	these
countries	countri	country
,	,	,
late	late	late
-term	-term	-term
abortions	abort	abortion
are	are	are
legal	legal	legal
in	in	in
cases	case	case
of	of	of
fetal	fetal	fetal
anomalies	anomali	anomaly
,	,	,
such	such	such
as	as	a
Down	down	Down
syndrome	syndrom	syndrome
.	.	.

The	the	The
UK	uk	UK
,	,	,
for	for	for
example	exampl	example
,	,	,
prohibits	prohibit	prohibits
abortions	abort	abortion
after	after	after
24	24	24
weeks	week	week
but	but	but
allows	allow	allows
wide	wide	wide
exceptions	except	exception
for	for	for
late	late	late
-term	-term	-term
abortions	abort	abortion
involving	involv	involving
fetal	fetal	fetal
anomalies	anomali	anomaly
.	.	.
Iceland	iceland	Iceland
hospital	hospit	hospital
counselor	counselor	counselor
Helga	helga	Helga
Sol	sol	Sol
Olafsdottir	olafsdottir	Olafsdottir
does	doe	doe
not	not	not
see	see	see
any	ani	any
problem	problem	problem
with	with	with
the	the	the
fact	fact	fact
that	that	that
so	so	so
many	mani	many
women	women	woman
are	are	are
having	have	having
their	their	their
unborn	unborn	unborn
babies	babi	baby
aborted	abort	aborted
because	becaus	because
of	of	of
Down	down	Down
syndrome	syndrom	syndrome
.	.	.

This	this	This
systematic	systemat	systematic
discrimination	discrimin	discrimination
is	is	is
simply	simpli	simply
a	a	a
woman	woman	woman
s	s	s
choice	choic	choice
in	in	in
her	her	her
mind	mind	mind
.	.	.
The	the	The
issue	issu	issue
is	is	is
not	not	not
gray	gray	gray
.	.	.

It	it	It
s	s	s
very	veri	very
clearly	clear	clearly
wrong	wrong	wrong
,	,	,
says	say	say
Penny	penni	Penny
Nace	nace	Nace
,	,	,
president	presid	president
and	and	and
CEO	ceo	CEO
of	of	of
Concerned	concern	Concerned
Women	women	Women
for	for	for
America	america	America
.	.	.

This	this	This
is	is	is
eugenics	eugen	eugenics
and	and	and
barbarianism	barbarian	barbarianism
at	at	at
best	best	best
,	,	,
Nace	nace	Nace
said	said	said
.	.	.

These	these	These
individuals	individu	individual
have	have	have
no	no	no
less	less	le
worth	worth	worth
than	than	than
anyone	anyon	anyone
else	els	else
.	.	.

Iceland	iceland	Iceland
and	and	and
many	mani	many
other	other	other
countries	countri	country
are	are	are
killing	kill	killing
human	human	human
beings	be	being
in	in	in
abortions	abort	abortion
simply	simpli	simply
because	becaus	because
they	they	they
have	have	have
a	a	a
disability	disabl	disability
.	.	.

Down	down	Down
syndrome	syndrom	syndrome
varies	vari	varies
in	in	in
severity	sever	severity
,	,	,
but	but	but
most	most	most
people	peopl	people
with	with	with
the	the	the
genetic	genet	genetic
disorder	disord	disorder
live	live	live
into	into	into
their	their	their
60s	60s	60
.	.	.

Some	some	Some
even	even	even
live	live	live
on	on	on
their	their	their
own	own	own
,	,	,
hold	hold	hold
down	down	down
jobs	job	job
,	,	,
go	go	go
to	to	to
college	colleg	college
and	and	and
get	get	get
married	marri	married
.	.	.
For	for	For
entire	entir	entire
story	stori	story
Life	life	Life
News	news	News

