Rafeal	rafeal	Rafeal
three	three	three
days	day	day
after	after	after
Encinia	encinia	Encinia
took	took	took
her	her	her
into	into	into
custody	custodi	custody
.	.	.
The	the	The
28	28	28
-year-old	-year-old	-year-old
civil	civil	civil
rights	right	right
leader	leader	leader
was	was	wa
in	in	in
the	the	the
process	process	process
of	of	of
moving	move	moving
from	from	from
the	the	the
Chicago	chicago	Chicago
area	area	area
to	to	to
Texas	texa	Texas
,	,	,
where	where	where
she	she	she
was	was	wa
scheduled	schedul	scheduled
to	to	to
begin	begin	begin
work	work	work
at	at	at
Prairie	prairi	Prairie
View	view	View
A	a	A
M	m	M
University	univers	University
.	.	.
Those	those	Those
who	who	who
were	were	were
closest	closest	closest
to	to	to
her	her	her
say	say	say
that	that	that
her	her	her
spirits	spirit	spirit
were	were	were
good	good	good
and	and	and
she	she	she
was	was	wa
excited	excit	excited
at	at	at
the	the	the
prospect	prospect	prospect
of	of	of
her	her	her
new	new	new
job	job	job
and	and	and
life	life	life
in	in	in
Texas	texa	Texas
.	.	.
Watch	watch	Watch
the	the	the
video	video	video
below	below	below
,	,	,
courtesy	courtesi	courtesy
of	of	of
Democracy	democraci	Democracy
Now	now	Now
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
