Seriously	serious	Seriously
gave	gave	gave
Turk	turk	Turk
a	a	a
choice	choic	choice
,	,	,
enroll	enrol	enroll
in	in	in
a	a	a
diversion	divers	diversion
program	program	program
by	by	by
admitting	admit	admitting
to	to	to
a	a	a
crime	crime	crime
he	he	he
didn	didn	didn
t	t	t
commit	commit	commit
,	,	,
or	or	or
face	face	face
a	a	a
trial	trial	trial
in	in	in
a	a	a
courtroom	courtroom	courtroom
.	.	.
Again	again	Again
,	,	,
this	this	this
is	is	is
all	all	all
because	becaus	because
Ryan	ryan	Ryan
went	went	went
back	back	back
for	for	for
the	the	the
milk	milk	milk
he	he	he
forgot	forgot	forgot
as	as	a
part	part	part
of	of	of
his	his	his
lunch	lunch	lunch
.	.	.

It	it	It
s	s	s
a	a	a
65	65	65
-cent	-cent	-cent
milk	milk	milk
for	for	for
crying	cri	cry
out	out	out
loud	loud	loud
,	,	,
not	not	not
the	the	the
Mona	mona	Mona
Lisa	lisa	Lisa
.	.	.
Rightfully	right	Rightfully
so	so	so
,	,	,
Ryan	ryan	Ryan
s	s	s
mother	mother	mother
rejected	reject	rejected
the	the	the
first	first	first
choice	choic	choice
.	.	.

My	my	My
son	son	son
is	is	is
not	not	not
going	go	going
to	to	to
admit	admit	admit
to	to	to
something	someth	something
he	he	he
did	did	did
not	not	not
do	do	do
,	,	,
she	she	she
told	told	told
the	the	the
Washington	washington	Washington
Post	post	Post
.	.	.
Turk	turk	Turk
and	and	and
his	his	his
mother	mother	mother
also	also	also
contend	contend	contend
that	that	that
race	race	race
has	has	ha
something	someth	something
to	to	to
do	do	do
with	with	with
the	the	the
incident	incid	incident
because	becaus	because
Ryan	ryan	Ryan
has	has	ha
seen	seen	seen
many	mani	many
other	other	other
students	student	student
do	do	do
the	the	the
exact	exact	exact
same	same	same
thing	thing	thing
he	he	he
did	did	did
without	without	without
being	be	being
confronted	confront	confronted
by	by	by
school	school	school
security	secur	security
.	.	.
The	the	The
school	school	school
has	has	ha
dismissed	dismiss	dismissed
the	the	the
accusation	accus	accusation
that	that	that
racism	racism	racism
had	had	had
anything	anyth	anything
to	to	to
do	do	do
with	with	with
the	the	the
situation	situat	situation
because	becaus	because
the	the	the
security	secur	security
guard	guard	guard
and	and	and
the	the	the
principal	princip	principal
are	are	are
both	both	both
black	black	black
.	.	.

But	but	But
Turk	turk	Turk
s	s	s
attorney	attorney	attorney
Emmett	emmett	Emmett
Robinson	robinson	Robinson
begs	beg	begs
to	to	to
differ	differ	differ
.	.	.

It	it	It
s	s	s
not	not	not
the	the	the
players	player	player
,	,	,
it	it	it
s	s	s
not	not	not
the	the	the
people	peopl	people
who	who	who
discriminate	discrimin	discriminate
;	;	;
it	it	it
s	s	s
the	the	the
whole	whole	whole
system	system	system
,	,	,
Robinson	robinson	Robinson
said	said	said
,	,	,
The	the	The
system	system	system
is	is	is
set	set	set
up	up	up
now	now	now
so	so	so
that	that	that
school	school	school
resource	resourc	resource
officers	offic	officer
get	get	get
to	to	to
determine	determin	determine
the	the	the
impact	impact	impact
on	on	on
a	a	a
person	person	person
s	s	s
life	life	life
.	.	.

Indeed	inde	Indeed
,	,	,
treating	treat	treating
black	black	black
kids	kid	kid
like	like	like
criminals	crimin	criminal
has	has	ha
ended	end	ended
up	up	up
creating	creat	creating
a	a	a
vicious	vicious	vicious
cycle	cycl	cycle
that	that	that
has	has	ha
resulted	result	resulted
in	in	in
the	the	the
disproportionate	disproportion	disproportionate
imprisonment	imprison	imprisonment
of	of	of
blacks	black	black
in	in	in
this	this	this
country	countri	country
.	.	.
There	there	There
is	is	is
little	littl	little
doubt	doubt	doubt
that	that	that
if	if	if
Ryan	ryan	Ryan
had	had	had
been	been	been
white	white	white
he	he	he
would	would	would
have	have	have
never	never	never
been	been	been
approached	approach	approached
by	by	by
the	the	the
security	secur	security
officer	offic	officer
.	.	.
The	the	The
fact	fact	fact
is	is	is
that	that	that
Ryan	ryan	Ryan
Turk	turk	Turk
was	was	wa
entitled	entitl	entitled
to	to	to
have	have	have
a	a	a
milk	milk	milk
with	with	with
his	his	his
lunch	lunch	lunch
,	,	,
which	which	which
is	is	is
FREE	free	FREE
.	.	.

He	he	He
just	just	just
forgot	forgot	forgot
it	it	it
and	and	and
merely	mere	merely
did	did	did
what	what	what
he	he	he
has	has	ha
seen	seen	seen
other	other	other
students	student	student
do	do	do
.	.	.

Security	secur	Security
did	did	did
not	not	not
have	have	have
a	a	a
problem	problem	problem
with	with	with
those	those	those
other	other	other
kids	kid	kid
going	go	going
back	back	back
for	for	for
their	their	their
forgotten	forgotten	forgotten
milk	milk	milk
.	.	.

So	so	So
why	whi	why
did	did	did
the	the	the
security	secur	security
officer	offic	officer
treat	treat	treat
Ryan	ryan	Ryan
differently	differ	differently
?	?	?

Race	race	Race
must	must	must
have	have	have
played	play	played
a	a	a
role	role	role
.	.	.

And	and	And
even	even	even
if	if	if
it	it	it
didn	didn	didn
t	t	t
,	,	,
having	have	having
a	a	a
child	child	child
arrested	arrest	arrested
over	over	over
a	a	a
65	65	65
-cent	-cent	-cent
carton	carton	carton
of	of	of
milk	milk	milk
is	is	is
absolutely	absolut	absolutely
ridiculous	ridicul	ridiculous
.	.	.

It	it	It
s	s	s
a	a	a
waste	wast	waste
of	of	of
resources	resourc	resource
and	and	and
a	a	a
waste	wast	waste
of	of	of
the	the	the
court	court	court
s	s	s
time	time	time
.	.	.
Surely	sure	Surely
,	,	,
the	the	the
school	school	school
and	and	and
the	the	the
judiciary	judiciari	judiciary
must	must	must
have	have	have
more	more	more
important	import	important
things	thing	thing
to	to	to
deal	deal	deal
with	with	with
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Wikimedia	wikimedia	Wikimedia

