Members	member	Members
is	is	is
astounding	astound	astounding
that	that	that
the	the	the
plan	plan	plan
worked	work	worked
so	so	so
far	far	far
,	,	,
former	former	former
Deputy	deputi	Deputy
Attorney	attorney	Attorney
General	general	General
James	jame	James
Cole	cole	Cole
wrote	wrote	wrote
in	in	in
an	an	an
email	email	email
to	to	to
Holder	holder	Holder
,	,	,
according	accord	according
to	to	to
the	the	the
report	report	report
.	.	.
The	the	The
report	report	report
also	also	also
says	say	say
that	that	that
Holder	holder	Holder
s	s	s
Justice	justic	Justice
Department	depart	Department
stonewalled	stonewal	stonewalled
inquiries	inquiri	inquiry
from	from	from
Sen	sen	Sen
.	.	.
Chuck	chuck	Chuck
Grassley	grassley	Grassley
,	,	,
R	r	R
-Iowa	-iowa	-Iowa
,	,	,
and	and	and
deceptively	decept	deceptively
told	told	told
him	him	him
that	that	that
the	the	the
ATF	atf	ATF
makes	make	make
every	everi	every
effort	effort	effort
to	to	to
interdict	interdict	interdict
firearms	firearm	firearm
purchased	purchas	purchased
by	by	by
straw	straw	straw
buyers	buyer	buyer
.	.	.
There	there	There
are	are	are
important	import	important
reasons	reason	reason
for	for	for
not	not	not
giving	give	giving
Grassley	grassley	Grassley
everything	everyth	everything
he	he	he
is	is	is
asking	ask	asking
for	for	for
it	it	it
would	would	would
embolden	embolden	embolden
him	him	him
in	in	in
future	futur	future
fights	fight	fight
and	and	and
would	would	would
use	use	use
up	up	up
a	a	a
lot	lot	lot
of	of	of
the	the	the
material	materi	material
that	that	that
we	we	we
will	will	will
eventually	eventu	eventually
need	need	need
to	to	to
release	releas	release
to	to	to
California	california	California
Rep	rep	Rep
.	.	.
Darrell	darrel	Darrell
Issa	issa	Issa
.	.	.
.	.	.
.	.	.
as	as	a
the	the	the
oversight	oversight	oversight
struggle	struggl	struggle
continues	continu	continues
,	,	,
the	the	the
Office	offic	Office
of	of	of
Legislative	legisl	Legislative
Affairs	affair	Affairs
Assistant	assist	Assistant
Attorney	attorney	Attorney
General	general	General
Ron	ron	Ron
Welch	welch	Welch
said	said	said
in	in	in
an	an	an
email	email	email
to	to	to
DOJ	doj	DOJ
colleagues	colleagu	colleague
.	.	.
Border	border	Border
Patrol	patrol	Patrol
Agent	agent	Agent
Brian	brian	Brian
Terry	terri	Terry
died	die	died
in	in	in
a	a	a
gunfight	gunfight	gunfight
between	between	between
Border	border	Border
Patrol	patrol	Patrol
agents	agent	agent
and	and	and
members	member	member
of	of	of
a	a	a
six	six	six
-man	-man	-man
cartel	cartel	cartel
rip	rip	rip
crew	crew	crew
,	,	,
which	which	which
regularly	regular	regularly
patrolled	patrol	patrolled
the	the	the
desert	desert	desert
along	along	along
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-Mexico	-mexico	-Mexico
border	border	border
looking	look	looking
for	for	for
drug	drug	drug
dealers	dealer	dealer
to	to	to
rob	rob	rob
.	.	.
Read	read	Read
more	more	more
FOX	fox	FOX
