Judge	judg	Judge
Investigative	investig	Investigative
Group	group	Group
has	has	ha
learned	learn	learned
.	.	.
Three	three	Three
members	member	member
of	of	of
the	the	the
intelligence	intellig	intelligence
panel	panel	panel
and	and	and
five	five	five
members	member	member
of	of	of
the	the	the
House	hous	House
Committee	committe	Committee
on	on	on
Foreign	foreign	Foreign
Affairs	affair	Affairs
were	were	were
among	among	among
the	the	the
dozens	dozen	dozen
of	of	of
members	member	member
who	who	who
employed	employ	employed
the	the	the
suspects	suspect	suspect
on	on	on
a	a	a
shared	share	shared
basis	basi	basis
.	.	.

The	the	The
two	two	two
committees	committe	committee
deal	deal	deal
with	with	with
many	mani	many
of	of	of
the	the	the
nation	nation	nation
s	s	s
most	most	most
sensitive	sensit	sensitive
issues	issu	issue
and	and	and
documents	document	document
,	,	,
including	includ	including
those	those	those
related	relat	related
to	to	to
the	the	the
war	war	war
on	on	on
terrorism	terror	terrorism
.	.	.
Also	also	Also
among	among	among
those	those	those
whose	whose	whose
computer	comput	computer
systems	system	system
may	may	may
have	have	have
been	been	been
compromised	compromis	compromised
is	is	is
Rep	rep	Rep
.	.	.

Debbie	debbi	Debbie
Wasserman	wasserman	Wasserman
Schultz	schultz	Schultz
,	,	,
the	the	the
Florida	florida	Florida
Democrat	democrat	Democrat
who	who	who
was	was	wa
previously	previous	previously
the	the	the
target	target	target
of	of	of
a	a	a
disastrous	disastr	disastrous
email	email	email
hack	hack	hack
when	when	when
she	she	she
served	serv	served
as	as	a
chairman	chairman	chairman
of	of	of
the	the	the
Democratic	democrat	Democratic
National	nation	National
Committee	committe	Committee
during	dure	during
the	the	the
2016	2016	2016
campaign	campaign	campaign
.	.	.
The	the	The
brothers	brother	brother
are	are	are
suspected	suspect	suspected
of	of	of
serious	serious	serious
violations	violat	violation
,	,	,
including	includ	including
accessing	access	accessing
members	member	member
computer	comput	computer
networks	network	network
without	without	without
their	their	their
knowledge	knowledg	knowledge
and	and	and
stealing	steal	stealing
equipment	equip	equipment
from	from	from
Congress	congress	Congress
.	.	.
Jamal	jamal	Jamal
handled	handl	handled
IT	it	IT
for	for	for
Rep	rep	Rep
.	.	.

Joaquin	joaquin	Joaquin
Castro	castro	Castro
,	,	,
a	a	a
Texas	texa	Texas
Democrat	democrat	Democrat
who	who	who
serves	serv	serf
on	on	on
both	both	both
the	the	the
intelligence	intellig	intelligence
and	and	and
foreign	foreign	foreign
affairs	affair	affair
panels	panel	panel
.	.	.

As	as	As
of	of	of
2	2	2
2	2	2
,	,	,
his	his	his
employment	employ	employment
with	with	with
our	our	our
office	offic	office
has	has	ha
been	been	been
terminated	termin	terminated
,	,	,
Castro	castro	Castro
spokeswoman	spokeswoman	spokeswoman
Erin	erin	Erin
Hatch	hatch	Hatch
told	told	told
TheDCNF	thedcnf	TheDCNF
Friday	friday	Friday
.	.	.
Jamal	jamal	Jamal
also	also	also
worked	work	worked
for	for	for
Louisiana	louisiana	Louisiana
Democrat	democrat	Democrat
Rep	rep	Rep
.	.	.

Cedric	cedric	Cedric
Richmond	richmond	Richmond
,	,	,
who	who	who
is	is	is
on	on	on
the	the	the
Committee	committe	Committee
on	on	on
Homeland	homeland	Homeland
Security	secur	Security
.	.	.
Imran	imran	Imran
worked	work	worked
for	for	for
Reps	rep	Reps
.	.	.

Andre	andr	Andre
Carson	carson	Carson
,	,	,
an	an	an
Indiana	indiana	Indiana
Democrat	democrat	Democrat
,	,	,
and	and	and
Jackie	jacki	Jackie
Speier	speier	Speier
,	,	,
a	a	a
California	california	California
Democrat	democrat	Democrat
.	.	.

Both	both	Both
are	are	are
members	member	member
of	of	of
the	the	the
intelligence	intellig	intelligence
committee	committe	committee
,	,	,
and	and	and
their	their	their
spokesmen	spokesmen	spokesman
did	did	did
not	not	not
respond	respond	respond
to	to	to
TheDCNF	thedcnf	TheDCNF
s	s	s
requests	request	request
for	for	for
comment	comment	comment
.	.	.

Imran	imran	Imran
also	also	also
worked	work	worked
for	for	for
the	the	the
House	hous	House
office	offic	office
of	of	of
Wasserman	wasserman	Wasserman
Schultz	schultz	Schultz
.	.	.
Then	then	Then
-Rep	-rep	-Rep
.	.	.

Tammy	tammi	Tammy
Duckworth	duckworth	Duckworth
,	,	,
an	an	an
Illinois	illinoi	Illinois
Democrat	democrat	Democrat
,	,	,
employed	employ	employed
Abid	abid	Abid
for	for	for
IT	it	IT
work	work	work
in	in	in
2016	2016	2016
.	.	.

She	she	She
was	was	wa
a	a	a
member	member	member
of	of	of
House	hous	House
committees	committe	committee
dealing	deal	dealing
with	with	with
the	the	the
armed	arm	armed
services	servic	service
,	,	,
oversight	oversight	oversight
,	,	,
and	and	and
Benghazi	benghazi	Benghazi
.	.	.

Duckworth	duckworth	Duckworth
was	was	wa
elected	elect	elected
to	to	to
the	the	the
Senate	senat	Senate
in	in	in
November	novemb	November
,	,	,
2016	2016	2016
.	.	.

Abid	abid	Abid
has	has	ha
a	a	a
prior	prior	prior
criminal	crimin	criminal
record	record	record
and	and	and
a	a	a
bankruptcy	bankruptci	bankruptcy
.	.	.
Read	read	Read
more	more	more
Daily	daili	Daily
Caller	caller	Caller

