This	this	This
.	.	.
Aside	asid	Aside
from	from	from
blacks	black	black
,	,	,
American	american	American
Jews	jew	Jews
are	are	are
the	the	the
most	most	most
loyal	loyal	loyal
supporters	support	supporter
of	of	of
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
.	.	.
Rosner	rosner	Rosner
notes	note	note
Jews	jew	Jews
like	like	like
most	most	most
other	other	other
humans	human	human
tend	tend	tend
to	to	to
understand	understand	understand
the	the	the
world	world	world
in	in	in
a	a	a
way	way	way
that	that	that
is	is	is
compatible	compat	compatible
with	with	with
their	their	their
beliefs	belief	belief
.	.	.
If	if	If
they	they	they
support	support	support
Obama	obama	Obama
,	,	,
they	they	they
believe	believ	believe
Obama	obama	Obama
.	.	.
If	if	If
they	they	they
believe	believ	believe
Obama	obama	Obama
,	,	,
they	they	they
also	also	also
believe	believ	believe
him	him	him
when	when	when
he	he	he
says	say	say
that	that	that
the	the	the
deal	deal	deal
is	is	is
good	good	good
for	for	for
Israel	israel	Israel
s	s	s
security	secur	security
.	.	.
Rosner	rosner	Rosner
s	s	s
conclusion	conclus	conclusion
is	is	is
supported	support	supported
by	by	by
one	one	one
of	of	of
the	the	the
most	most	most
interesting	interest	interesting
results	result	result
of	of	of
the	the	the
poll	poll	poll
among	among	among
those	those	those
American	american	American
Jews	jew	Jews
who	who	who
don	don	don
t	t	t
know	know	know
whether	whether	whether
the	the	the
Iran	iran	Iran
deal	deal	deal
will	will	will
make	make	make
Israel	israel	Israel
safer	safer	safer
,	,	,
66	66	66
favor	favor	favor
the	the	the
deal	deal	deal
while	while	while
only	onli	only
8	8	8
do	do	do
not	not	not
.	.	.
Via	via	Via
Breitbart	breitbart	Breitbart
News	news	News
