Over	over	Over
.	.	.
With	with	With
Clinton	clinton	Clinton
,	,	,
though	though	though
,	,	,
he	he	he
gets	get	get
quite	quit	quite
specific	specif	specific
in	in	in
an	an	an
interview	interview	interview
with	with	with
Slate	slate	Slate
Magazine	magazin	Magazine
.	.	.
Stiglitz	stiglitz	Stiglitz
believes	believ	belief
that	that	that
in	in	in
the	the	the
years	year	year
since	sinc	since
Bill	bill	Bill
Clinton	clinton	Clinton
left	left	left
office	offic	office
,	,	,
the	the	the
country	countri	country
has	has	ha
changed	chang	changed
and	and	and
that	that	that
we	we	we
are	are	are
far	far	far
more	more	more
focused	focus	focused
on	on	on
income	incom	income
inequality	inequ	inequality
,	,	,
something	someth	something
he	he	he
believes	believ	belief
Hillary	hillari	Hillary
Clinton	clinton	Clinton
will	will	will
do	do	do
something	someth	something
about	about	about
Where	where	Where
do	do	do
you	you	you
situate	situat	situate
Hillary	hillari	Hillary
Clinton	clinton	Clinton
ideologically	ideolog	ideologically
in	in	in
terms	term	term
of	of	of
economics	econom	economics
?	?	?
I	i	I
think	think	think
that	that	that
s	s	s
a	a	a
good	good	good
question	question	question
.	.	.
I	i	I
think	think	think
the	the	the
world	world	world
today	today	today
is	is	is
different	differ	different
from	from	from
where	where	where
it	it	it
was	was	wa
20	20	20
years	year	year
ago	ago	ago
,	,	,
and	and	and
the	the	the
issues	issu	issue
are	are	are
being	be	being
framed	frame	framed
considerably	consider	considerably
differently	differ	differently
.	.	.
For	for	For
instance	instanc	instance
,	,	,
I	i	I
think	think	think
there	there	there
s	s	s
a	a	a
recognition	recognit	recognition
that	that	that
inequality	inequ	inequality
is	is	is
a	a	a
much	much	much
bigger	bigger	bigger
problem	problem	problem
.	.	.
I	i	I
think	think	think
she	she	she
is	is	is
much	much	much
more	more	more
concerned	concern	concerned
about	about	about
more	more	more
progressive	progress	progressive
taxes	tax	tax
and	and	and
dealing	deal	dealing
with	with	with
tax	tax	tax
avoidance	avoid	avoidance
of	of	of
multinational	multin	multinational
corporations	corpor	corporation
.	.	.
I	i	I
think	think	think
she	she	she
is	is	is
very	veri	very
committed	commit	committed
to	to	to
that	that	that
.	.	.
I	i	I
think	think	think
progressives	progress	progressive
are	are	are
not	not	not
against	against	against
trade	trade	trade
,	,	,
but	but	but
they	they	they
are	are	are
concerned	concern	concerned
with	with	with
trade	trade	trade
agreements	agreement	agreement
that	that	that
are	are	are
pushed	push	pushed
by	by	by
corporations	corpor	corporation
,	,	,
for	for	for
their	their	their
interests	interest	interest
,	,	,
by	by	by
and	and	and
for	for	for
corporations	corpor	corporation
.	.	.
That	that	That
is	is	is
what	what	what
we	we	we
have	have	have
in	in	in
the	the	the
form	form	form
of	of	of
TPP	tpp	TPP
.	.	.
I	i	I
think	think	think
it	it	it
is	is	is
a	a	a
good	good	good
thing	thing	thing
that	that	that
she	she	she
has	has	ha
come	come	come
out	out	out
against	against	against
that	that	that
.	.	.
Stiglitz	stiglitz	Stiglitz
also	also	also
believes	believ	belief
that	that	that
the	the	the
very	veri	very
fact	fact	fact
that	that	that
Clinton	clinton	Clinton
is	is	is
pragmatic	pragmat	pragmatic
something	someth	something
she	she	she
s	s	s
often	often	often
criticized	critic	criticized
for	for	for
on	on	on
the	the	the
left	left	left
will	will	will
keep	keep	keep
he	he	he
on	on	on
the	the	the
right	right	right
track	track	track
One	one	One
of	of	of
the	the	the
progressive	progress	progressive
concerns	concern	concern
about	about	about
Clinton	clinton	Clinton
has	has	ha
been	been	been
that	that	that
the	the	the
Clintons	clinton	Clintons
are	are	are
enmeshed	enmesh	enmeshed
with	with	with
this	this	this
sort	sort	sort
of	of	of
global	global	global
,	,	,
financial	financi	financial
elite	elit	elite
through	through	through
their	their	their
foundation	foundat	foundation
,	,	,
and	and	and
just	just	just
through	through	through
the	the	the
circles	circl	circle
they	they	they
travel	travel	travel
in	in	in
.	.	.
I	i	I
understand	understand	understand
those	those	those
concerns	concern	concern
,	,	,
and	and	and
I	i	I
guess	guess	guess
part	part	part
of	of	of
the	the	the
answer	answer	answer
to	to	to
that	that	that
is	is	is
the	the	the
reality	realiti	reality
of	of	of
2016	2016	2016
is	is	is
that	that	that
the	the	the
Senate	senat	Senate
Banking	bank	Banking
Committee	committe	Committee
has	has	ha
people	peopl	people
like	like	like
Sherrod	sherrod	Sherrod
Brown	brown	Brown
,	,	,
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
,	,	,
and	and	and
Jeff	jeff	Jeff
Merkel	merkel	Merkel
,	,	,
and	and	and
you	you	you
are	are	are
not	not	not
going	go	going
to	to	to
get	get	get
through	through	through
legislation	legisl	legislation
that	that	that
is	is	is
a	a	a
sell	sell	sell
out	out	out
to	to	to
Wall	wall	Wall
Street	street	Street
.	.	.
Knowing	know	Knowing
that	that	that
,	,	,
and	and	and
knowing	know	knowing
that	that	that
she	she	she
does	doe	doe
not	not	not
want	want	want
to	to	to
fight	fight	fight
within	within	within
her	her	her
party	parti	party
,	,	,
I	i	I
think	think	think
she	she	she
is	is	is
pragmatic	pragmat	pragmatic
enough	enough	enough
.	.	.
The	the	The
criticism	critic	criticism
occurs	occur	occurs
because	becaus	because
she	she	she
s	s	s
been	been	been
,	,	,
you	you	you
might	might	might
say	say	say
,	,	,
too	too	too
pragmatic	pragmat	pragmatic
.	.	.
The	the	The
fact	fact	fact
is	is	is
she	she	she
is	is	is
pragmatic	pragmat	pragmatic
enough	enough	enough
to	to	to
know	know	know
that	that	that
these	these	these
people	peopl	people
will	will	will
not	not	not
tolerate	toler	tolerate
the	the	the
kind	kind	kind
of	of	of
sell	sell	sell
-out	-out	-out
that	that	that
I	i	I
think	think	think
many	mani	many
people	peopl	people
have	have	have
seen	seen	seen
in	in	in
previous	previous	previous
administrations	administr	administration
.	.	.
I	i	I
think	think	think
it	it	it
is	is	is
unlikely	unlik	unlikely
that	that	that
we	we	we
will	will	will
get	get	get
policies	polici	policy
that	that	that
stray	stray	stray
too	too	too
far	far	far
from	from	from
the	the	the
progressive	progress	progressive
agenda	agenda	agenda
.	.	.
Stiglitz	stiglitz	Stiglitz
credits	credit	credit
Bernie	berni	Bernie
Sanders	sander	Sanders
with	with	with
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
more	more	more
progressive	progress	progressive
policies	polici	policy
.	.	.
As	as	As
for	for	for
Clinton	clinton	Clinton
compared	compar	compared
to	to	to
Obama	obama	Obama
More	more	More
conservative	conserv	conservative
than	than	than
Hillary	hillari	Hillary
,	,	,
yes	yes	yes
.	.	.
I	i	I
think	think	think
his	his	his
temperament	tempera	temperament
is	is	is
basically	basic	basically
more	more	more
conservative	conserv	conservative
and	and	and
he	he	he
did	did	did
not	not	not
go	go	go
as	as	a
far	far	far
on	on	on
Dodd	dodd	Dodd
-Frank	-frank	-Frank
as	as	a
many	mani	many
people	peopl	people
wanted	want	wanted
.	.	.
He	he	He
opposed	oppos	opposed
some	some	some
of	of	of
the	the	the
key	key	key
provisions	provis	provision
that	that	that
eventually	eventu	eventually
got	got	got
in	in	in
the	the	the
bill	bill	bill
.	.	.
For	for	For
those	those	those
who	who	who
are	are	are
still	still	still
worried	worri	worried
that	that	that
Hillary	hillari	Hillary
Clinton	clinton	Clinton
will	will	will
take	take	take
on	on	on
the	the	the
more	more	more
neoliberal	neoliber	neoliberal
policies	polici	policy
of	of	of
her	her	her
husband	husband	husband
,	,	,
remember	rememb	remember
that	that	that
times	time	time
have	have	have
changed	chang	changed
and	and	and
that	that	that
we	we	we
are	are	are
no	no	no
longer	longer	longer
a	a	a
center	center	center
right	right	right
nation	nation	nation
.	.	.
If	if	If
anything	anyth	anything
,	,	,
we	we	we
are	are	are
center	center	center
left	left	left
,	,	,
and	and	and
Clinton	clinton	Clinton
knows	know	know
that	that	that
if	if	if
she	she	she
disappoints	disappoint	disappoints
the	the	the
growing	grow	growing
progressive	progress	progressive
wing	wing	wing
of	of	of
the	the	the
Democratic	democrat	Democratic
party	parti	party
,	,	,
she	she	she
is	is	is
doomed	doom	doomed
to	to	to
just	just	just
one	one	one
term	term	term
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
JP	jp	JP
Yim	yim	Yim
Getty	getti	Getty
Images	imag	Images
.	.	.
