Democratic	democrat	Democratic
who	who	who
s	s	s
even	even	even
thinking	think	thinking
of	of	of
voting	vote	voting
for	for	for
Trump	trump	Trump
,	,	,
stage	stage	stage
an	an	an
intervention	intervent	intervention
.	.	.
Hillary	hillari	Hillary
is	is	is
right	right	right
,	,	,
of	of	of
course	cours	course
.	.	.
Donald	donald	Donald
Trump	trump	Trump
is	is	is
a	a	a
demagogue	demagogu	demagogue
,	,	,
and	and	and
this	this	this
is	is	is
how	how	how
demagogues	demagogu	demagogue
work	work	work
.	.	.
They	they	They
prey	prey	prey
on	on	on
the	the	the
desperate	desper	desperate
,	,	,
they	they	they
exploit	exploit	exploit
and	and	and
magnify	magnifi	magnify
divisions	divis	division
,	,	,
all	all	all
for	for	for
their	their	their
own	own	own
gain	gain	gain
of	of	of
political	polit	political
power	power	power
.	.	.
Trump	trump	Trump
is	is	is
in	in	in
no	no	no
way	way	way
fit	fit	fit
to	to	to
be	be	be
president	presid	president
,	,	,
and	and	and
his	his	his
very	veri	very
candidacy	candidaci	candidacy
is	is	is
already	alreadi	already
endangering	endang	endangering
the	the	the
country	countri	country
.	.	.
To	to	To
that	that	that
end	end	end
,	,	,
we	we	we
need	need	need
to	to	to
listen	listen	listen
to	to	to
Hillary	hillari	Hillary
,	,	,
get	get	get
out	out	out
the	the	the
vote	vote	vote
,	,	,
and	and	and
make	make	make
sure	sure	sure
she	she	she
wins	win	win
,	,	,
for	for	for
the	the	the
future	futur	future
of	of	of
our	our	our
own	own	own
lives	live	life
and	and	and
this	this	this
great	great	great
nation	nation	nation
that	that	that
we	we	we
all	all	all
love	love	love
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Justin	justin	Justin
Sullivan	sullivan	Sullivan
Getty	getti	Getty
Images	imag	Images
