Alex	alex	Alex
But	but	But
wait	wait	wait
it	it	it
gets	get	get
even	even	even
crazier	crazier	crazier
,	,	,
if	if	if
you	you	you
can	can	can
believe	believ	believe
it	it	it
.	.	.
Jones	jone	Jones
continued	continu	continued
I	i	I
really	realli	really
think	think	think
her	her	her
daughters	daughter	daughter
don	don	don
t	t	t
look	look	look
like	like	like
her	her	her
I	i	I
really	realli	really
think	think	think
this	this	this
is	is	is
some	some	some
weird	weird	weird
hoax	hoax	hoax
they	they	they
did	did	did
again	again	again
,	,	,
just	just	just
like	like	like
he	he	he
didn	didn	didn
t	t	t
get	get	get
sworn	sworn	sworn
in	in	in
on	on	on
the	the	the
Bible	bibl	Bible
,	,	,
it	it	it
was	was	wa
the	the	the
Quran	quran	Quran
,	,	,
Jones	jone	Jones
continued	continu	continued
.	.	.
All	all	All
this	this	this
weirdness	weird	weirdness
,	,	,
I	i	I
mean	mean	mean
,	,	,
I	i	I
used	use	used
to	to	to
laugh	laugh	laugh
at	at	at
this	this	this
stuff	stuff	stuff
,	,	,
but	but	but
man	man	man
,	,	,
it	it	it
s	s	s
all	all	all
about	about	about
rubbing	rub	rubbing
our	our	our
noses	nose	nose
in	in	in
it	it	it
.	.	.
I	i	I
think	think	think
it	it	it
s	s	s
all	all	all
an	an	an
arranged	arrang	arranged
marriage	marriag	marriage
,	,	,
it	it	it
s	s	s
all	all	all
completely	complet	completely
fake	fake	fake
and	and	and
it	it	it
s	s	s
this	this	this
big	big	big
sick	sick	sick
joke	joke	joke
because	becaus	because
he	he	he
s	s	s
obsessed	obsess	obsessed
with	with	with
transgender	transgend	transgender
,	,	,
just	just	just
like	like	like
some	some	some
weird	weird	weird
cult	cult	cult
or	or	or
something	someth	something
.	.	.
I	i	I
think	think	think
Michelle	michell	Michelle
Obama	obama	Obama
is	is	is
a	a	a
man	man	man
.	.	.
I	i	I
really	realli	really
do	do	do
.	.	.
I	i	I
really	realli	really
do	do	do
.	.	.
I	i	I
believe	believ	believe
it	it	it
.	.	.
This	this	This
dude	dude	dude
does	doe	doe
not	not	not
belong	belong	belong
in	in	in
the	the	the
public	public	public
eye	eye	eye
.	.	.
He	he	He
belongs	belong	belongs
in	in	in
a	a	a
mental	mental	mental
institution	institut	institution
if	if	if
he	he	he
actually	actual	actually
believes	believ	belief
this	this	this
.	.	.
The	the	The
Obamas	obama	Obamas
could	could	could
sue	sue	sue
his	his	his
clearly	clear	clearly
crazy	crazi	crazy
ass	ass	as
for	for	for
slander	slander	slander
,	,	,
but	but	but
why	whi	why
bother	bother	bother
?	?	?
The	the	The
guy	guy	guy
is	is	is
clearly	clear	clearly
unhinged	unhing	unhinged
.	.	.
It	it	It
s	s	s
a	a	a
shame	shame	shame
that	that	that
today	today	today
s	s	s
incarnation	incarn	incarnation
of	of	of
the	the	the
GOP	gop	GOP
is	is	is
crazy	crazi	crazy
enough	enough	enough
to	to	to
believe	believ	believe
this	this	this
shit	shit	shit
,	,	,
and	and	and
in	in	in
the	the	the
age	age	age
of	of	of
the	the	the
interwebs	interweb	interwebs
,	,	,
anyone	anyon	anyone
can	can	can
have	have	have
a	a	a
platform	platform	platform
to	to	to
spread	spread	spread
whatever	whatev	whatever
brand	brand	brand
of	of	of
hate	hate	hate
and	and	and
nutbaggery	nutbaggeri	nutbaggery
they	they	they
like	like	like
,	,	,
including	includ	including
bashit	bashit	bashit
insane	insan	insane
conspiracy	conspiraci	conspiracy
theorists	theorist	theorist
like	like	like
Alex	alex	Alex
Jones	jone	Jones
.	.	.
Someone	someon	Someone
get	get	get
this	this	this
man	man	man
some	some	some
help	help	help
,	,	,
STAT	stat	STAT
,	,	,
before	befor	before
he	he	he
goes	goe	go
off	off	off
and	and	and
does	doe	doe
something	someth	something
really	realli	really
nuts	nut	nut
.	.	.
Watch	watch	Watch
the	the	the
clip	clip	clip
below	below	below
,	,	,
via	via	via
Right	right	Right
Wing	wing	Wing
Watch	watch	Watch
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
