On	on	On
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
January	januari	January
25	25	25
,	,	,
2017Now	2017now	2017Now
,	,	,
Trump	trump	Trump
is	is	is
completely	complet	completely
wrong	wrong	wrong
about	about	about
it	it	it
being	be	being
a	a	a
crime	crime	crime
to	to	to
be	be	be
registered	regist	registered
in	in	in
two	two	two
states	state	state
.	.	.
Voting	vote	Voting
in	in	in
two	two	two
states	state	state
is	is	is
a	a	a
crime	crime	crime
.	.	.
But	but	But
let	let	let
s	s	s
humor	humor	humor
him	him	him
.	.	.
Let	let	Let
s	s	s
say	say	say
that	that	that
is	is	is
voter	voter	voter
fraud	fraud	fraud
.	.	.
He	he	He
really	realli	really
doesn	doesn	doesn
t	t	t
have	have	have
to	to	to
look	look	look
far	far	far
at	at	at
all	all	all
to	to	to
find	find	find
someone	someon	someone
.	.	.
Trump	trump	Trump
senior	senior	senior
advisor	advisor	advisor
Steve	steve	Steve
Bannon	bannon	Bannon
is	is	is
a	a	a
lot	lot	lot
of	of	of
things	thing	thing
he	he	he
s	s	s
an	an	an
anti	anti	anti
-semite	-semit	-semite
,	,	,
a	a	a
white	white	white
supremacist	supremacist	supremacist
,	,	,
a	a	a
douchebag	douchebag	douchebag
,	,	,
and	and	and
an	an	an
alleged	alleg	alleged
domestic	domest	domestic
abuser	abus	abuser
.	.	.
He	he	He
s	s	s
also	also	also
a	a	a
proud	proud	proud
registered	regist	registered
voter	voter	voter
in	in	in
the	the	the
state	state	state
of	of	of
New	new	New
York	york	York
and	and	and
in	in	in
Florida	florida	Florida
.	.	.
Bannon	bannon	Bannon
registered	regist	registered
to	to	to
vote	vote	vote
in	in	in
New	new	New
York	york	York
shortly	short	shortly
before	befor	before
the	the	the
election	elect	election
and	and	and
cast	cast	cast
his	his	his
ballot	ballot	ballot
for	for	for
Trump	trump	Trump
in	in	in
only	onli	only
that	that	that
state	state	state
.	.	.
But	but	But
he	he	he
is	is	is
also	also	also
registered	regist	registered
to	to	to
vote	vote	vote
at	at	at
the	the	the
home	home	home
of	of	of
a	a	a
friend	friend	friend
,	,	,
Andy	andi	Andy
Badolato	badolato	Badolato
,	,	,
in	in	in
the	the	the
Sunshine	sunshin	Sunshine
State	state	State
.	.	.
He	he	He
changed	chang	changed
his	his	his
address	address	address
in	in	in
Florida	florida	Florida
in	in	in
August	august	August
,	,	,
shortly	short	shortly
after	after	after
reports	report	report
surfaced	surfac	surfaced
that	that	that
he	he	he
was	was	wa
previously	previous	previously
registered	regist	registered
at	at	at
an	an	an
abandoned	abandon	abandoned
house	hous	house
.	.	.
Bannon	bannon	Bannon
did	did	did
not	not	not
commit	commit	commit
voter	voter	voter
fraud	fraud	fraud
in	in	in
any	ani	any
way	way	way
,	,	,
but	but	but
according	accord	according
to	to	to
Trump	trump	Trump
he	he	he
is	is	is
a	a	a
criminal	crimin	criminal
simply	simpli	simply
because	becaus	because
he	he	he
has	has	ha
an	an	an
outdated	outdat	outdated
registration	registr	registration
in	in	in
Florida	florida	Florida
.	.	.
This	this	This
must	must	must
be	be	be
uncomfortable	uncomfort	uncomfortable
for	for	for
Trump	trump	Trump
,	,	,
whose	whose	whose
false	fals	false
claims	claim	claim
about	about	about
what	what	what
does	doe	doe
and	and	and
does	doe	doe
not	not	not
constitute	constitut	constitute
fraud	fraud	fraud
has	has	ha
nailed	nail	nailed
one	one	one
of	of	of
his	his	his
senior	senior	senior
minions	minion	minion
,	,	,
but	but	but
it	it	it
s	s	s
likely	like	likely
that	that	that
he	he	he
will	will	will
ignore	ignor	ignore
it	it	it
because	becaus	because
it	it	it
doesn	doesn	doesn
t	t	t
quite	quit	quite
fit	fit	fit
his	his	his
narrative	narrat	narrative
that	that	that
millions	million	million
of	of	of
people	peopl	people
voted	vote	voted
illegally	illeg	illegally
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
and	and	and
that	that	that
is	is	is
why	whi	why
he	he	he
lost	lost	lost
the	the	the
popular	popular	popular
vote	vote	vote
.	.	.
Did	did	Did
you	you	you
ever	ever	ever
think	think	think
you	you	you
would	would	would
see	see	see
the	the	the
President	presid	President
abuse	abus	abuse
the	the	the
powers	power	power
of	of	of
his	his	his
office	offic	office
to	to	to
satisfy	satisfi	satisfy
his	his	his
ego	ego	ego
and	and	and
push	push	push
a	a	a
debunked	debunk	debunked
conspiracy	conspiraci	conspiracy
theory	theori	theory
?	?	?
Yeah	yeah	Yeah
,	,	,
we	we	we
didn	didn	didn
t	t	t
either	either	either
,	,	,
but	but	but
here	here	here
we	we	we
are	are	are
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Getty	getti	Getty
Images	imag	Images
Mark	mark	Mark
Wilson	wilson	Wilson
