Clearly	clear	Clearly
in	in	in
how	how	how
our	our	our
country	countri	country
is	is	is
run	run	run
when	when	when
the	the	the
Bible	bibl	Bible
says	say	say
that	that	that
I	i	I
suffer	suffer	suffer
not	not	not
a	a	a
woman	woman	woman
to	to	to
teach	teach	teach
,	,	,
not	not	not
to	to	to
usurp	usurp	usurp
authority	author	authority
over	over	over
the	the	the
man	man	man
,	,	,
but	but	but
to	to	to
be	be	be
in	in	in
silence	silenc	silence
?	?	?
I	i	I
AM	am	AM
QUOTING	quot	QUOTING
THE	the	THE
BIBLE	bibl	BIBLE
RIGHT	right	RIGHT
NOW	now	NOW
!	!	!
But	but	But
it	it	it
s	s	s
old	old	old
-fashioned	-fashion	-fashioned
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
This	this	This
isn	isn	isn
t	t	t
the	the	the
first	first	first
time	time	time
Anderson	anderson	Anderson
has	has	ha
been	been	been
a	a	a
total	total	total
dick	dick	dick
towards	toward	towards
women	women	woman
.	.	.

He	he	He
once	onc	once
went	went	went
on	on	on
a	a	a
rant	rant	rant
about	about	about
how	how	how
women	women	woman
shouldn	shouldn	shouldn
t	t	t
be	be	be
allowed	allow	allowed
to	to	to
read	read	read
,	,	,
talk	talk	talk
,	,	,
or	or	or
leave	leav	leave
the	the	the
house	hous	house
without	without	without
permission	permiss	permission
from	from	from
a	a	a
man	man	man
.	.	.

He	he	He
has	has	ha
even	even	even
demanded	demand	demanded
that	that	that
women	women	woman
keep	keep	keep
their	their	their
mouths	mouth	mouth
shut	shut	shut
in	in	in
church	church	church
,	,	,
which	which	which
makes	make	make
one	one	one
wonder	wonder	wonder
how	how	how
any	ani	any
woman	woman	woman
can	can	can
stand	stand	stand
being	be	being
around	around	around
this	this	this
asshole	asshol	asshole
.	.	.
And	and	And
he	he	he
is	is	is
hardly	hard	hardly
the	the	the
first	first	first
conservative	conserv	conservative
Christian	christian	Christian
hero	hero	hero
to	to	to
call	call	call
for	for	for
banning	ban	banning
women	women	woman
from	from	from
voting	vote	voting
.	.	.

Fake	fake	Fake
historian	historian	historian
David	david	David
Barton	barton	Barton
has	has	ha
also	also	also
said	said	said
that	that	that
women	women	woman
should	should	should
be	be	be
barred	bar	barred
from	from	from
voting	vote	voting
because	becaus	because
the	the	the
Bible	bibl	Bible
says	say	say
that	that	that
only	onli	only
the	the	the
head	head	head
of	of	of
the	the	the
household	household	household
should	should	should
be	be	be
allowed	allow	allowed
to	to	to
vote	vote	vote
on	on	on
the	the	the
family	famili	family
s	s	s
behalf	behalf	behalf
,	,	,
regardless	regardless	regardless
of	of	of
what	what	what
policies	polici	policy
or	or	or
candidates	candid	candidate
the	the	the
rest	rest	rest
of	of	of
the	the	the
family	famili	family
supports	support	support
.	.	.
And	and	And
Republican	republican	Republican
presidential	presidenti	presidential
candidates	candid	candidate
,	,	,
from	from	from
Ted	ted	Ted
Cruz	cruz	Cruz
to	to	to
Trump	trump	Trump
to	to	to
Rubio	rubio	Rubio
to	to	to
Kasich	kasich	Kasich
,	,	,
haven	haven	haven
t	t	t
exactly	exact	exactly
made	made	made
it	it	it
a	a	a
secret	secret	secret
that	that	that
they	they	they
have	have	have
a	a	a
general	general	general
disdain	disdain	disdain
for	for	for
women	women	woman
.	.	.

All	all	All
of	of	of
them	them	them
have	have	have
made	made	made
it	it	it
clear	clear	clear
that	that	that
women	women	woman
s	s	s
rights	right	right
will	will	will
suffer	suffer	suffer
should	should	should
any	ani	any
of	of	of
them	them	them
become	becom	become
president	presid	president
.	.	.

And	and	And
it	it	it
s	s	s
because	becaus	because
of	of	of
preachers	preacher	preacher
like	like	like
Anderson	anderson	Anderson
on	on	on
the	the	the
Christian	christian	Christian
right	right	right
that	that	that
Republicans	republican	Republicans
have	have	have
adopted	adopt	adopted
such	such	such
medieval	mediev	medieval
beliefs	belief	belief
about	about	about
women	women	woman
,	,	,
which	which	which
is	is	is
why	whi	why
it	it	it
is	is	is
even	even	even
more	more	more
important	import	important
than	than	than
ever	ever	ever
before	befor	before
that	that	that
every	everi	every
woman	woman	woman
in	in	in
this	this	this
country	countri	country
exercise	exercis	exercise
their	their	their
right	right	right
to	to	to
vote	vote	vote
.	.	.

Because	becaus	Because
if	if	if
they	they	they
don	don	don
t	t	t
,	,	,
they	they	they
may	may	may
not	not	not
have	have	have
that	that	that
right	right	right
much	much	much
longer	longer	longer
if	if	if
conservatives	conserv	conservative
have	have	have
their	their	their
way	way	way
.	.	.
Featured	featur	Featured
image	imag	image
screenshot	screenshot	screenshot

