Mass	mass	Mass
made	made	made
news	news	news
when	when	when
he	he	he
sent	sent	sent
Democrat	democrat	Democrat
Senator	senat	Senator
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
a	a	a
DNA	dna	DNA
kit	kit	kit
for	for	for
her	her	her
birthday	birthday	birthday
which	which	which
she	she	she
rejected	reject	rejected
after	after	after
Warren	warren	Warren
was	was	wa
caught	caught	caught
lying	lie	lying
about	about	about
being	be	being
a	a	a
Native	nativ	Native
American	american	American
on	on	on
a	a	a
application	applic	application
for	for	for
a	a	a
teaching	teach	teaching
position	posit	position
at	at	at
Harvard	harvard	Harvard
University	univers	University
,	,	,
allegedly	alleg	allegedly
hoping	hope	hoping
that	that	that
her	her	her
fake	fake	fake
minority	minor	minority
status	status	status
would	would	would
place	place	place
her	her	her
ahead	ahead	ahead
of	of	of
other	other	other
applicants	applic	applicant
for	for	for
the	the	the
job	job	job
.	.	.
Senator	senat	Senator
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
is	is	is
not	not	not
only	onli	only
a	a	a
liar	liar	liar
,	,	,
she	she	she
s	s	s
also	also	also
not	not	not
very	veri	very
bright	bright	bright
.	.	.
Warren	warren	Warren
sent	sent	sent
out	out	out
an	an	an
email	email	email
today	today	today
that	that	that
was	was	wa
clearly	clear	clearly
designed	design	designed
to	to	to
appeal	appeal	appeal
to	to	to
women	women	woman
.	.	.
In	in	In
the	the	the
email	email	email
,	,	,
Warren	warren	Warren
names	name	name
the	the	the
very	veri	very
unpopular	unpopular	unpopular
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
not	not	not
only	onli	only
once	onc	once
,	,	,
but	but	but
twice	twice	twice
.	.	.
Warren	warren	Warren
starts	start	start
out	out	out
the	the	the
email	email	email
by	by	by
mentioning	mention	mentioning
Hillary	hillari	Hillary
s	s	s
name	name	name
in	in	in
the	the	the
first	first	first
sentence	sentenc	sentence
Hillary	hillari	Hillary
Clinton	clinton	Clinton
said	said	said
that	that	that
it	it	it
takes	take	take
a	a	a
village	villag	village
,	,	,
and	and	and
she	she	she
was	was	wa
right	right	right
.	.	.
None	none	None
of	of	of
us	us	u
can	can	can
raise	rais	raise
a	a	a
family	famili	family
,	,	,
build	build	build
a	a	a
business	busi	business
,	,	,
heal	heal	heal
a	a	a
community	communiti	community
,	,	,
or	or	or
lift	lift	lift
a	a	a
country	countri	country
totally	total	totally
alone	alon	alone
.	.	.
Warren	warren	Warren
used	use	used
Hillary	hillari	Hillary
s	s	s
name	name	name
again	again	again
near	near	near
the	the	the
end	end	end
of	of	of
her	her	her
email	email	email
Every	everi	Every
minute	minut	minute
counts	count	count
to	to	to
get	get	get
a	a	a
campaign	campaign	campaign
off	off	off
the	the	the
ground	ground	ground
.	.	.
It	it	It
mattered	matter	mattered
the	the	the
most	most	most
when	when	when
the	the	the
DSCC	dscc	DSCC
helped	help	helped
launch	launch	launch
my	my	my
Senate	senat	Senate
campaign	campaign	campaign
,	,	,
and	and	and
when	when	when
they	they	they
were	were	were
there	there	there
for	for	for
Hillary	hillari	Hillary
when	when	when
she	she	she
launched	launch	launched
her	her	her
Senate	senat	Senate
career	career	career
17	17	17
years	year	year
ago	ago	ago
.	.	.
Apparently	appar	Apparently
,	,	,
Warren	warren	Warren
missed	miss	missed
the	the	the
dreadful	dread	dreadful
polls	poll	poll
showing	show	showing
how	how	how
the	the	the
wildly	wild	wildly
unpopular	unpopular	unpopular
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
like	like	like
ability	abil	ability
continues	continu	continues
to	to	to
plummet	plummet	plummet
,	,	,
even	even	even
after	after	after
the	the	the
race	race	race
.	.	.
If	if	If
Warren	warren	Warren
stays	stay	stay
the	the	the
course	cours	course
and	and	and
continues	continu	continues
to	to	to
align	align	align
herself	herself	herself
with	with	with
Crooked	crook	Crooked
Hillary	hillari	Hillary
,	,	,
the	the	the
very	veri	very
successful	success	successful
entrepreneur	entrepreneur	entrepreneur
and	and	and
President	presid	President
Trump	trump	Trump
supporter	support	supporter
Shiva	shiva	Shiva
Ayyadurai	ayyadurai	Ayyadurai
will	will	will
no	no	no
doubt	doubt	doubt
be	be	be
able	abl	able
to	to	to
use	use	use
her	her	her
embarrassingly	embarrass	embarrassingly
bad	bad	bad
decision	decis	decision
to	to	to
his	his	his
advantage	advantag	advantage
.	.	.
Mass	mass	Mass
Live	live	Live
-	-	-
If	if	If
elected	elect	elected
,	,	,
Ayyadurai	ayyadurai	Ayyadurai
said	said	said
he	he	he
hopes	hope	hope
to	to	to
bring	bring	bring
a	a	a
sense	sens	sense
of	of	of
innovation	innov	innovation
to	to	to
the	the	the
Senate	senat	Senate
when	when	when
it	it	it
comes	come	come
to	to	to
addressing	address	addressing
hot	hot	hot
-button	-button	-button
issues	issu	issue
,	,	,
as	as	a
well	well	well
as	as	a
to	to	to
look	look	look
at	at	at
problems	problem	problem
from	from	from
an	an	an
engineering	engin	engineering
and	and	and
science	scienc	science
perspective	perspect	perspective
.	.	.
Casting	cast	Casting
himself	himself	himself
as	as	a
a	a	a
Lincoln	lincoln	Lincoln
Republican	republican	Republican
,	,	,
the	the	the
entrepreneur	entrepreneur	entrepreneur
said	said	said
his	his	his
campaign	campaign	campaign
platform	platform	platform
will	will	will
largely	larg	largely
focus	focus	focus
on	on	on
three	three	three
areas	area	area
immigration	immigr	immigration
,	,	,
education	educ	education
and	and	and
innovation	innov	innovation
.	.	.
As	as	As
an	an	an
immigrant	immigr	immigrant
,	,	,
Ayyadurai	ayyadurai	Ayyadurai
said	said	said
he	he	he
believes	believ	belief
it	it	it
is	is	is
important	import	important
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
secure	secur	secure
its	it	it
borders	border	border
,	,	,
root	root	root
out	out	out
so	so	so
-called	-call	-called
sanctuary	sanctuari	sanctuary
cities	citi	city
and	and	and
ensure	ensur	ensure
people	peopl	people
enter	enter	enter
the	the	the
country	countri	country
legally	legal	legally
.	.	.
He	he	He
added	ad	added
that	that	that
he	he	he
also	also	also
supports	support	support
ensuring	ensur	ensuring
parents	parent	parent
and	and	and
students	student	student
have	have	have
choices	choic	choice
when	when	when
it	it	it
comes	come	come
to	to	to
public	public	public
education	educ	education
,	,	,
and	and	and
argued	argu	argued
that	that	that
more	more	more
must	must	must
be	be	be
done	done	done
to	to	to
address	address	address
what	what	what
he	he	he
called	call	called
pay	pay	pay
-to-play	-to-play	-to-play
academic	academ	academic
science	scienc	science
research	research	research
.	.	.
Ayyadurai	ayyadurai	Ayyadurai
,	,	,
who	who	who
holds	hold	hold
four	four	four
degrees	degre	degree
from	from	from
the	the	the
Massachusetts	massachusett	Massachusetts
Institute	institut	Institute
of	of	of
Technology	technolog	Technology
,	,	,
is	is	is
the	the	the
founder	founder	founder
and	and	and
chairman	chairman	chairman
of	of	of
CytoSolve	cytosolv	CytoSolve
,	,	,
a	a	a
startup	startup	startup
that	that	that
has	has	ha
developed	develop	developed
a	a	a
computational	comput	computational
platform	platform	platform
for	for	for
scalable	scalabl	scalable
integration	integr	integration
of	of	of
molecular	molecular	molecular
pathway	pathway	pathway
models	model	model
used	use	used
in	in	in
drug	drug	drug
development	develop	development
.	.	.
He	he	He
is	is	is
one	one	one
of	of	of
three	three	three
Republicans	republican	Republicans
who	who	who
have	have	have
filed	file	filed
paperwork	paperwork	paperwork
with	with	with
the	the	the
Federal	feder	Federal
Election	elect	Election
Commission	commiss	Commission
to	to	to
run	run	run
for	for	for
the	the	the
Massachusetts	massachusett	Massachusetts
Senate	senat	Senate
seat	seat	seat
in	in	in
2018	2018	2018
.	.	.
To	to	To
donate	donat	donate
to	to	to
Shiva	shiva	Shiva
Ayyadurai	ayyadurai	Ayyadurai
s	s	s
senate	senat	senate
campaign	campaign	campaign
,	,	,
click	click	click
HERE	here	HERE
.	.	.
Here	here	Here
is	is	is
Warren	warren	Warren
s	s	s
email	email	email
Friend	friend	Friend
Hillary	hillari	Hillary
Clinton	clinton	Clinton
said	said	said
that	that	that
it	it	it
takes	take	take
a	a	a
village	villag	village
,	,	,
and	and	and
she	she	she
was	was	wa
right	right	right
.	.	.
None	none	None
of	of	of
us	us	u
can	can	can
raise	rais	raise
a	a	a
family	famili	family
,	,	,
build	build	build
a	a	a
business	busi	business
,	,	,
heal	heal	heal
a	a	a
community	communiti	community
,	,	,
or	or	or
lift	lift	lift
a	a	a
country	countri	country
totally	total	totally
alone	alon	alone
.	.	.
I	i	I
ve	ve	ve
seen	seen	seen
what	what	what
a	a	a
village	villag	village
,	,	,
a	a	a
community	communiti	community
,	,	,
and	and	and
a	a	a
movement	movement	movement
can	can	can
do	do	do
,	,	,
one	one	one
action	action	action
at	at	at
a	a	a
time	time	time
.	.	.
And	and	And
I	i	I
ve	ve	ve
seen	seen	seen
how	how	how
women	women	woman
can	can	can
help	help	help
women	women	woman
especially	especi	especially
when	when	when
we	we	we
run	run	run
for	for	for
office	offic	office
.	.	.
I	i	I
sure	sure	sure
remember	rememb	remember
what	what	what
it	it	it
was	was	wa
like	like	like
running	run	running
for	for	for
the	the	the
Senate	senat	Senate
as	as	a
a	a	a
first	first	first
-time	-time	-time
candidate	candid	candidate
in	in	in
2011	2011	2011
.	.	.
I	i	I
had	had	had
to	to	to
learn	learn	learn
everything	everyth	everything
it	it	it
took	took	took
to	to	to
raise	rais	raise
money	money	money
,	,	,
build	build	build
a	a	a
grassroots	grassroot	grassroots
organizing	organ	organizing
operation	oper	operation
,	,	,
and	and	and
stand	stand	stand
up	up	up
to	to	to
a	a	a
Republican	republican	Republican
incumbent	incumb	incumbent
with	with	with
10	10	10
million	million	million
in	in	in
the	the	the
bank	bank	bank
and	and	and
I	i	I
had	had	had
to	to	to
do	do	do
it	it	it
fast	fast	fast
.	.	.
And	and	And
here	here	here
s	s	s
what	what	what
I	i	I
know	know	know
I	i	I
absolutely	absolut	absolutely
,	,	,
positively	posit	positively
couldn	couldn	couldn
t	t	t
have	have	have
done	done	done
it	it	it
on	on	on
my	my	my
own	own	own
.	.	.
So	so	So
when	when	when
the	the	the
Democratic	democrat	Democratic
Senatorial	senatori	Senatorial
Campaign	campaign	Campaign
Committee	committe	Committee
told	told	told
me	me	me
they	they	they
wanted	want	wanted
a	a	a
strong	strong	strong
launch	launch	launch
of	of	of
the	the	the
Women	women	Women
s	s	s
Senate	senat	Senate
Network	network	Network
for	for	for
the	the	the
2018	2018	2018
cycle	cycl	cycle
,	,	,
to	to	to
help	help	help
women	women	woman
run	run	run
and	and	and
make	make	make
sure	sure	sure
more	more	more
voices	voic	voice
like	like	like
mine	mine	mine
and	and	and
Hillary	hillari	Hillary
s	s	s
are	are	are
in	in	in
the	the	the
Senate	senat	Senate
,	,	,
I	i	I
immediately	immedi	immediately
told	told	told
them	them	them
I	i	I
m	m	m
all	all	all
in	in	in
.	.	.
Today	today	Today
,	,	,
I	i	I
m	m	m
asking	ask	asking
you	you	you
to	to	to
join	join	join
me	me	me
in	in	in
becoming	becom	becoming
a	a	a
2018	2018	2018
founding	found	founding
member	member	member
of	of	of
the	the	the
DSCC	dscc	DSCC
Women	women	Women
s	s	s
Senate	senat	Senate
Network	network	Network
.	.	.
Because	becaus	Because
you	you	you
were	were	were
there	there	there
for	for	for
Hillary	hillari	Hillary
,	,	,
I	i	I
m	m	m
hoping	hope	hoping
you	you	you
ll	ll	ll
add	add	add
your	your	your
name	name	name
to	to	to
help	help	help
us	us	u
build	build	build
a	a	a
community	communiti	community
to	to	to
support	support	support
women	women	woman
who	who	who
run	run	run
for	for	for
office	offic	office
.	.	.
Now	now	Now
let	let	let
me	me	me
be	be	be
blunt	blunt	blunt
2018	2018	2018
is	is	is
going	go	going
to	to	to
be	be	be
a	a	a
hard	hard	hard
year	year	year
for	for	for
Democrats	democrat	Democrats
.	.	.
We	we	We
ve	ve	ve
got	got	got
10	10	10
women	women	woman
who	who	who
are	are	are
up	up	up
for	for	for
reelection	reelect	reelection
to	to	to
the	the	the
Senate	senat	Senate
,	,	,
including	includ	including
me	me	me
more	more	more
than	than	than
ever	ever	ever
before	befor	before
in	in	in
history	histori	history
.	.	.
And	and	And
many	mani	many
are	are	are
in	in	in
some	some	some
really	realli	really
tough	tough	tough
races	race	race
.	.	.
That	that	That
s	s	s
why	whi	why
the	the	the
DSCC	dscc	DSCC
s	s	s
Women	women	Women
s	s	s
Senate	senat	Senate
Network	network	Network
is	is	is
ramping	ramp	ramping
up	up	up
its	it	it
2018	2018	2018
efforts	effort	effort
early	earli	early
to	to	to
elect	elect	elect
and	and	and
protect	protect	protect
smart	smart	smart
,	,	,
tough	tough	tough
,	,	,
and	and	and
experienced	experienc	experienced
candidates	candid	candidate
to	to	to
fight	fight	fight
for	for	for
what	what	what
s	s	s
right	right	right
senators	senat	senator
who	who	who
understand	understand	understand
that	that	that
being	be	being
a	a	a
woman	woman	woman
is	is	is
not	not	not
a	a	a
pre	pre	pre
-existing	-exist	-existing
condition	condit	condition
,	,	,
that	that	that
we	we	we
deserve	deserv	deserve
equal	equal	equal
pay	pay	pay
for	for	for
equal	equal	equal
work	work	work
,	,	,
and	and	and
that	that	that
we	we	we
sure	sure	sure
as	as	a
heck	heck	heck
need	need	need
Planned	plan	Planned
Parenthood	parenthood	Parenthood
and	and	and
affordable	afford	affordable
health	health	health
care	care	care
for	for	for
hardworking	hardwork	hardworking
families	famili	family
.	.	.
Let	let	Let
s	s	s
continue	continu	continue
our	our	our
fight	fight	fight
and	and	and
get	get	get
more	more	more
women	women	woman
in	in	in
leadership	leadership	leadership
in	in	in
this	this	this
country	countri	country
.	.	.
I	i	I
m	m	m
counting	count	counting
on	on	on
you	you	you
to	to	to
keep	keep	keep
fighting	fight	fighting
for	for	for
what	what	what
we	we	we
all	all	all
started	start	started
become	becom	become
a	a	a
2018	2018	2018
founding	found	founding
member	member	member
of	of	of
the	the	the
DSCC	dscc	DSCC
Women	women	Women
s	s	s
Senate	senat	Senate
Network	network	Network
today	today	today
.	.	.
You	you	You
ll	ll	ll
even	even	even
get	get	get
your	your	your
very	veri	very
own	own	own
Nevertheless	nevertheless	Nevertheless
,	,	,
She	she	She
Persisted	persist	Persisted
sticker	sticker	sticker
when	when	when
you	you	you
do	do	do
!	!	!
Every	everi	Every
minute	minut	minute
counts	count	count
to	to	to
get	get	get
a	a	a
campaign	campaign	campaign
off	off	off
the	the	the
ground	ground	ground
.	.	.
It	it	It
mattered	matter	mattered
the	the	the
most	most	most
when	when	when
the	the	the
DSCC	dscc	DSCC
helped	help	helped
launch	launch	launch
my	my	my
Senate	senat	Senate
campaign	campaign	campaign
,	,	,
and	and	and
when	when	when
they	they	they
were	were	were
there	there	there
for	for	for
Hillary	hillari	Hillary
when	when	when
she	she	she
launched	launch	launched
her	her	her
Senate	senat	Senate
career	career	career
17	17	17
years	year	year
ago	ago	ago
.	.	.
And	and	And
with	with	with
your	your	your
help	help	help
,	,	,
we	we	we
can	can	can
be	be	be
there	there	there
for	for	for
the	the	the
women	women	woman
who	who	who
need	need	need
help	help	help
defending	defend	defending
their	their	their
seats	seat	seat
now	now	now
and	and	and
for	for	for
the	the	the
next	next	next
generation	generat	generation
of	of	of
women	women	woman
candidates	candid	candidate
ready	readi	ready
to	to	to
move	move	move
into	into	into
leadership	leadership	leadership
.	.	.
Early	earli	Early
help	help	help
makes	make	make
all	all	all
the	the	the
difference	differ	difference
.	.	.
Thank	thank	Thank
you	you	you
for	for	for
owning	own	owning
a	a	a
piece	piec	piece
of	of	of
this	this	this
.	.	.
Elizabeth	elizabeth	Elizabeth
