America	america	America
testifying	testifi	testifying
on	on	on
behalf	behalf	behalf
of	of	of
Williams	william	Williams
said	said	said
that	that	that
they	they	they
had	had	had
seen	seen	seen
the	the	the
restaurant	restaur	restaurant
targeting	target	targeting
other	other	other
black	black	black
patrons	patron	patron
to	to	to
pre	pre	pre
-pay	-pay	-pay
in	in	in
weeks	week	week
prior	prior	prior
.	.	.

I	i	I
bet	bet	bet
not	not	not
every	everi	every
case	case	case
of	of	of
these	these	these
was	was	wa
a	a	a
huge	huge	huge
order	order	order
.	.	.

Denny	denni	Denny
s	s	s
already	alreadi	already
had	had	had
a	a	a
bad	bad	bad
reputation	reput	reputation
in	in	in
this	this	this
area	area	area
,	,	,
because	becaus	because
it	it	it
had	had	had
to	to	to
pay	pay	pay
54	54	54
million	million	million
in	in	in
1994	1994	1994
for	for	for
a	a	a
case	case	case
of	of	of
similar	similar	similar
discrimination	discrimin	discrimination
against	against	against
black	black	black
customers	custom	customer
.	.	.
The	the	The
details	detail	detail
of	of	of
the	the	the
settlement	settlement	settlement
were	were	were
not	not	not
disclosed	disclos	disclosed
,	,	,
but	but	but
it	it	it
would	would	would
be	be	be
a	a	a
safe	safe	safe
bet	bet	bet
that	that	that
it	it	it
was	was	wa
more	more	more
than	than	than
the	the	the
cost	cost	cost
of	of	of
a	a	a
dine	dine	dine
-and-dash	-and-dash	-and-dash
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
wikicommons	wikicommon	wikicommons

