Whenever	whenev	Whenever
an	an	an
Orlando	orlando	Orlando
,	,	,
Florida	florida	Florida
gay	gay	gay
club	club	club
.	.	.
Radical	radic	Radical
Islam	islam	Islam
killed	kill	killed
these	these	these
people	peopl	people
!	!	!
Gohmert	gohmert	Gohmert
was	was	wa
shouted	shout	shouted
down	down	down
by	by	by
Democrats	democrat	Democrats
chanting	chant	chanting
,	,	,
No	no	No
fly	fli	fly
,	,	,
no	no	no
gun	gun	gun
!	!	!
and	and	and
Don	don	Don
t	t	t
let	let	let
terrorists	terrorist	terrorist
have	have	have
a	a	a
gun	gun	gun
!	!	!
Source	sourc	Source
Talking	talk	Talking
Points	point	Points
MemoSure	memosur	MemoSure
,	,	,
we	we	we
can	can	can
call	call	call
our	our	our
gun	gun	gun
problem	problem	problem
a	a	a
terrorism	terror	terrorism
problem	problem	problem
.	.	.
G	g	G
-d	-d	-d
knows	know	know
it	it	it
s	s	s
terrifying	terrifi	terrifying
Americans	american	Americans
,	,	,
but	but	but
it	it	it
s	s	s
not	not	not
a	a	a
Muslim	muslim	Muslim
problem	problem	problem
.	.	.
The	the	The
vast	vast	vast
majority	major	majority
of	of	of
mass	mass	mass
shooters	shooter	shooter
are	are	are
white	white	white
men	men	men
without	without	without
a	a	a
political	polit	political
agenda	agenda	agenda
.	.	.
As	as	As
we	we	we
learn	learn	learn
more	more	more
and	and	and
more	more	more
about	about	about
the	the	the
Orlando	orlando	Orlando
shooter	shooter	shooter
,	,	,
we	we	we
are	are	are
coming	come	coming
to	to	to
realize	realiz	realize
that	that	that
his	his	his
association	associ	association
to	to	to
terrorism	terror	terrorism
is	is	is
sketchy	sketchi	sketchy
at	at	at
best	best	best
.	.	.
Instead	instead	Instead
,	,	,
it	it	it
seems	seem	seems
,	,	,
he	he	he
was	was	wa
a	a	a
spurned	spurn	spurned
self	self	self
-hating	-hate	-hating
gay	gay	gay
man	man	man
.	.	.
If	if	If
that	that	that
s	s	s
the	the	the
case	case	case
,	,	,
that	that	that
he	he	he
is	is	is
a	a	a
self	self	self
-loathing	-loath	-loathing
gay	gay	gay
man	man	man
and	and	and
that	that	that
s	s	s
all	all	all
the	the	the
shooting	shoot	shooting
was	was	wa
about	about	about
,	,	,
that	that	that
indicates	indic	indicates
a	a	a
societal	societ	societal
problem	problem	problem
one	one	one
which	which	which
Gohmert	gohmert	Gohmert
,	,	,
a	a	a
man	man	man
who	who	who
seems	seem	seems
to	to	to
obsess	obsess	ob
over	over	over
whether	whether	whether
being	be	being
gay	gay	gay
is	is	is
God	god	God
s	s	s
will	will	will
is	is	is
at	at	at
least	least	least
partially	partial	partially
responsible	respons	responsible
for	for	for
.	.	.
The	the	The
bigger	bigger	bigger
picture	pictur	picture
,	,	,
though	though	though
,	,	,
is	is	is
that	that	that
all	all	all
of	of	of
our	our	our
mass	mass	mass
shootings	shoot	shooting
,	,	,
as	as	a
a	a	a
matter	matter	matter
of	of	of
fact	fact	fact
,	,	,
all	all	all
of	of	of
our	our	our
nation	nation	nation
s	s	s
shootings	shoot	shooting
period	period	period
,	,	,
have	have	have
one	one	one
thing	thing	thing
in	in	in
common	common	common
and	and	and
that	that	that
s	s	s
guns	gun	gun
.	.	.
In	in	In
our	our	our
current	current	current
political	polit	political
climate	climat	climate
,	,	,
there	there	there
isn	isn	isn
t	t	t
a	a	a
chance	chanc	chance
in	in	in
hell	hell	hell
that	that	that
people	peopl	people
will	will	will
give	give	give
up	up	up
all	all	all
guns	gun	gun
,	,	,
but	but	but
there	there	there
s	s	s
a	a	a
chance	chanc	chance
,	,	,
albeit	albeit	albeit
a	a	a
slim	slim	slim
one	one	one
,	,	,
that	that	that
maybe	mayb	maybe
we	we	we
could	could	could
stop	stop	stop
the	the	the
sale	sale	sale
of	of	of
assault	assault	assault
weapons	weapon	weapon
to	to	to
violent	violent	violent
people	peopl	people
.	.	.
That	that	That
s	s	s
all	all	all
Congress	congress	Congress
wants	want	want
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
at	at	at
Getty	getti	Getty
Images	imag	Images
.	.	.
