Coming	come	Coming
Whatever	whatev	Whatever
my	my	my
kid	kid	kid
wants	want	want
to	to	to
do	do	do
or	or	or
be	be	be
I	i	I
will	will	will
always	alway	always
support	support	support
him	him	him
no	no	no
matter	matter	matter
what	what	what
.	.	.
And	and	And
she	she	she
s	s	s
clearly	clear	clearly
holding	hold	holding
true	true	true
to	to	to
her	her	her
word	word	word
.	.	.
Adele	adel	Adele
s	s	s
son	son	son
Angelo	angelo	Angelo
isn	isn	isn
t	t	t
the	the	the
only	onli	only
little	littl	little
guy	guy	guy
who	who	who
enjoys	enjoy	enjoys
the	the	the
amazing	amaz	amazing
fashion	fashion	fashion
of	of	of
Frozen	frozen	Frozen
.	.	.
Just	just	Just
last	last	last
fall	fall	fall
,	,	,
another	anoth	another
parent	parent	parent
made	made	made
news	news	news
on	on	on
Facebook	facebook	Facebook
when	when	when
he	he	he
posted	post	posted
a	a	a
picture	pictur	picture
of	of	of
his	his	his
son	son	son
in	in	in
his	his	his
Halloween	halloween	Halloween
costume	costum	costume
of	of	of
choice	choic	choice
as	as	a
Elsa	elsa	Elsa
.	.	.
Here	here	Here
s	s	s
the	the	the
thing	thing	thing
about	about	about
childhood	childhood	childhood
.	.	.
It	it	It
s	s	s
important	import	important
to	to	to
let	let	let
your	your	your
kids	kid	kid
be	be	be
kids	kid	kid
and	and	and
have	have	have
fun	fun	fun
,	,	,
and	and	and
Adele	adel	Adele
seems	seem	seems
to	to	to
perfectly	perfect	perfectly
be	be	be
doing	do	doing
just	just	just
that	that	that
.	.	.
Featured	featur	Featured
image	imag	image
DailyMail	dailymail	DailyMail
