Seriously	serious	Seriously
bill	bill	bill
Trump	trump	Trump
signed	sign	signed
was	was	wa
a	a	a
war	war	war
memorial	memori	memorial
,	,	,
and	and	and
another	anoth	another
encouraged	encourag	encouraged
Americans	american	Americans
to	to	to
display	display	display
the	the	the
flag	flag	flag
on	on	on
a	a	a
certain	certain	certain
day	day	day
.	.	.
None	none	None
of	of	of
these	these	these
pieces	piec	piece
of	of	of
legislation	legisl	legislation
actually	actual	actually
do	do	do
anything	anyth	anything
to	to	to
help	help	help
Americans	american	Americans
or	or	or
improve	improv	improve
our	our	our
country	countri	country
.	.	.
In	in	In
short	short	short
,	,	,
it	it	it
s	s	s
not	not	not
worth	worth	worth
bragging	brag	bragging
about	about	about
.	.	.
The	the	The
only	onli	only
reason	reason	reason
Trump	trump	Trump
is	is	is
bragging	brag	bragging
about	about	about
it	it	it
is	is	is
because	becaus	because
he	he	he
has	has	ha
nothing	noth	nothing
else	els	else
to	to	to
brag	brag	brag
about	about	about
and	and	and
he	he	he
wants	want	want
to	to	to
convince	convinc	convince
Americans	american	Americans
that	that	that
he	he	he
is	is	is
succeeding	succeed	succeeding
.	.	.
Of	of	Of
course	cours	course
,	,	,
Trump	trump	Trump
won	won	won
t	t	t
mention	mention	mention
that	that	that
all	all	all
of	of	of
bills	bill	bill
he	he	he
has	has	ha
signed	sign	signed
are	are	are
insignificant	insignific	insignificant
.	.	.
Trump	trump	Trump
s	s	s
major	major	major
legislative	legisl	legislative
agenda	agenda	agenda
has	has	ha
been	been	been
a	a	a
complete	complet	complete
failure	failur	failure
while	while	while
past	past	past
presidents	presid	president
have	have	have
major	major	major
legislative	legisl	legislative
accomplishments	accomplish	accomplishment
on	on	on
their	their	their
records	record	record
through	through	through
the	the	the
first	first	first
100	100	100
days	day	day
.	.	.
Trump	trump	Trump
also	also	also
whined	whine	whined
about	about	about
Democrats	democrat	Democrats
and	and	and
accused	accus	accused
them	them	them
of	of	of
being	be	being
obstructionists	obstructionist	obstructionist
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
NBC	nbc	NBC
The	the	The
problem	problem	problem
with	with	with
this	this	this
charge	charg	charge
is	is	is
that	that	that
it	it	it
s	s	s
hypocritical	hypocrit	hypocritical
and	and	and
pathetic	pathet	pathetic
.	.	.
Republicans	republican	Republicans
control	control	control
both	both	both
the	the	the
Senate	senat	Senate
and	and	and
the	the	the
House	hous	House
.	.	.
So	so	So
blaming	blame	blaming
Democrats	democrat	Democrats
for	for	for
his	his	his
own	own	own
party	parti	party
s	s	s
inability	inabl	inability
to	to	to
get	get	get
things	thing	thing
passed	pass	passed
in	in	in
Congress	congress	Congress
is	is	is
nothing	noth	nothing
more	more	more
than	than	than
an	an	an
excuse	excus	excuse
,	,	,
and	and	and
a	a	a
bad	bad	bad
one	one	one
at	at	at
that	that	that
.	.	.
It	it	It
s	s	s
also	also	also
hypocritical	hypocrit	hypocritical
because	becaus	because
Republicans	republican	Republicans
obstructed	obstruct	obstructed
President	presid	President
Obama	obama	Obama
for	for	for
eight	eight	eight
years	year	year
.	.	.
To	to	To
expect	expect	expect
Democrats	democrat	Democrats
to	to	to
all	all	all
of	of	of
a	a	a
sudden	sudden	sudden
play	play	play
ball	ball	ball
,	,	,
especially	especi	especially
when	when	when
such	such	such
a	a	a
destructive	destruct	destructive
and	and	and
incompetent	incompet	incompetent
person	person	person
is	is	is
in	in	in
charge	charg	charge
of	of	of
the	the	the
White	white	White
House	hous	House
,	,	,
is	is	is
ridiculous	ridicul	ridiculous
.	.	.
Trump	trump	Trump
claimed	claim	claimed
that	that	that
Democrats	democrat	Democrats
would	would	would
not	not	not
even	even	even
vote	vote	vote
for	for	for
the	the	the
greatest	greatest	greatest
healthcare	healthcar	healthcare
bill	bill	bill
in	in	in
the	the	the
world	world	world
.	.	.
He	he	He
should	should	should
put	put	put
his	his	his
money	money	money
where	where	where
his	his	his
mouth	mouth	mouth
is	is	is
.	.	.
Just	just	Just
introduce	introduc	introduce
a	a	a
universal	univers	universal
healthcare	healthcar	healthcare
bill	bill	bill
in	in	in
Congress	congress	Congress
and	and	and
watch	watch	watch
how	how	how
fast	fast	fast
Democrats	democrat	Democrats
vote	vote	vote
in	in	in
favor	favor	favor
of	of	of
it	it	it
.	.	.
The	the	The
problem	problem	problem
is	is	is
that	that	that
Trump	trump	Trump
s	s	s
current	current	current
healthcare	healthcar	healthcare
bill	bill	bill
is	is	is
nowhere	nowher	nowhere
near	near	near
the	the	the
greatest	greatest	greatest
.	.	.
It	it	It
strips	strip	strip
healthcare	healthcar	healthcare
from	from	from
millions	million	million
of	of	of
people	peopl	people
while	while	while
giving	give	giving
massive	massiv	massive
tax	tax	tax
breaks	break	break
to	to	to
wealthy	wealthi	wealthy
people	peopl	people
such	such	such
as	as	a
himself	himself	himself
.	.	.
It	it	It
also	also	also
raises	rais	raise
the	the	the
cost	cost	cost
of	of	of
healthcare	healthcar	healthcare
and	and	and
gives	give	give
insurance	insur	insurance
companies	compani	company
the	the	the
power	power	power
to	to	to
drop	drop	drop
customers	custom	customer
for	for	for
a	a	a
variety	varieti	variety
of	of	of
reasons	reason	reason
,	,	,
including	includ	including
if	if	if
a	a	a
woman	woman	woman
was	was	wa
raped	rape	raped
.	.	.
This	this	This
Cabinet	cabinet	Cabinet
meeting	meet	meeting
was	was	wa
nothing	noth	nothing
more	more	more
than	than	than
blatant	blatant	blatant
propaganda	propaganda	propaganda
designed	design	designed
to	to	to
stroke	stroke	stroke
Trump	trump	Trump
s	s	s
ego	ego	ego
and	and	and
fool	fool	fool
the	the	the
American	american	American
people	peopl	people
into	into	into
thinking	think	thinking
he	he	he
s	s	s
great	great	great
.	.	.
It	it	It
s	s	s
disgraceful	disgrac	disgraceful
and	and	and
the	the	the
American	american	American
people	peopl	people
should	should	should
be	be	be
outraged	outrag	outraged
.	.	.
Featured	featur	Featured
Image	imag	Image
Screenshot	screenshot	Screenshot
