After	after	After
time	time	time
such	such	such
as	as	a
this	this	this
.	.	.
I	i	I
think	think	think
we	we	we
ve	ve	ve
all	all	all
fallen	fallen	fallen
short	short	short
from	from	from
what	what	what
God	god	God
expects	expect	expects
,	,	,
said	said	said
another	anoth	another
.	.	.
Another	anoth	Another
said	said	said
that	that	that
people	peopl	people
just	just	just
try	tri	try
to	to	to
pick	pick	pick
on	on	on
Trump	trump	Trump
and	and	and
his	his	his
character	charact	character
.	.	.
One	one	One
man	man	man
said	said	said
he	he	he
s	s	s
not	not	not
looking	look	looking
for	for	for
someone	someon	someone
who	who	who
is	is	is
perfect	perfect	perfect
,	,	,
but	but	but
he	he	he
is	is	is
looking	look	looking
for	for	for
someone	someon	someone
to	to	to
save	save	save
this	this	this
country	countri	country
.	.	.
That	that	That
man	man	man
originally	origin	originally
supporter	support	supporter
Ben	ben	Ben
Carson	carson	Carson
but	but	but
now	now	now
,	,	,
he	he	he
s	s	s
on	on	on
the	the	the
Trump	trump	Trump
Train	train	Train
.	.	.
As	as	As
for	for	for
Trump	trump	Trump
s	s	s
infamous	infam	infamous
grab	grab	grab
them	them	them
by	by	by
the	the	the
pussy	pussi	pussy
comments	comment	comment
,	,	,
one	one	one
man	man	man
said	said	said
it	it	it
bothered	bother	bothered
him	him	him
but	but	but
added	ad	added
,	,	,
Is	is	Is
it	it	it
a	a	a
deal	deal	deal
breaker	breaker	breaker
?	?	?
No	no	No
.	.	.
One	one	One
woman	woman	woman
said	said	said
,	,	,
Some	some	Some
of	of	of
that	that	that
the	the	the
media	media	medium
has	has	ha
made	made	made
it	it	it
be	be	be
worse	wors	worse
than	than	than
it	it	it
is	is	is
.	.	.
The	the	The
reported	report	reported
reminded	remind	reminded
her	her	her
that	that	that
his	his	his
remarks	remark	remark
are	are	are
on	on	on
tape	tape	tape
.	.	.
The	the	The
woman	woman	woman
said	said	said
,	,	,
Yeah	yeah	Yeah
,	,	,
it	it	it
doesn	doesn	doesn
t	t	t
bother	bother	bother
me	me	me
.	.	.
I	i	I
think	think	think
those	those	those
women	women	woman
need	need	need
to	to	to
grow	grow	grow
a	a	a
set	set	set
,	,	,
personally	person	personally
,	,	,
she	she	she
continued	continu	continued
.	.	.
You	you	You
know	know	know
,	,	,
it	it	it
s	s	s
been	been	been
a	a	a
lot	lot	lot
of	of	of
years	year	year
.	.	.
Get	get	Get
over	over	over
it	it	it
.	.	.
Watch	watch	Watch
We	we	We
re	re	re
pretty	pretti	pretty
sure	sure	sure
if	if	if
her	her	her
daughter	daughter	daughter
was	was	wa
sexually	sexual	sexually
assaulted	assault	assaulted
,	,	,
she	she	she
wouldn	wouldn	wouldn
t	t	t
be	be	be
so	so	so
dismissive	dismiss	dismissive
.	.	.
Or	or	Or
if	if	if
it	it	it
happened	happen	happened
to	to	to
her	her	her
or	or	or
her	her	her
mother	mother	mother
.	.	.
But	but	But
it	it	it
s	s	s
OK	ok	OK
.	.	.
It	it	It
happened	happen	happened
to	to	to
someone	someon	someone
else	els	else
so	so	so
get	get	get
over	over	over
it	it	it
.	.	.
Such	such	Such
caring	care	caring
conservatives	conserv	conservative
.	.	.
Reminder	remind	Reminder
Trump	trump	Trump
is	is	is
due	due	due
in	in	in
court	court	court
on	on	on
December	decemb	December
16th	16th	16th
on	on	on
child	child	child
rape	rape	rape
charges	charg	charge
.	.	.
Don	don	Don
t	t	t
forget	forget	forget
to	to	to
vote	vote	vote
.	.	.
Image	imag	Image
via	via	via
screen	screen	screen
capture	captur	capture
.	.	.
