Liz	liz	Liz
media	media	medium
,	,	,
this	this	this
issue	issu	issue
has	has	ha
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
the	the	the
cost	cost	cost
to	to	to
American	american	American
taxpayers	taxpay	taxpayer
or	or	or
with	with	with
our	our	our
national	nation	national
security	secur	security
.	.	.
It	it	It
s	s	s
simple	simpl	simple
a	a	a
matter	matter	matter
of	of	of
political	polit	political
correctness	correct	correctness
.	.	.
And	and	And
for	for	for
The	the	The
Washington	washington	Washington
Post	post	Post
,	,	,
who	who	who
Americans	american	Americans
used	use	used
to	to	to
rely	reli	rely
on	on	on
for	for	for
actual	actual	actual
news	news	news
,	,	,
political	polit	political
correctness	correct	correctness
trumps	trump	trump
truth	truth	truth
every	everi	every
time	time	time
.	.	.
The	the	The
Washington	washington	Washington
Post	post	Post
published	publish	published
an	an	an
article	articl	article
on	on	on
July	juli	July
26th	26th	26th
titled	titl	titled
that	that	that
supposedly	suppos	supposedly
addressed	address	addressed
the	the	the
cost	cost	cost
of	of	of
transgenders	transgend	transgenders
in	in	in
the	the	the
military	militari	military
.	.	.
Instead	instead	Instead
,	,	,
the	the	the
article	articl	article
was	was	wa
written	written	written
and	and	and
titled	titl	titled
to	to	to
reinforce	reinforc	reinforce
a	a	a
false	fals	false
narrative	narrat	narrative
that	that	that
our	our	our
president	presid	president
is	is	is
a	a	a
homophobe	homophob	homophobe
,	,	,
a	a	a
racist	racist	racist
and	and	and
a	a	a
misogynist	misogynist	misogynist
.	.	.
Trump	trump	Trump
s	s	s
argument	argument	argument
against	against	against
transgender	transgend	transgender
soldiers	soldier	soldier
echoes	echo	echo
one	one	one
used	use	used
against	against	against
gays	gay	gay
,	,	,
women	women	woman
and	and	and
blacksHere	blacksher	blacksHere
is	is	is
a	a	a
portion	portion	portion
of	of	of
their	their	their
article	articl	article
Seemingly	seem	Seemingly
out	out	out
of	of	of
the	the	the
blue	blue	blue
on	on	on
Wednesday	wednesday	Wednesday
morning	morn	morning
,	,	,
President	presid	President
Trump	trump	Trump
took	took	took
to	to	to
Twitter	twitter	Twitter
to	to	to
announce	announc	announce
that	that	that
he	he	he
would	would	would
not	not	not
allow	allow	allow
Transgender	transgend	Transgender
individuals	individu	individual
to	to	to
serve	serv	serve
in	in	in
any	ani	any
capacity	capac	capacity
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Military	militari	Military
.	.	.
The	the	The
rationale	rational	rationale
?	?	?
The	the	The
military	militari	military
cannot	cannot	cannot
be	be	be
burdened	burden	burdened
with	with	with
the	the	the
tremendous	tremend	tremendous
medical	medic	medical
costs	cost	cost
and	and	and
disruption	disrupt	disruption
that	that	that
transgender	transgend	transgender
in	in	in
the	the	the
military	militari	military
would	would	would
entail	entail	entail
.	.	.
The	the	The
question	question	question
of	of	of
costs	cost	cost
presumably	presum	presumably
referring	refer	referring
to	to	to
procedures	procedur	procedure
like	like	like
gender	gender	gender
reassignment	reassign	reassignment
surgery	surgeri	surgery
was	was	wa
addressed	address	addressed
in	in	in
a	a	a
Rand	rand	Rand
report	report	report
that	that	that
estimated	estim	estimated
a	a	a
0	0	0
.	.	.
04	04	04
-	-	-
to	to	to
0	0	0
.	.	.
13	13	13
-percent	-percent	-percent
increase	increas	increase
in	in	in
military	militari	military
health	health	health
-care	-care	-care
expenditures	expenditur	expenditure
should	should	should
transgender	transgend	transgender
people	peopl	people
be	be	be
allowed	allow	allowed
to	to	to
serve	serv	serve
.	.	.
Trump	trump	Trump
has	has	ha
proposed	propos	proposed
a	a	a
10	10	10
percent	percent	percent
bump	bump	bump
in	in	in
overall	overal	overall
military	militari	military
spending	spend	spending
,	,	,
which	which	which
could	could	could
certainly	certain	certainly
absorb	absorb	absorb
that	that	that
increase	increas	increase
.	.	.
Can	can	Can
anyone	anyon	anyone
explain	explain	explain
why	whi	why
members	member	member
of	of	of
Congress	congress	Congress
would	would	would
vote	vote	vote
to	to	to
increase	increas	increase
spending	spend	spending
on	on	on
our	our	our
military	militari	military
that	that	that
would	would	would
then	then	then
be	be	be
used	use	used
for	for	for
sex	sex	sex
reassignment	reassign	reassignment
surgery	surgeri	surgery
for	for	for
transgenders	transgend	transgenders
serving	serv	serving
in	in	in
our	our	our
military	militari	military
?	?	?
What	what	What
in	in	in
the	the	the
world	world	world
does	doe	doe
sex	sex	sex
reassignment	reassign	reassignment
have	have	have
to	to	to
do	do	do
with	with	with
defending	defend	defending
our	our	our
nation	nation	nation
?	?	?
