Sometimes	sometim	Sometimes
rest	rest	rest
will	will	will
only	onli	only
have	have	have
one	one	one
option	option	option
.	.	.
This	this	This
is	is	is
unacceptable	unaccept	unacceptable
.	.	.
Paul	paul	Paul
Ryan	ryan	Ryan
@SpeakerRyan	@speakerryan	@SpeakerRyan
April	april	April
8	8	8
,	,	,
2017Now	2017now	2017Now
,	,	,
first	first	first
of	of	of
all	all	all
,	,	,
if	if	if
Iowa	iowa	Iowa
had	had	had
set	set	set
up	up	up
Obamacare	obamacar	Obamacare
properly	proper	properly
,	,	,
they	they	they
d	d	d
have	have	have
their	their	their
own	own	own
health	health	health
exchange	exchang	exchange
and	and	and
not	not	not
put	put	put
you	you	you
to	to	to
the	the	the
national	nation	national
website	websit	website
.	.	.
This	this	This
would	would	would
have	have	have
also	also	also
subsequently	subsequ	subsequently
given	given	given
Iowa	iowa	Iowa
insurers	insur	insurer
the	the	the
ability	abil	ability
to	to	to
work	work	work
directly	direct	directly
with	with	with
the	the	the
state	state	state
.	.	.
Secondly	second	Secondly
,	,	,
when	when	when
for	for	for
-profit	-profit	-profit
companies	compani	company
are	are	are
given	given	given
the	the	the
ability	abil	ability
to	to	to
mess	mess	mess
with	with	with
people	peopl	people
s	s	s
care	care	care
for	for	for
the	the	the
sake	sake	sake
of	of	of
profit	profit	profit
and	and	and
to	to	to
try	tri	try
to	to	to
prove	prove	prove
a	a	a
point	point	point
that	that	that
something	someth	something
isn	isn	isn
t	t	t
working	work	working
they	they	they
will	will	will
do	do	do
so	so	so
.	.	.
Thus	thus	Thus
,	,	,
when	when	when
all	all	all
is	is	is
said	said	said
and	and	and
done	done	done
,	,	,
this	this	this
is	is	is
the	the	the
perfect	perfect	perfect
argument	argument	argument
for	for	for
Medicare	medicar	Medicare
for	for	for
all	all	all
,	,	,
OR	or	OR
at	at	at
least	least	least
a	a	a
public	public	public
option	option	option
.	.	.
A	a	A
public	public	public
option	option	option
would	would	would
provide	provid	provide
a	a	a
guaranteed	guarante	guaranteed
option	option	option
for	for	for
citizens	citizen	citizen
of	of	of
any	ani	any
state	state	state
,	,	,
as	as	a
well	well	well
as	as	a
provide	provid	provide
competition	competit	competition
in	in	in
the	the	the
for	for	for
-profit	-profit	-profit
world	world	world
of	of	of
health	health	health
insurance	insur	insurance
,	,	,
which	which	which
would	would	would
then	then	then
drive	drive	drive
down	down	down
costs	cost	cost
across	across	across
the	the	the
board	board	board
yay	yay	yay
,	,	,
true	true	true
capitalism	capit	capitalism
and	and	and
not	not	not
a	a	a
manipulative	manipul	manipulative
market	market	market
!	!	!
.	.	.
Medicare	medicar	Medicare
for	for	for
all	all	all
would	would	would
be	be	be
ideal	ideal	ideal
,	,	,
yet	yet	yet
not	not	not
as	as	a
realistic	realist	realistic
at	at	at
the	the	the
moment	moment	moment
,	,	,
and	and	and
would	would	would
provide	provid	provide
care	care	care
to	to	to
every	everi	every
single	singl	single
American	american	American
.	.	.
Imagine	imagin	Imagine
that	that	that
!	!	!
Taxes	tax	Taxes
being	be	being
used	use	used
for	for	for
tax	tax	tax
payers	payer	payer
!	!	!
When	when	When
all	all	all
is	is	is
said	said	said
and	and	and
done	done	done
,	,	,
we	we	we
can	can	can
thank	thank	thank
Paul	paul	Paul
Ryan	ryan	Ryan
for	for	for
this	this	this
perfect	perfect	perfect
meme	meme	meme
to	to	to
use	use	use
against	against	against
him	him	him
time	time	time
and	and	and
time	time	time
again	again	again
.	.	.
Well	well	Well
done	done	done
,	,	,
Speaker	speaker	Speaker
!	!	!
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Olivier	olivi	Olivier
Douliery	doulieri	Douliery
Getty	getti	Getty
Images	imag	Images
