David	david	David
the	the	the
Jewish	jewish	Jewish
cabal	cabal	cabal
and	and	and
a	a	a
candidate	candid	candidate
like	like	like
Trump	trump	Trump
seems	seem	seems
tailor	tailor	tailor
made	made	made
for	for	for
the	the	the
white	white	white
supremacist	supremacist	supremacist
.	.	.
While	while	While
the	the	the
the	the	the
Jews	jew	Jews
did	did	did
it	it	it
defense	defens	defense
might	might	might
not	not	not
resonate	reson	resonate
with	with	with
most	most	most
Trump	trump	Trump
voters	voter	voter
after	after	after
all	all	all
,	,	,
they	they	they
claim	claim	claim
to	to	to
love	love	love
Israel	israel	Israel
,	,	,
there	there	there
will	will	will
continue	continu	continue
to	to	to
be	be	be
a	a	a
lot	lot	lot
of	of	of
blaming	blame	blaming
of	of	of
the	the	the
media	media	medium
for	for	for
the	the	the
words	word	word
that	that	that
come	come	come
out	out	out
of	of	of
Trump	trump	Trump
s	s	s
mouth	mouth	mouth
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
David	david	David
Duke	duke	Duke
s	s	s
Facebook	facebook	Facebook
page	page	page
.	.	.
