Ever	ever	Ever
even	even	even
included	includ	included
photos	photo	photo
of	of	of
her	her	her
injuries	injuri	injury
This	this	This
sort	sort	sort
of	of	of
hatred	hatr	hatred
needs	need	need
to	to	to
stop	stop	stop
.	.	.
Unfortunately	unfortun	Unfortunately
,	,	,
half	half	half
the	the	the
country	countri	country
follows	follow	follows
a	a	a
party	parti	party
whose	whose	whose
entire	entir	entire
platform	platform	platform
is	is	is
built	built	built
on	on	on
hatred	hatr	hatred
,	,	,
whose	whose	whose
frontrunner	frontrunn	frontrunner
practices	practic	practice
almost	almost	almost
every	everi	every
form	form	form
of	of	of
bigotry	bigotri	bigotry
possible	possibl	possible
.	.	.
Unfortunately	unfortun	Unfortunately
,	,	,
with	with	with
Right	right	Right
-Wing	-wing	-Wing
media	media	medium
and	and	and
politicians	politician	politician
constantly	constant	constantly
reminding	remind	reminding
their	their	their
poorly	poor	poorly
educated	educ	educated
followers	follow	follower
of	of	of
the	the	the
alleged	alleg	alleged
evils	evil	evil
of	of	of
the	the	the
LGBT	lgbt	LGBT
community	communiti	community
.	.	.
Even	even	Even
more	more	more
unfortunately	unfortun	unfortunately
,	,	,
we	we	we
can	can	can
expect	expect	expect
this	this	this
sort	sort	sort
of	of	of
thing	thing	thing
if	if	if
Republicans	republican	Republicans
manage	manag	manage
to	to	to
win	win	win
not	not	not
only	onli	only
the	the	the
Presidency	presid	Presidency
,	,	,
but	but	but
seats	seat	seat
in	in	in
the	the	the
Senate	senat	Senate
and	and	and
House	hous	House
.	.	.
We	we	We
can	can	can
t	t	t
allow	allow	allow
this	this	this
to	to	to
continue	continu	continue
.	.	.
Vote	vote	Vote
BLUE	blue	BLUE
in	in	in
November	novemb	November
not	not	not
just	just	just
for	for	for
the	the	the
Oval	oval	Oval
Office	offic	Office
,	,	,
but	but	but
for	for	for
every	everi	every
office	offic	office
both	both	both
local	local	local
and	and	and
national	nation	national
.	.	.
Let	let	Let
s	s	s
start	start	start
undoing	undo	undoing
the	the	the
damage	damag	damage
done	done	done
by	by	by
the	the	the
Republican	republican	Republican
Party	parti	Party
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Facebook	facebook	Facebook
