After	after	After
Broadcasting	broadcast	Broadcasting
Crap	crap	Crap
BNL	bnl	BNL
NEWS	news	NEWS
@BreakingNLive	@breakingnl	@BreakingNLive
December	decemb	December
2	2	2
,	,	,
2017And	2017and	2017And
then	then	then
,	,	,
finally	final	finally
,	,	,
Twitter	twitter	Twitter
user	user	user
Jake	jake	Jake
Blum	blum	Blum
called	call	called
ABC	abc	ABC
News	news	News
out	out	out
for	for	for
reporting	report	reporting
fake	fake	fake
news	news	news
This	this	This
is	is	is
so	so	so
incredibly	incred	incredibly
irresponsible	irrespons	irresponsible
and	and	and
reckless	reckless	reckless
.	.	.
Sowing	sow	Sowing
damage	damag	damage
to	to	to
the	the	the
legitimacy	legitimaci	legitimacy
of	of	of
our	our	our
government	govern	government
.	.	.
Hard	hard	Hard
for	for	for
you	you	you
all	all	all
to	to	to
push	push	push
back	back	back
on	on	on
the	the	the
fake	fake	fake
news	news	news
label	label	label
when	when	when
this	this	this
is	is	is
so	so	so
damn	damn	damn
common	common	common
.	.	.
Jake	jake	Jake
Blum	blum	Blum
@RealJakeBlum	@realjakeblum	@RealJakeBlum
December	decemb	December
2	2	2
,	,	,
2017	2017	2017
