Okay	okay	Okay
alone	alon	alone
!	!	!

So	so	So
much	much	much
for	for	for
Gore	gore	Gore
s	s	s
500	500	500
,	,	,
000	000	000
popular	popular	popular
vote	vote	vote
victory	victori	victory
.	.	.

That	that	That
was	was	wa
the	the	the
headline	headlin	headline
on	on	on
the	the	the
N	n	N
.	.	.
Y	y	Y
.	.	.
Times	time	Times
,	,	,
and	and	and
it	it	it
was	was	wa
the	the	the
lead	lead	lead
story	stori	story
on	on	on
NBC	nbc	NBC
Nightly	night	Nightly
News	news	News
,	,	,
right	right	right
?	?	?

No	no	No
?	?	?

You	you	You
re	re	re
kidding	kid	kidding
.	.	.
Getting	get	Getting
back	back	back
to	to	to
the	the	the
win	win	win
the	the	the
popular	popular	popular
vote	vote	vote
lose	lose	lose
the	the	the
Electoral	elector	Electoral
College	colleg	College
scenario	scenario	scenario
Thank	thank	Thank
G	g	G
-d	-d	-d
we	we	we
have	have	have
that	that	that
,	,	,
or	or	or
else	els	else
California	california	California
and	and	and
N	n	N
.	.	.
Y	y	Y
.	.	.
would	would	would
determine	determin	determine
every	everi	every
election	elect	election
.	.	.

Every	everi	Every
time	time	time
.	.	.
But	but	But
the	the	the
Electoral	elector	Electoral
College	colleg	College
brilliantly	brilliant	brilliantly
smooths	smooth	smooth
out	out	out
the	the	the
variances	varianc	variance
in	in	in
the	the	the
voting	vote	voting
proclivities	procliv	proclivity
among	among	among
states	state	state
and	and	and
regions	region	region
.	.	.

Farmers	farmer	Farmers
in	in	in
the	the	the
middle	middl	middle
of	of	of
the	the	the
country	countri	country
and	and	and
importers	import	importer
and	and	and
exporters	export	exporter
on	on	on
the	the	the
shore	shore	shore
get	get	get
roughly	rough	roughly
equal	equal	equal
say	say	say
,	,	,
as	as	a
do	do	do
Madison	madison	Madison
Ave	ave	Ave
.	.	.

execs	exec	exec
and	and	and
factory	factori	factory
workers	worker	worker
in	in	in
Tennessee	tennesse	Tennessee
.	.	.
Shortcomings	shortcom	Shortcomings
?	?	?

Sure	sure	Sure
.	.	.

The	the	The
E	e	E
.	.	.
C	c	C
.	.	.
can	can	can
make	make	make
an	an	an
R	r	R
vote	vote	vote
meaningless	meaningless	meaningless
in	in	in
a	a	a
very	veri	very
few	few	few
heavily	heavili	heavily
D	d	D
states	state	state
or	or	or
vice	vice	vice
versa	versa	versa
.	.	.

But	but	But
without	without	without
the	the	the
Electoral	elector	Electoral
College	colleg	College
,	,	,
the	the	the
country	countri	country
s	s	s
entire	entir	entire
population	popul	population
is	is	is
subject	subject	subject
to	to	to
the	the	the
disproportionate	disproportion	disproportionate
voting	vote	voting
preferences	prefer	preference
of	of	of
the	the	the
few	few	few
most	most	most
populous	popul	populous
states	state	state
.	.	.

American	american	American
Thinker	thinker	Thinker

