Here	here	Here
record	record	record
copy	copi	copy
of	of	of
the	the	the
call	call	call
log	log	log
,	,	,
press	press	press
clips	clip	clip
,	,	,
and	and	and
agenda	agenda	agenda
of	of	of
daily	daili	daily
activitiesElectronic	activitieselectron	activitiesElectronic
copy	copi	copy
of	of	of
a	a	a
log	log	log
of	of	of
calls	call	call
the	the	the
Secretary	secretari	Secretary
made	made	made
since	sinc	since
2004	2004	2004
,	,	,
it	it	it
is	is	is
a	a	a
non	non	non
-record	-record	-record
,	,	,
since	sinc	since
her	her	her
official	offici	official
calls	call	call
are	are	are
logged	log	logged
elsewhere	elsewher	elsewhere
official	offici	official
schedule	schedul	schedule
and	and	and
official	offici	official
call	call	call
log	log	log
Electronic	electron	Electronic
copy	copi	copy
of	of	of
the	the	the
Secretary	secretari	Secretary
s	s	s
call	call	call
grid	grid	grid
which	which	which
is	is	is
a	a	a
running	run	running
list	list	list
of	of	of
calls	call	call
she	she	she
wants	want	want
to	to	to
make	make	make
both	both	both
personal	person	personal
and	and	and
official	offici	official
16	16	16
boxes	box	box
Personal	person	Personal
Schedules	schedul	Schedules
1993	1993	1993
thru	thru	thru
2008	2008	2008
-prior	-prior	-prior
to	to	to
the	the	the
Secretary	secretari	Secretary
s	s	s
tenure	tenur	tenure
at	at	at
the	the	the
Department	depart	Department
of	of	of
State	state	State
.	.	.
29	29	29
boxes	box	box
Miscellaneous	miscellan	Miscellaneous
Public	public	Public
Schedules	schedul	Schedules
during	dure	during
her	her	her
tenure	tenur	tenure
as	as	a
FLOTUS	flotus	FLOTUS
and	and	and
Senator	senat	Senator
-prior	-prior	-prior
to	to	to
the	the	the
Secretary	secretari	Secretary
s	s	s
tenure	tenur	tenure
at	at	at
the	the	the
Department	depart	Department
of	of	of
State1	state1	State1
box	box	box
Personal	person	Personal
Reimbursable	reimburs	Reimbursable
receipts	receipt	receipt
6	6	6
25	25	25
2009	2009	2009
thru	thru	thru
1	1	1
14	14	14
2013	2013	2013
1	1	1
box	box	box
Personal	person	Personal
Photos1	photos1	Photos1
box	box	box
Personal	person	Personal
schedule	schedul	schedule
2009	2009	2009
-2013	-2013	-2013
STICKY	sticki	STICKY
FINGERS	finger	FINGERS
CLINTON	clinton	CLINTON
A	a	A
physical	physic	physical
file	file	file
of	of	of
the	the	the
log	log	log
of	of	of
the	the	the
Secretary	secretari	Secretary
s	s	s
gifts	gift	gift
with	with	with
pictures	pictur	picture
of	of	of
gifts	gift	gift
was	was	wa
also	also	also
handed	hand	handed
over	over	over
to	to	to
Clinton	clinton	Clinton
.	.	.
Gifts	gift	Gifts
received	receiv	received
by	by	by
government	govern	government
employees	employe	employee
is	is	is
highly	high	highly
regulated	regul	regulated
,	,	,
and	and	and
often	often	often
strictly	strict	strictly
limited	limit	limited
.	.	.
However	howev	However
,	,	,
gifts	gift	gift
that	that	that
are	are	are
motivated	motiv	motivated
by	by	by
a	a	a
family	famili	family
relationship	relationship	relationship
or	or	or
personal	person	personal
friendship	friendship	friendship
may	may	may
be	be	be
accepted	accept	accepted
without	without	without
limitation	limit	limitation
.	.	.
