Perhaps	perhap	Perhaps
of	of	of
absentee	absente	absentee
ballots	ballot	ballot
in	in	in
Wisconsin	wisconsin	Wisconsin
,	,	,
along	along	along
with	with	with
the	the	the
electronic	electron	electronic
voting	vote	voting
systems	system	system
that	that	that
have	have	have
been	been	been
under	under	under
scrutiny	scrutini	scrutiny
since	sinc	since
we	we	we
began	began	began
seeing	see	seeing
massive	massiv	massive
cyberattacks	cyberattack	cyberattacks
from	from	from
parties	parti	party
interested	interest	interested
in	in	in
influencing	influenc	influencing
our	our	our
election	elect	election
results	result	result
.	.	.
Stein	stein	Stein
s	s	s
fundraising	fundrais	fundraising
website	websit	website
makes	make	make
it	it	it
clear	clear	clear
that	that	that
they	they	they
know	know	know
there	there	there
s	s	s
no	no	no
guarantee	guarante	guarantee
any	ani	any
states	state	state
in	in	in
which	which	which
the	the	the
Greens	green	Greens
are	are	are
petitioning	petit	petitioning
will	will	will
actually	actual	actually
move	move	move
on	on	on
to	to	to
a	a	a
recount	recount	recount
,	,	,
and	and	and
she	she	she
does	doe	doe
admit	admit	admit
that	that	that
they	they	they
don	don	don
t	t	t
have	have	have
a	a	a
smoking	smoke	smoking
gun	gun	gun
that	that	that
proves	prove	prof
Trump	trump	Trump
s	s	s
win	win	win
is	is	is
illegitimate	illegitim	illegitimate
.	.	.
In	in	In
fact	fact	fact
,	,	,
Wisconsin	wisconsin	Wisconsin
actually	actual	actually
doesn	doesn	doesn
t	t	t
believe	believ	believe
a	a	a
recount	recount	recount
will	will	will
change	chang	change
anything	anyth	anything
,	,	,
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
some	some	some
major	major	major
vote	vote	vote
discrepancies	discrep	discrepancy
have	have	have
already	alreadi	already
been	been	been
found	found	found
.	.	.
Howver	howver	Howver
,	,	,
provided	provid	provided
all	all	all
paperwork	paperwork	paperwork
is	is	is
filed	file	filed
properly	proper	properly
,	,	,
they	they	they
will	will	will
generally	general	generally
proceed	proceed	proceed
with	with	with
their	their	their
recounts	recount	recount
regardless	regardless	regardless
.	.	.
Hillary	hillari	Hillary
is	is	is
now	now	now
leading	lead	leading
the	the	the
national	nation	national
popular	popular	popular
vote	vote	vote
by	by	by
2	2	2
.	.	.
1	1	1
million	million	million
,	,	,
and	and	and
is	is	is
approaching	approach	approaching
a	a	a
2	2	2
percent	percent	percent
margin	margin	margin
.	.	.
That	that	That
s	s	s
a	a	a
greater	greater	greater
margin	margin	margin
than	than	than
John	john	John
F	f	F
.	.	.
Kennedy	kennedi	Kennedy
,	,	,
Richard	richard	Richard
Nixon	nixon	Nixon
,	,	,
Grover	grover	Grover
Cleveland	cleveland	Cleveland
,	,	,
James	jame	James
A	a	A
.	.	.
Garfield	garfield	Garfield
,	,	,
and	and	and
James	jame	James
K	k	K
.	.	.
Polk	polk	Polk
had	had	had
when	when	when
they	they	they
were	were	were
elected	elect	elected
.	.	.
If	if	If
her	her	her
lead	lead	lead
continues	continu	continues
to	to	to
grow	grow	grow
,	,	,
she	she	she
could	could	could
approach	approach	approach
Jimmy	jimmi	Jimmy
Carter	carter	Carter
s	s	s
margin	margin	margin
,	,	,
and	and	and
perhaps	perhap	perhaps
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
s	s	s
margin	margin	margin
of	of	of
victory	victori	victory
in	in	in
2004	2004	2004
.	.	.
Hillary	hillari	Hillary
and	and	and
her	her	her
campaign	campaign	campaign
have	have	have
stayed	stay	stayed
quietly	quiet	quietly
out	out	out
of	of	of
the	the	the
recount	recount	recount
debate	debat	debate
thus	thus	thus
far	far	far
.	.	.
Stein	stein	Stein
and	and	and
the	the	the
Green	green	Green
Party	parti	Party
are	are	are
pushing	push	pushing
for	for	for
recounts	recount	recount
in	in	in
both	both	both
Michigan	michigan	Michigan
and	and	and
Pennsylvania	pennsylvania	Pennsylvania
as	as	a
well	well	well
,	,	,
but	but	but
it	it	it
s	s	s
not	not	not
yet	yet	yet
known	known	known
whether	whether	whether
those	those	those
two	two	two
states	state	state
will	will	will
actually	actual	actually
do	do	do
it	it	it
.	.	.
It	it	It
s	s	s
also	also	also
not	not	not
clear	clear	clear
whether	whether	whether
this	this	this
could	could	could
flip	flip	flip
the	the	the
election	elect	election
.	.	.
What	what	What
Wisconsin	wisconsin	Wisconsin
does	doe	doe
in	in	in
the	the	the
coming	come	coming
days	day	day
could	could	could
set	set	set
an	an	an
interesting	interest	interesting
tone	tone	tone
.	.	.
Photo	photo	Photo
of	of	of
Donald	donald	Donald
Trump	trump	Trump
by	by	by
Bill	bill	Bill
Pugliano	pugliano	Pugliano
Getty	getti	Getty
Images	imag	Images
.	.	.
Photo	photo	Photo
of	of	of
Hillary	hillari	Hillary
Clinton	clinton	Clinton
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images
