Sounds	sound	Sounds
that	that	that
they	they	they
be	be	be
accorded	accord	accorded
respect	respect	respect
;	;	;
calls	call	call
for	for	for
citizenship	citizenship	citizenship
rights	right	right
and	and	and
an	an	an
immediate	immedi	immediate
deferment	defer	deferment
of	of	of
deportations	deport	deportation
;	;	;
in	in	in
-state	-state	-state
tuition	tuition	tuition
at	at	at
public	public	public
colleges	colleg	college
;	;	;
wage	wage	wage
equality	equal	equality
;	;	;
medical	medic	medical
care	care	care
;	;	;
and	and	and
protection	protect	protection
against	against	against
deportation	deport	deportation
if	if	if
illegal	illeg	illegal
immigrants	immigr	immigrant
report	report	report
a	a	a
crime	crime	crime
as	as	a
a	a	a
witness	wit	witness
.	.	.
The	the	The
list	list	list
also	also	also
includes	includ	includes
a	a	a
specific	specif	specific
demand	demand	demand
for	for	for
compelled	compel	compelled
authorization	author	authorization
of	of	of
birth	birth	birth
certificates	certif	certificate
for	for	for
our	our	our
U	u	U
.	.	.
S	s	S
.	.	.
-born	-born	-born
children	children	child
.	.	.

That	that	That
appears	appear	appears
to	to	to
be	be	be
pushback	pushback	pushback
against	against	against
the	the	the
state	state	state
of	of	of
Texas	texa	Texas
,	,	,
where	where	where
officials	offici	official
have	have	have
ruled	rule	ruled
that	that	that
parents	parent	parent
must	must	must
present	present	present
valid	valid	valid
ID	id	ID
to	to	to
get	get	get
children	children	child
s	s	s
birth	birth	birth
certificates	certif	certificate
and	and	and
have	have	have
deemed	deem	deemed
the	the	the
Mexican	mexican	Mexican
government	govern	government
s	s	s
Matricula	matricula	Matricula
Consular	consular	Consular
ID	id	ID
card	card	card
not	not	not
to	to	to
be	be	be
acceptable	accept	acceptable
as	as	a
primary	primari	primary
identification	identif	identification
.	.	.
A	a	A
federal	feder	federal
court	court	court
has	has	ha
allowed	allow	allowed
that	that	that
Texas	texa	Texas
policy	polici	policy
to	to	to
go	go	go
into	into	into
effect	effect	effect
,	,	,
ruling	rule	ruling
that	that	that
there	there	there
are	are	are
questions	question	question
about	about	about
the	the	the
reliability	reliabl	reliability
of	of	of
the	the	the
Mexican	mexican	Mexican
cards	card	card
and	and	and
that	that	that
state	state	state
officials	offici	official
have	have	have
an	an	an
interest	interest	interest
in	in	in
making	make	making
sure	sure	sure
only	onli	only
authorized	author	authorized
relatives	relat	relative
are	are	are
able	abl	able
to	to	to
get	get	get
birth	birth	birth
certificates	certif	certificate
.	.	.
The	the	The
list	list	list
of	of	of
rights	right	right
begins	begin	begin
with	with	with
a	a	a
protest	protest	protest
against	against	against
the	the	the
terms	term	term
illegal	illeg	illegal
and	and	and
alien	alien	alien
.	.	.

Immigrant	immigr	Immigrant
-rights	-right	-rights
advocates	advoc	advocate
say	say	say
both	both	both
terms	term	term
are	are	are
dehumanizing	dehuman	dehumanizing
,	,	,
and	and	and
have	have	have
offered	offer	offered
undocumented	undocu	undocumented
workers	worker	worker
or	or	or
,	,	,
in	in	in
the	the	the
case	case	case
of	of	of
United	unit	United
We	we	We
Stand	stand	Stand
,	,	,
Undocumented	undocu	Undocumented
Americans	american	Americans
,	,	,
as	as	a
their	their	their
preferred	prefer	preferred
term	term	term
.	.	.
The	the	The
document	document	document
is	is	is
meant	meant	meant
to	to	to
serve	serv	serve
as	as	a
a	a	a
goalpost	goalpost	goalpost
for	for	for
the	the	the
ongoing	ongo	ongoing
immigration	immigr	immigration
debate	debat	debate
.	.	.

Immigrant	immigr	Immigrant
-rights	-right	-rights
groups	group	group
had	had	had
been	been	been
gaining	gain	gaining
ground	ground	ground
in	in	in
recent	recent	recent
years	year	year
,	,	,
with	with	with
polls	poll	poll
suggesting	suggest	suggesting
Americans	american	Americans
were	were	were
increasingly	increas	increasingly
open	open	open
to	to	to
legalization	legal	legalization
.	.	.
A	a	A
legalization	legal	legalization
bill	bill	bill
even	even	even
passed	pass	passed
the	the	the
Senate	senat	Senate
in	in	in
2013	2013	2013
but	but	but
Democrats	democrat	Democrats
,	,	,
who	who	who
controlled	control	controlled
the	the	the
chamber	chamber	chamber
,	,	,
never	never	never
sent	sent	sent
it	it	it
to	to	to
the	the	the
GOP	gop	GOP
-run	-run	-run
House	hous	House
for	for	for
action	action	action
.	.	.
The	the	The
issue	issu	issue
then	then	then
stalled	stall	stalled
last	last	last
year	year	year
after	after	after
President	presid	President
Obama	obama	Obama
took	took	took
unilateral	unilater	unilateral
action	action	action
to	to	to
grant	grant	grant
a	a	a
deportation	deport	deportation
amnesty	amnesti	amnesty
to	to	to
as	as	a
many	mani	many
as	as	a
5	5	5
million	million	million
of	of	of
the	the	the
estimated	estim	estimated
12	12	12
million	million	million
illegal	illeg	illegal
immigrants	immigr	immigrant
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Federal	feder	Federal
courts	court	court
have	have	have
put	put	put
that	that	that
amnesty	amnesti	amnesty
on	on	on
hold	hold	hold
,	,	,
but	but	but
Mr	mr	Mr
.	.	.
Obama	obama	Obama
s	s	s
other	other	other
policies	polici	policy
stopping	stop	stopping
deportations	deport	deportation
for	for	for
most	most	most
illegal	illeg	illegal
immigrants	immigr	immigrant
remain	remain	remain
in	in	in
place	place	place
,	,	,
which	which	which
has	has	ha
effectively	effect	effectively
checked	check	checked
off	off	off
one	one	one
of	of	of
the	the	the
list	list	list
of	of	of
rights	right	right
demands	demand	demand
.	.	.

Via	via	Via
Washington	washington	Washington
Times	time	Times

