Recall	recal	Recall
of	of	of
Boca	boca	Boca
Raton	raton	Raton
,	,	,
FL	fl	FL
,	,	,
Bassem	bassem	Bassem
Alhalabi	alhalabi	Alhalabi
,	,	,
agreed	agre	agreed
to	to	to
publicly	public	publicly
defend	defend	defend
the	the	the
Shariah	shariah	Shariah
Islamiyya	islamiyya	Islamiyya
Islamic	islam	Islamic
Law	law	Law
but	but	but
ran	ran	ran
away	away	away
in	in	in
shame	shame	shame
from	from	from
the	the	the
venue	venu	venue
minutes	minut	minute
before	befor	before
the	the	the
programs	program	program
starting	start	starting
time	time	time
.	.	.
The	the	The
title	titl	title
of	of	of
the	the	the
meeting	meet	meeting
was	was	wa
,	,	,
Interfaith	interfaith	Interfaith
Cafe	cafe	Cafe
Sharia	sharia	Sharia
Law	law	Law
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
Law	law	Law
Nothing	noth	Nothing
To	to	To
Fear	fear	Fear
.	.	.
Dr	dr	Dr
.	.	.
Alhalabi	alhalabi	Alhalabi
was	was	wa
to	to	to
defend	defend	defend
Islamic	islam	Islamic
law	law	law
,	,	,
making	make	making
the	the	the
case	case	case
that	that	that
we	we	we
non	non	non
-Muslims	-muslim	-Muslims
have	have	have
nothing	noth	nothing
to	to	to
fear	fear	fear
from	from	from
Shariah	shariah	Shariah
.	.	.
Deep	deep	Deep
down	down	down
Dr	dr	Dr
.	.	.
Alhalabi	alhalabi	Alhalabi
knows	know	know
the	the	the
facts	fact	fact
are	are	are
not	not	not
on	on	on
his	his	his
side	side	side
.	.	.
I	i	I
suspect	suspect	suspect
what	what	what
Dr	dr	Dr
.	.	.
Alhalabi	alhalabi	Alhalabi
fears	fear	fear
most	most	most
are	are	are
Americans	american	Americans
who	who	who
are	are	are
educated	educ	educated
on	on	on
Islamic	islam	Islamic
Law	law	Law
and	and	and
use	use	use
Islamic	islam	Islamic
sources	sourc	source
with	with	with
consensus	consensus	consensus
Ijma	ijma	Ijma
to	to	to
distinguish	distinguish	distinguish
his	his	his
lies	lie	lie
from	from	from
truth	truth	truth
.	.	.
When	when	When
those	those	those
knowledgeable	knowledg	knowledgeable
people	peopl	people
from	from	from
The	the	The
United	unit	United
West	west	West
showed	show	showed
up	up	up
to	to	to
film	film	film
,	,	,
Dr	dr	Dr
.	.	.
Alhalabi	alhalabi	Alhalabi
ran	ran	ran
out	out	out
of	of	of
the	the	the
venue	venu	venue
faster	faster	faster
than	than	than
you	you	you
can	can	can
say	say	say
chop	chop	chop
chop	chop	chop
adios	adio	adios
.	.	.
Dr	dr	Dr
.	.	.
Alhalabi	alhalabi	Alhalabi
left	left	left
his	his	his
audience	audienc	audience
and	and	and
event	event	event
organizers	organ	organizer
dumbfounded	dumbfound	dumbfounded
.	.	.
We	we	We
suspect	suspect	suspect
the	the	the
fear	fear	fear
that	that	that
he	he	he
d	d	d
be	be	be
caught	caught	caught
on	on	on
video	video	video
again	again	again
might	might	might
be	be	be
the	the	the
reason	reason	reason
why	whi	why
.	.	.
Via	via	Via
Dr	dr	Dr
.	.	.
Rich	rich	Rich
Swier	swier	Swier
