You	you	You
9	9	9
11	11	11
recently	recent	recently
,	,	,
appeared	appear	appeared
on	on	on
CNN	cnn	CNN
with	with	with
Jake	jake	Jake
Tapper	tapper	Tapper
on	on	on
Sunday	sunday	Sunday
and	and	and
was	was	wa
grilled	grill	grilled
because	becaus	because
Trump	trump	Trump
has	has	ha
not	not	not
apologized	apolog	apologized
for	for	for
his	his	his
birtherism	birther	birtherism
.	.	.
Many	mani	Many
African	african	African
-Americans	-american	-Americans
say	say	say
they	they	they
are	are	are
still	still	still
troubled	troubl	troubled
by	by	by
Mr	mr	Mr
.	.	.
Trump	trump	Trump
having	have	having
suggested	suggest	suggested
over	over	over
and	and	and
over	over	over
,	,	,
falsely	fals	falsely
,	,	,
that	that	that
the	the	the
first	first	first
African	african	African
-American	-american	-American
president	presid	president
was	was	wa
born	born	born
in	in	in
Africa	africa	Africa
and	and	and
thus	thus	thus
ineligible	inelig	ineligible
to	to	to
be	be	be
president	presid	president
Tapper	tapper	Tapper
began	began	began
.	.	.
Giuliani	giuliani	Giuliani
immediately	immedi	immediately
blamed	blame	blamed
Hillary	hillari	Hillary
Clinton	clinton	Clinton
for	for	for
starting	start	starting
the	the	the
birther	birther	birther
conspiracy	conspiraci	conspiracy
,	,	,
but	but	but
Tapper	tapper	Tapper
quickly	quick	quickly
fact	fact	fact
-checked	-check	-checked
Giuliani	giuliani	Giuliani
,	,	,
which	which	which
forced	forc	forced
him	him	him
to	to	to
blame	blame	blame
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
instead	instead	instead
.	.	.
Giuliani	giuliani	Giuliani
then	then	then
attempted	attempt	attempted
to	to	to
portray	portray	portray
Trump	trump	Trump
as	as	a
a	a	a
hero	hero	hero
for	for	for
resolving	resolv	resolving
the	the	the
conspiracy	conspiraci	conspiracy
,	,	,
claiming	claim	claiming
that	that	that
black	black	black
people	peopl	people
have	have	have
a	a	a
faulty	faulti	faulty
memory	memori	memory
.	.	.
He	he	He
literally	liter	literally
thinks	think	think
black	black	black
people	peopl	people
should	should	should
thank	thank	thank
Trump	trump	Trump
for	for	for
being	be	being
a	a	a
birther	birther	birther
.	.	.
But	but	But
Tapper	tapper	Tapper
was	was	wa
quick	quick	quick
to	to	to
remind	remind	remind
Giuliani	giuliani	Giuliani
that	that	that
it	it	it
was	was	wa
President	presid	President
Obama	obama	Obama
who	who	who
resolved	resolv	resolved
the	the	the
conspiracy	conspiraci	conspiracy
by	by	by
releasing	releas	releasing
his	his	his
birth	birth	birth
certificate	certif	certificate
in	in	in
2011	2011	2011
while	while	while
Trump	trump	Trump
was	was	wa
still	still	still
pushing	push	pushing
his	his	his
birtherism	birther	birtherism
four	four	four
years	year	year
later	later	later
in	in	in
February	februari	February
2015	2015	2015
when	when	when
he	he	he
told	told	told
CPAC	cpac	CPAC
that	that	that
he	he	he
thinks	think	think
the	the	the
birth	birth	birth
certificate	certif	certificate
is	is	is
fake	fake	fake
.	.	.
So	so	So
apparently	appar	apparently
Trump	trump	Trump
thinks	think	think
it	it	it
hasn	hasn	hasn
t	t	t
been	been	been
resolved	resolv	resolved
,	,	,
thus	thus	thus
blowing	blow	blowing
Giuliani	giuliani	Giuliani
s	s	s
claim	claim	claim
out	out	out
of	of	of
the	the	the
water	water	water
.	.	.
Should	should	Should
he	he	he
just	just	just
apologize	apolog	apologize
for	for	for
this	this	this
if	if	if
he	he	he
really	realli	really
wants	want	want
to	to	to
reach	reach	reach
out	out	out
to	to	to
minority	minor	minority
voters	voter	voter
?	?	?
Tapper	tapper	Tapper
asked	ask	asked
.	.	.
Giuliani	giuliani	Giuliani
replied	repli	replied
by	by	by
demanding	demand	demanding
that	that	that
Democrats	democrat	Democrats
apologize	apolog	apologize
for	for	for
calling	call	calling
Trump	trump	Trump
s	s	s
birtherism	birther	birtherism
racist	racist	racist
and	and	and
went	went	went
on	on	on
to	to	to
bash	bash	bash
President	presid	President
Obama	obama	Obama
.	.	.
If	if	If
everybody	everybodi	everybody
apologized	apolog	apologized
for	for	for
all	all	all
the	the	the
things	thing	thing
they	they	they
said	said	said
in	in	in
politics	polit	politics
,	,	,
all	all	all
we	we	we
would	would	would
be	be	be
doing	do	doing
on	on	on
television	televis	television
shows	show	show
is	is	is
apologizing	apolog	apologizing
.	.	.
Maybe	mayb	Maybe
all	all	all
the	the	the
Democrats	democrat	Democrats
should	should	should
apologize	apolog	apologize
for	for	for
calling	call	calling
Donald	donald	Donald
Trump	trump	Trump
a	a	a
racist	racist	racist
and	and	and
calling	call	calling
him	him	him
all	all	all
kinds	kind	kind
of	of	of
terrible	terribl	terrible
names	name	name
and	and	and
it	it	it
gets	get	get
a	a	a
little	littl	little
silly	silli	silly
.	.	.
Food	food	Food
stamps	stamp	stamp
have	have	have
gone	gone	gone
up	up	up
two	two	two
and	and	and
a	a	a
half	half	half
times	time	time
under	under	under
Barack	barack	Barack
Obama	obama	Obama
,	,	,
he	he	he
added	ad	added
.	.	.
He	he	He
should	should	should
be	be	be
ashamed	asham	ashamed
of	of	of
himself	himself	himself
.	.	.
Jobs	job	Jobs
should	should	should
have	have	have
gone	gone	gone
up	up	up
two	two	two
and	and	and
a	a	a
half	half	half
times	time	time
.	.	.
My	my	My
only	onli	only
point	point	point
is	is	is
that	that	that
many	mani	many
African	african	African
-Americans	-american	-Americans
are	are	are
still	still	still
mad	mad	mad
about	about	about
Donald	donald	Donald
Trump	trump	Trump
having	have	having
tried	tri	tried
to	to	to
invalidate	invalid	invalidate
Barack	barack	Barack
Obama	obama	Obama
by	by	by
claiming	claim	claiming
he	he	he
was	was	wa
born	born	born
in	in	in
Africa	africa	Africa
,	,	,
Tapper	tapper	Tapper
responded	respond	responded
before	befor	before
giving	give	giving
up	up	up
and	and	and
moving	move	moving
on	on	on
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
Giuliani	giuliani	Giuliani
seems	seem	seems
to	to	to
be	be	be
forgetting	forget	forgetting
that	that	that
the	the	the
recession	recess	recession
that	that	that
began	began	began
under	under	under
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
and	and	and
the	the	the
Republicans	republican	Republicans
in	in	in
2008	2008	2008
caused	caus	caused
more	more	more
families	famili	family
to	to	to
need	need	need
food	food	food
stamps	stamp	stamp
in	in	in
the	the	the
first	first	first
place	place	place
,	,	,
which	which	which
is	is	is
why	whi	why
the	the	the
number	number	number
of	of	of
people	peopl	people
on	on	on
food	food	food
stamps	stamp	stamp
has	has	ha
gone	gone	gone
up	up	up
.	.	.
Also	also	Also
,	,	,
President	presid	President
Obama	obama	Obama
has	has	ha
set	set	set
a	a	a
record	record	record
for	for	for
the	the	the
most	most	most
consecutive	consecut	consecutive
months	month	month
of	of	of
jobs	job	job
created	creat	created
and	and	and
is	is	is
actually	actual	actually
one	one	one
of	of	of
the	the	the
best	best	best
job	job	job
-creating	-creat	-creating
presidents	presid	president
over	over	over
the	the	the
last	last	last
40	40	40
years	year	year
.	.	.
Once	onc	Once
again	again	again
,	,	,
Giuliani	giuliani	Giuliani
gets	get	get
caught	caught	caught
talking	talk	talking
out	out	out
of	of	of
his	his	his
ass	ass	as
and	and	and
he	he	he
must	must	must
be	be	be
truly	truli	truly
desperate	desper	desperate
if	if	if
he	he	he
is	is	is
resorting	resort	resorting
to	to	to
demanding	demand	demanding
an	an	an
apology	apolog	apology
from	from	from
Democrats	democrat	Democrats
for	for	for
Trump	trump	Trump
s	s	s
racism	racism	racism
.	.	.
Featured	featur	Featured
Image	imag	Image
Screenshot	screenshot	Screenshot
