Larry	larri	Larry
.	.	.
RIP	rip	RIP
patriot	patriot	patriot
.	.	.
pic.twitter.com/mJB1bn1XZN	pic.twitter.com/mjb1bn1xzn	pic.twitter.com/mJB1bn1XZN
Alex	alex	Alex
@SoCal4Trump	@socal4trump	@SoCal4Trump
December	decemb	December
18	18	18
,	,	,
2016	2016	2016
