You	you	You
more	more	more
scrutiny	scrutini	scrutiny
and	and	and
criticism	critic	criticism
have	have	have
been	been	been
being	be	being
visited	visit	visited
upon	upon	upon
the	the	the
DNC	dnc	DNC
s	s	s
leadership	leadership	leadership
,	,	,
as	as	a
well	well	well
as	as	a
Chairwoman	chairwoman	Chairwoman
Wasserman	wasserman	Wasserman
Schultz	schultz	Schultz
.	.	.
The	the	The
data	data	data
breach	breach	breach
issue	issu	issue
was	was	wa
an	an	an
ongoing	ongo	ongoing
problem	problem	problem
that	that	that
wasn	wasn	wasn
t	t	t
resolved	resolv	resolved
in	in	in
a	a	a
timely	time	timely
manner	manner	manner
,	,	,
the	the	the
circumstances	circumst	circumstance
were	were	were
misreported	misreport	misreported
by	by	by
the	the	the
DNC	dnc	DNC
and	and	and
the	the	the
action	action	action
they	they	they
took	took	took
regarding	regard	regarding
the	the	the
security	secur	security
loophole	loophol	loophole
were	were	were
called	call	called
by	by	by
many	mani	many
an	an	an
overreach	overreach	overreach
.	.	.
Add	add	Add
on	on	on
top	top	top
of	of	of
this	this	this
the	the	the
moves	move	move
by	by	by
DNC	dnc	DNC
leadership	leadership	leadership
to	to	to
open	open	open
the	the	the
floodgates	floodgat	floodgate
for	for	for
corporate	corpor	corporate
money	money	money
within	within	within
the	the	the
party	parti	party
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
DNC	dnc	DNC
chairwoman	chairwoman	chairwoman
s	s	s
joining	join	joining
with	with	with
Republicans	republican	Republicans
to	to	to
attack	attack	attack
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
s	s	s
Consumer	consum	Consumer
Financial	financi	Financial
Protection	protect	Protection
Bureau	bureau	Bureau
,	,	,
and	and	and
there	there	there
are	are	are
many	mani	many
calling	call	calling
for	for	for
the	the	the
DNC	dnc	DNC
to	to	to
find	find	find
new	new	new
leadership	leadership	leadership
.	.	.
It	it	It
remains	remain	remains
to	to	to
be	be	be
seen	seen	seen
if	if	if
Wasserman	wasserman	Wasserman
Schultz	schultz	Schultz
will	will	will
keep	keep	keep
her	her	her
seat	seat	seat
as	as	a
a	a	a
Congresswoman	congresswoman	Congresswoman
in	in	in
,	,	,
due	due	due
to	to	to
an	an	an
unexpected	unexpect	unexpected
primary	primari	primary
challenge	challeng	challenge
she	she	she
is	is	is
now	now	now
facing	face	facing
.	.	.
However	howev	However
,	,	,
regardless	regardless	regardless
of	of	of
if	if	if
she	she	she
wins	win	win
or	or	or
loses	lose	loses
,	,	,
the	the	the
DNC	dnc	DNC
s	s	s
own	own	own
leadership	leadership	leadership
does	doe	doe
need	need	need
to	to	to
hold	hold	hold
itself	itself	itself
to	to	to
a	a	a
higher	higher	higher
standard	standard	standard
of	of	of
accountability	account	accountability
especially	especi	especially
regarding	regard	regarding
its	it	it
leadership	leadership	leadership
for	for	for
the	the	the
good	good	good
of	of	of
both	both	both
party	parti	party
unity	uniti	unity
and	and	and
taking	take	taking
back	back	back
Congress	congress	Congress
this	this	this
fall	fall	fall
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
wikicommons	wikicommon	wikicommons
