According	accord	According
Schiff	schiff	Schiff
R	r	R
-Calif	-calif	-Calif
.	.	.
have	have	have
both	both	both
said	said	said
publicly	public	publicly
that	that	that
there	there	there
was	was	wa
nothing	noth	nothing
in	in	in
those	those	those
documents	document	document
to	to	to
back	back	back
of	of	of
Trump	trump	Trump
s	s	s
accusation	accus	accusation
.	.	.
We	we	We
know	know	know
there	there	there
was	was	wa
not	not	not
a	a	a
wiretap	wiretap	wiretap
on	on	on
Trump	trump	Trump
Tower	tower	Tower
,	,	,
Nunes	nune	Nunes
said	said	said
.	.	.
But	but	But
none	none	none
of	of	of
this	this	this
is	is	is
enough	enough	enough
to	to	to
get	get	get
our	our	our
narcissistic	narcissist	narcissistic
tweeter	tweeter	tweeter
-in-chief	-in-chief	-in-chief
to	to	to
admit	admit	admit
that	that	that
he	he	he
is	is	is
full	full	full
of	of	of
sh	sh	sh
t	t	t
.	.	.
Oh	oh	Oh
no	no	no
,	,	,
not	not	not
Trump	trump	Trump
.	.	.
He	he	He
ll	ll	ll
never	never	never
back	back	back
down	down	down
.	.	.
He	he	He
lives	live	life
in	in	in
his	his	his
own	own	own
reality	realiti	reality
and	and	and
is	is	is
totally	total	totally
incapable	incap	incapable
of	of	of
admitting	admit	admitting
that	that	that
he	he	he
is	is	is
wrong	wrong	wrong
.	.	.
Ever	ever	Ever
.	.	.
This	this	This
is	is	is
a	a	a
terrifying	terrifi	terrifying
trait	trait	trait
to	to	to
have	have	have
in	in	in
the	the	the
leader	leader	leader
of	of	of
the	the	the
free	free	free
world	world	world
,	,	,
that	that	that
s	s	s
for	for	for
sure	sure	sure
.	.	.
Watch	watch	Watch
Spicer	spicer	Spicer
say	say	say
Trump	trump	Trump
still	still	still
believes	believ	belief
Obama	obama	Obama
tapped	tap	tapped
his	his	his
phones	phone	phone
,	,	,
here	here	here
Featured	featur	Featured
image	imag	image
via	via	via
Mark	mark	Mark
Wilson	wilson	Wilson
Getty	getti	Getty
Images	imag	Images
