Republicans	republican	Republicans
just	just	just
taking	take	taking
to	to	to
someone	someon	someone
I	i	I
just	just	just
met	met	met
in	in	in
the	the	the
hospital	hospit	hospital
.	.	.

After	after	After
i	i	i
grap	grap	grap
my	my	my
camera	camera	camera
she	she	she
say	say	say
my	my	my
pants	pant	pant
and	and	and
gray	gray	gray
underweare	underwear	underweare
keep	keep	keep
it	it	it
real	real	real
u	u	u
called	call	called
me	me	me
a	a	a
nigger	nigger	nigger
and	and	and
my	my	my
kid	kid	kid
little	littl	little
black	black	black
kids	kid	kid
.	.	.

Out	out	Out
of	of	of
no	no	no
where	where	where
she	she	she
flips	flip	flip
and	and	and
put	put	put
me	me	me
and	and	and
my	my	my
kids	kid	kid
out	out	out
them	them	them
pushes	push	push
me	me	me
and	and	and
kicks	kick	kick
me	me	me
Racism	racism	Racism
is	is	is
still	still	still
real	real	real
Wake	wake	Wake
forest	forest	forest
baptist	baptist	baptist
medical	medic	medical
center	center	center
.	.	.
In	in	In
a	a	a
statement	statement	statement
provided	provid	provided
to	to	to
FOX8	fox8	FOX8
,	,	,
Wake	wake	Wake
Forest	forest	Forest
explained	explain	explained
that	that	that
the	the	the
woman	woman	woman
is	is	is
no	no	no
longer	longer	longer
a	a	a
volunteer	volunt	volunteer
with	with	with
the	the	the
organization	organ	organization
Wake	wake	Wake
Forest	forest	Forest
Baptist	baptist	Baptist
Medical	medic	Medical
Center	center	Center
is	is	is
shocked	shock	shocked
and	and	and
appalled	appal	appalled
at	at	at
the	the	the
behavior	behavior	behavior
demonstrated	demonstr	demonstrated
by	by	by
our	our	our
volunteer	volunt	volunteer
in	in	in
this	this	this
video	video	video
.	.	.

We	we	We
deeply	deepli	deeply
regret	regret	regret
this	this	this
and	and	and
have	have	have
apologized	apolog	apologized
to	to	to
those	those	those
affected	affect	affected
by	by	by
this	this	this
behavior	behavior	behavior
.	.	.

This	this	This
behavior	behavior	behavior
does	doe	doe
not	not	not
reflect	reflect	reflect
our	our	our
identity	ident	identity
or	or	or
our	our	our
values	valu	value
.	.	.

This	this	This
individual	individu	individual
is	is	is
no	no	no
longer	longer	longer
a	a	a
volunteer	volunt	volunteer
with	with	with
our	our	our
organization	organ	organization
.	.	.
Wake	wake	Wake
Forest	forest	Forest
Baptist	baptist	Baptist
is	is	is
dedicated	dedic	dedicated
to	to	to
providing	provid	providing
an	an	an
inclusive	inclus	inclusive
environment	environ	environment
for	for	for
all	all	all
,	,	,
with	with	with
respect	respect	respect
,	,	,
dignity	digniti	dignity
and	and	and
compassion	compass	compassion
.	.	.

This	this	This
commitment	commit	commitment
is	is	is
unwavering	unwav	unwavering
and	and	and
reinforced	reinforc	reinforced
every	everi	every
day	day	day
by	by	by
our	our	our
dedicated	dedic	dedicated
faculty	faculti	faculty
and	and	and
staff	staff	staff
.	.	.

Watch	watch	Watch
the	the	the
woman	woman	woman
s	s	s
insane	insan	insane
rant	rant	rant
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab

