Founder	founder	Founder
by	by	by
National	nation	National
Football	footbal	Football
League	leagu	League
NFL	nfl	NFL
players	player	player
at	at	at
games	game	game
,	,	,
Sheriff	sheriff	Sheriff
Julian	julian	Julian
Whittington	whittington	Whittington
announced	announc	announced
Wednesday	wednesday	Wednesday
.	.	.
Sheriff	sheriff	Sheriff
Whittington	whittington	Whittington
sent	sent	sent
a	a	a
letter	letter	letter
to	to	to
Hixson	hixson	Hixson
Ford	ford	Ford
of	of	of
Alexandria	alexandria	Alexandria
notifying	notifi	notifying
the	the	the
dealership	dealership	dealership
that	that	that
his	his	his
office	offic	office
would	would	would
no	no	no
longer	longer	longer
purchase	purchas	purchase
Ford	ford	Ford
vehicles	vehicl	vehicle
for	for	for
as	as	a
long	long	long
as	as	a
Ford	ford	Ford
sides	side	side
with	with	with
those	those	those
who	who	who
have	have	have
no	no	no
regard	regard	regard
for	for	for
the	the	the
men	men	men
and	and	and
women	women	woman
who	who	who
protect	protect	protect
and	and	and
serve	serv	serve
this	this	this
great	great	great
nation	nation	nation
Yes	yes	Yes
,	,	,
the	the	the
NFL	nfl	NFL
players	player	player
have	have	have
a	a	a
right	right	right
to	to	to
protest	protest	protest
as	as	a
they	they	they
deem	deem	deem
necessary	necessari	necessary
,	,	,
but	but	but
we	we	we
,	,	,
the	the	the
Bossier	bossier	Bossier
Sheriff	sheriff	Sheriff
s	s	s
Office	offic	Office
and	and	and
the	the	the
taxpayers	taxpay	taxpayer
of	of	of
Bossier	bossier	Bossier
Parish	parish	Parish
have	have	have
a	a	a
right	right	right
to	to	to
spend	spend	spend
our	our	our
money	money	money
elsewhere	elsewher	elsewhere
,	,	,
Whittington	whittington	Whittington
says	say	say
in	in	in
his	his	his
letter	letter	letter
posted	post	posted
on	on	on
the	the	the
office	offic	office
s	s	s
Facebook	facebook	Facebook
page	page	page
.	.	.
It	it	It
is	is	is
my	my	my
hope	hope	hope
that	that	that
this	this	this
letter	letter	letter
will	will	will
cause	caus	cause
you	you	you
to	to	to
encourage	encourag	encourage
Ford	ford	Ford
Motor	motor	Motor
Co	co	Co
.	.	.
to	to	to
change	chang	change
their	their	their
advertising	advertis	advertising
choice	choic	choice
and	and	and
cease	ceas	cease
to	to	to
support	support	support
the	the	the
NFL	nfl	NFL
with	with	with
advertising	advertis	advertising
dollars	dollar	dollar
until	until	until
the	the	the
NFL	nfl	NFL
leadership	leadership	leadership
demands	demand	demand
its	it	it
players	player	player
show	show	show
proper	proper	proper
respect	respect	respect
for	for	for
our	our	our
nation	nation	nation
s	s	s
colors	color	color
.	.	.
After	after	After
the	the	the
letter	letter	letter
to	to	to
Hixson	hixson	Hixson
Automotive	automot	Automotive
was	was	wa
received	receiv	received
by	by	by
Dallas	dalla	Dallas
L	l	L
.	.	.
Hixson	hixson	Hixson
,	,	,
the	the	the
Sheriff	sheriff	Sheriff
discussed	discuss	discussed
the	the	the
issue	issu	issue
with	with	with
Mr	mr	Mr
.	.	.
Hixson	hixson	Hixson
,	,	,
the	the	the
Sheriff	sheriff	Sheriff
s	s	s
office	offic	office
told	told	told
CNSNews	cnsnew	CNSNews
.	.	.
com	com	com
.	.	.
Mr	mr	Mr
.	.	.
Hixson	hixson	Hixson
informed	inform	informed
Sheriff	sheriff	Sheriff
Whittington	whittington	Whittington
that	that	that
he	he	he
was	was	wa
not	not	not
aware	awar	aware
of	of	of
Ford	ford	Ford
Motor	motor	Motor
Company	compani	Company
s	s	s
support	support	support
for	for	for
NFL	nfl	NFL
players	player	player
who	who	who
wish	wish	wish
to	to	to
protest	protest	protest
during	dure	during
the	the	the
National	nation	National
Anthem	anthem	Anthem
or	or	or
during	dure	during
the	the	the
game	game	game
.	.	.
Hixson	hixson	Hixson
told	told	told
Sheriff	sheriff	Sheriff
Whittington	whittington	Whittington
that	that	that
such	such	such
a	a	a
stance	stanc	stance
concerns	concern	concern
him	him	him
as	as	a
well	well	well
,	,	,
and	and	and
he	he	he
will	will	will
be	be	be
taking	take	taking
the	the	the
Sheriff	sheriff	Sheriff
s	s	s
letter	letter	letter
with	with	with
him	him	him
to	to	to
Detroit	detroit	Detroit
to	to	to
present	present	present
to	to	to
Ford	ford	Ford
Motor	motor	Motor
Co	co	Co
.	.	.
leadership	leadership	leadership
in	in	in
the	the	the
near	near	near
future	futur	future
.	.	.
Sheriff	sheriff	Sheriff
Whittington	whittington	Whittington
says	say	say
he	he	he
is	is	is
sending	send	sending
copies	copi	copy
of	of	of
the	the	the
letter	letter	letter
to	to	to
each	each	each
of	of	of
the	the	the
state	state	state
s	s	s
63	63	63
other	other	other
sheriffs	sheriff	sheriff
,	,	,
as	as	a
well	well	well
as	as	a
both	both	both
the	the	the
national	nation	national
and	and	and
Louisiana	louisiana	Louisiana
sheriffs	sheriff	sheriff
associations	associ	association
.	.	.
National	nation	National
Sheriffs	sheriff	Sheriffs
Association	associ	Association
NSA	nsa	NSA
Executive	execut	Executive
Director	director	Director
Jonathan	jonathan	Jonathan
Thompson	thompson	Thompson
tells	tell	tell
CNSNews	cnsnew	CNSNews
.	.	.
com	com	com
that	that	that
NSA	nsa	NSA
has	has	ha
received	receiv	received
the	the	the
letter	letter	letter
and	and	and
that	that	that
sheriffs	sheriff	sheriff
have	have	have
both	both	both
the	the	the
authority	author	authority
and	and	and
obligation	oblig	obligation
to	to	to
authorize	author	authorize
,	,	,
or	or	or
decline	declin	decline
,	,	,
purchases	purchas	purchase
based	base	based
on	on	on
the	the	the
best	best	best
interests	interest	interest
of	of	of
law	law	law
enforcement	enforc	enforcement
and	and	and
their	their	their
communities	communiti	community
Sheriffs	sheriff	Sheriffs
have	have	have
the	the	the
obligation	oblig	obligation
to	to	to
decide	decid	decide
which	which	which
products	product	product
they	they	they
authorize	author	authorize
for	for	for
bids	bid	bid
,	,	,
procurements	procur	procurement
and	and	and
purchases	purchas	purchase
.	.	.
They	they	They
choose	choos	choose
,	,	,
based	base	based
upon	upon	upon
a	a	a
variety	varieti	variety
of	of	of
requirements	requir	requirement
and	and	and
capabilities	capabl	capability
,	,	,
but	but	but
also	also	also
whom	whom	whom
they	they	they
believe	believ	believe
is	is	is
best	best	best
able	abl	able
to	to	to
support	support	support
the	the	the
broad	broad	broad
needs	need	need
of	of	of
law	law	law
enforcement	enforc	enforcement
and	and	and
the	the	the
communities	communiti	community
they	they	they
protect	protect	protect
Since	sinc	Since
2016	2016	2016
,	,	,
the	the	the
Bossier	bossier	Bossier
Sheriff	sheriff	Sheriff
s	s	s
Office	offic	Office
has	has	ha
spent	spent	spent
747	747	747
,	,	,
132	132	132
and	and	and
purchased	purchas	purchased
29	29	29
vehicles	vehicl	vehicle
patronizing	patron	patronizing
Hixon	hixon	Hixon
Autoplex	autoplex	Autoplex
.	.	.
The	the	The
Sheriff	sheriff	Sheriff
s	s	s
Office	offic	Office
provided	provid	provided
the	the	the
following	follow	following
breakdown	breakdown	breakdown
to	to	to
CNSNews	cnsnew	CNSNews
.	.	.
com	com	com
In	in	In
2016	2016	2016
,	,	,
BSO	bso	BSO
purchased	purchas	purchased
14	14	14
vehicles	vehicl	vehicle
from	from	from
Hixson	hixson	Hixson
Autoplex	autoplex	Autoplex
,	,	,
costing	cost	costing
346	346	346
,	,	,
519	519	519
.	.	.
50	50	50
.	.	.
They	they	They
included	includ	included
One	one	One
2015	2015	2015
Ford	ford	Ford
F	f	F
-150	-150	-150
Two	two	Two
2015	2015	2015
Ford	ford	Ford
F	f	F
-250	-250	-250
Six	six	Six
2017	2017	2017
Ford	ford	Ford
Police	polic	Police
Interceptor	interceptor	Interceptor
One	one	One
2017	2017	2017
Ford	ford	Ford
Explorer	explor	Explorer
Three	three	Three
2016	2016	2016
Ford	ford	Ford
Taurus	taurus	Taurus
One	one	One
2017	2017	2017
Ford	ford	Ford
Taurus	taurus	Taurus
In	in	In
2017	2017	2017
,	,	,
BSO	bso	BSO
purchased	purchas	purchased
15	15	15
vehicles	vehicl	vehicle
from	from	from
Hixson	hixson	Hixson
Autoplex	autoplex	Autoplex
,	,	,
costing	cost	costing
400	400	400
,	,	,
612	612	612
.	.	.
50	50	50
.	.	.
They	they	They
included	includ	included
Fifteen	fifteen	Fifteen
2017	2017	2017
Ford	ford	Ford
Police	polic	Police
Interceptor	interceptor	Interceptor
Ford	ford	Ford
Motor	motor	Motor
Company	compani	Company
issued	issu	issued
a	a	a
statement	statement	statement
in	in	in
late	late	late
September	septemb	September
supporting	support	supporting
the	the	the
right	right	right
of	of	of
the	the	the
players	player	player
to	to	to
protest	protest	protest
the	the	the
National	nation	National
Anthem	anthem	Anthem
at	at	at
NFL	nfl	NFL
games	game	game
,	,	,
Bloomberg	bloomberg	Bloomberg
reports	report	report
Ford	ford	Ford
,	,	,
for	for	for
example	exampl	example
,	,	,
said	said	said
the	the	the
automaker	automak	automaker
would	would	would
respect	respect	respect
individuals	individu	individual
rights	right	right
to	to	to
express	express	express
their	their	their
views	view	view
,	,	,
even	even	even
if	if	if
they	they	they
are	are	are
not	not	not
ones	one	one
we	we	we
share	share	share
.	.	.
That	that	That
s	s	s
part	part	part
of	of	of
what	what	what
makes	make	make
America	america	America
great	great	great
.	.	.
CNS	cns	CNS
News	news	News
