Screw	screw	Screw
be	be	be
protected	protect	protected
from	from	from
discrimination	discrimin	discrimination
,	,	,
and	and	and
treated	treat	treated
equally	equal	equally
.	.	.
Consistent	consist	Consistent
with	with	with
this	this	this
belief	belief	belief
,	,	,
Target	target	Target
supports	support	support
the	the	the
federal	feder	federal
Equality	equal	Equality
Act	act	Act
,	,	,
which	which	which
provides	provid	provides
protections	protect	protection
to	to	to
LGBT	lgbt	LGBT
individuals	individu	individual
,	,	,
and	and	and
opposes	oppos	opposes
action	action	action
that	that	that
enables	enabl	enables
discrimination	discrimin	discrimination
.	.	.
More	more	More
specifically	specif	specifically
,	,	,
Target	target	Target
states	state	state
that	that	that
it	it	it
will	will	will
welcome	welcom	welcome
transgender	transgend	transgender
team	team	team
members	member	member
and	and	and
guests	guest	guest
to	to	to
use	use	use
the	the	the
restroom	restroom	restroom
or	or	or
fitting	fit	fitting
room	room	room
facility	facil	facility
that	that	that
corresponds	correspond	corresponds
with	with	with
their	their	their
gender	gender	gender
identity	ident	identity
,	,	,
and	and	and
will	will	will
not	not	not
cow	cow	cow
tow	tow	tow
to	to	to
the	the	the
impact	impact	impact
to	to	to
our	our	our
business	busi	business
,	,	,
thus	thus	thus
putting	put	putting
people	peopl	people
over	over	over
profit	profit	profit
.	.	.
Look	look	Look
at	at	at
that	that	that
,	,	,
a	a	a
corporation	corpor	corporation
that	that	that
actually	actual	actually
respects	respect	respect
the	the	the
dignities	digniti	dignity
of	of	of
every	everi	every
customer	custom	customer
and	and	and
every	everi	every
employee	employe	employee
.	.	.
While	while	While
Republicans	republican	Republicans
continue	continu	continue
to	to	to
be	be	be
beholden	beholden	beholden
to	to	to
corporate	corpor	corporate
entities	entiti	entity
,	,	,
maybe	mayb	maybe
they	they	they
could	could	could
learn	learn	learn
a	a	a
thing	thing	thing
or	or	or
two	two	two
about	about	about
what	what	what
s	s	s
good	good	good
for	for	for
business	busi	business
and	and	and
discrimination	discrimin	discrimination
is	is	is
never	never	never
good	good	good
for	for	for
business	busi	business
.	.	.
Target	target	Target
s	s	s
statement	statement	statement
closes	close	close
with	with	with
a	a	a
final	final	final
reassurance	reassur	reassurance
for	for	for
all	all	all
those	those	those
who	who	who
shop	shop	shop
or	or	or
seek	seek	seek
employment	employ	employment
Everyone	everyon	Everyone
deserves	deserv	deserves
to	to	to
feel	feel	feel
like	like	like
they	they	they
belong	belong	belong
.	.	.
And	and	And
you	you	you
ll	ll	ll
always	alway	always
be	be	be
accepted	accept	accepted
,	,	,
respected	respect	respected
and	and	and
welcomed	welcom	welcomed
at	at	at
Target	target	Target
.	.	.
While	while	While
the	the	the
comment	comment	comment
section	section	section
of	of	of
the	the	the
post	post	post
received	receiv	received
mostly	most	mostly
negative	negat	negative
backlash	backlash	backlash
from	from	from
people	peopl	people
vowing	vow	vowing
to	to	to
never	never	never
shop	shop	shop
there	there	there
again	again	again
,	,	,
Target	target	Target
has	has	ha
not	not	not
wavered	waver	wavered
in	in	in
their	their	their
support	support	support
for	for	for
LGBT	lgbt	LGBT
rights	right	right
.	.	.
Again	again	Again
,	,	,
Republicans	republican	Republicans
could	could	could
learn	learn	learn
something	someth	something
,	,	,
but	but	but
chances	chanc	chance
are	are	are
they	they	they
will	will	will
continue	continu	continue
to	to	to
put	put	put
profit	profit	profit
over	over	over
people	peopl	people
,	,	,
or	or	or
their	their	their
own	own	own
necks	neck	neck
before	befor	before
doing	do	doing
what	what	what
s	s	s
right	right	right
.	.	.
So	so	So
until	until	until
then	then	then
,	,	,
let	let	let
s	s	s
continue	continu	continue
to	to	to
shop	shop	shop
at	at	at
Target	target	Target
and	and	and
show	show	show
our	our	our
support	support	support
!	!	!
Featured	featur	Featured
image	imag	image
via	via	via
Target	target	Target
website	websit	website
