While	while	While
the	the	the
spokesperson	spokesperson	spokesperson
,	,	,
the	the	the
employee	employe	employee
was	was	wa
required	requir	required
to	to	to
surrender	surrend	surrender
his	his	his
weapon	weapon	weapon
and	and	and
official	offici	official
gear	gear	gear
and	and	and
was	was	wa
placed	place	placed
on	on	on
administrative	administr	administrative
leave	leav	leave
.	.	.
The	the	The
employee	employe	employee
s	s	s
security	secur	security
clearance	clearanc	clearance
and	and	and
access	access	access
to	to	to
all	all	all
Secret	secret	Secret
Service	servic	Service
facilities	facil	facility
has	has	ha
also	also	also
been	been	been
suspended	suspend	suspended
.	.	.
Tsk	tsk	Tsk
tsk	tsk	tsk
.	.	.
You	you	You
d	d	d
think	think	think
someone	someon	someone
,	,	,
especially	especi	especially
in	in	in
the	the	the
Secret	secret	Secret
Service	servic	Service
,	,	,
would	would	would
know	know	know
better	better	better
.	.	.
Especially	especi	Especially
considering	consid	considering
the	the	the
history	histori	history
of	of	of
prostitutes	prostitut	prostitute
with	with	with
agents	agent	agent
in	in	in
the	the	the
Secret	secret	Secret
Service	servic	Service
.	.	.
Who	who	Who
can	can	can
forget	forget	forget
the	the	the
Colombian	colombian	Colombian
prostitute	prostitut	prostitute
scandal	scandal	scandal
of	of	of
2012	2012	2012
when	when	when
nine	nine	nine
Secret	secret	Secret
Service	servic	Service
agents	agent	agent
had	had	had
been	been	been
discovered	discov	discovered
bringing	bring	bringing
hookers	hooker	hooker
back	back	back
to	to	to
their	their	their
rooms	room	room
?	?	?
Mike	mike	Mike
Pence	penc	Pence
s	s	s
former	former	former
Secret	secret	Secret
Service	servic	Service
agent	agent	agent
will	will	will
be	be	be
disciplined	disciplin	disciplined
,	,	,
but	but	but
it	it	it
still	still	still
doesn	doesn	doesn
t	t	t
look	look	look
good	good	good
for	for	for
the	the	the
entire	entir	entire
United	unit	United
States	state	States
Secret	secret	Secret
Service	servic	Service
,	,	,
or	or	or
the	the	the
vice	vice	vice
president	presid	president
for	for	for
that	that	that
matter	matter	matter
.	.	.
And	and	And
you	you	you
can	can	can
only	onli	only
guess	guess	guess
the	the	the
big	big	big
guy	guy	guy
in	in	in
the	the	the
Oval	oval	Oval
Office	offic	Office
doesn	doesn	doesn
t	t	t
like	like	like
it	it	it
.	.	.
No	no	No
,	,	,
not	not	not
Bannon	bannon	Bannon
,	,	,
the	the	the
other	other	other
big	big	big
guy	guy	guy
.	.	.
pending	pend	pending
investigation	investig	investigation
into	into	into
Russian	russian	Russian
interference	interfer	interference
in	in	in
the	the	the
2016	2016	2016
election	elect	election
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Alex	alex	Alex
Wong	wong	Wong
Getty	getti	Getty
Images	imag	Images
