Michigan	michigan	Michigan
YouTube	youtub	YouTube
.	.	.
Make	make	Make
no	no	no
mistake	mistak	mistake
,	,	,
despite	despit	despite
his	his	his
attempt	attempt	attempt
to	to	to
make	make	make
Flint	flint	Flint
residents	resid	resident
feel	feel	feel
better	better	better
,	,	,
Snyder	snyder	Snyder
and	and	and
other	other	other
state	state	state
officials	offici	official
should	should	should
be	be	be
sitting	sit	sitting
in	in	in
a	a	a
jail	jail	jail
cell	cell	cell
right	right	right
now	now	now
awaiting	await	awaiting
prosecution	prosecut	prosecution
for	for	for
all	all	all
the	the	the
lives	live	life
they	they	they
have	have	have
ruined	ruin	ruined
by	by	by
their	their	their
irresponsible	irrespons	irresponsible
management	manag	management
of	of	of
Flint	flint	Flint
and	and	and
the	the	the
city	citi	city
s	s	s
water	water	water
supply	suppli	supply
.	.	.
They	they	They
literally	liter	literally
put	put	put
saving	save	saving
money	money	money
above	abov	above
public	public	public
health	health	health
and	and	and
safety	safeti	safety
and	and	and
that	that	that
is	is	is
unforgivable	unforgiv	unforgivable
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
