After	after	After
.	.	.
So	so	So
,	,	,
this	this	this
racist	racist	racist
dingbat	dingbat	dingbat
said	said	said
this	this	this
to	to	to
try	tri	try
to	to	to
turn	turn	turn
the	the	the
narrative	narrat	narrative
around	around	around
Black	black	Black
people	peopl	people
commit	commit	commit
more	more	more
violent	violent	violent
crimes	crime	crime
towards	toward	towards
other	other	other
black	black	black
people	peopl	people
than	than	than
cops	cop	cop
do	do	do
.	.	.
Wheres	where	Wheres
ur	ur	ur
outrage	outrag	outrage
Ellen	ellen	Ellen
?	?	?
@JCapedia	@jcapedia	@JCapedia
@EllenPompeo	@ellenpompeo	@EllenPompeo
@ShaunKing	@shaunk	@ShaunKing
Black	black	Black
people	peopl	people
commit	commit	commit
more	more	more
violent	violent	violent
crimes	crime	crime
towards	toward	towards
other	other	other
black	black	black
people	peopl	people
than	than	than
cops	cop	cop
do	do	do
.	.	.
Wheres	where	Wheres
ur	ur	ur
outrage	outrag	outrage
Ellen	ellen	Ellen
?	?	?
Max	max	Max
Headroom	headroom	Headroom
@WoobysToyBox	@woobystoybox	@WoobysToyBox
July	juli	July
21	21	21
,	,	,
2016But	2016but	2016But
Pompeo	pompeo	Pompeo
was	was	wa
NOT	not	NOT
about	about	about
to	to	to
put	put	put
up	up	up
with	with	with
that	that	that
idiotic	idiot	idiotic
and	and	and
racist	racist	racist
reply	repli	reply
,	,	,
and	and	and
came	came	came
straight	straight	straight
back	back	back
with	with	with
a	a	a
hard	hard	hard
dose	dose	dose
of	of	of
the	the	the
truth	truth	truth
in	in	in
a	a	a
mic	mic	mic
drop	drop	drop
felt	felt	felt
around	around	around
the	the	the
world	world	world
.	.	.
She	she	She
said	said	said
My	my	My
outrage	outrag	outrage
is	is	is
alive	aliv	alive
and	and	and
well	well	well
because	becaus	because
black	black	black
on	on	on
black	black	black
crime	crime	crime
is	is	is
a	a	a
byproduct	byproduct	byproduct
of	of	of
centuries	centuri	century
systemic	system	systemic
racism	racism	racism
you	you	you
fool	fool	fool
.	.	.
My	my	My
outrage	outrag	outrage
is	is	is
alive	aliv	alive
and	and	and
well	well	well
because	becaus	because
black	black	black
on	on	on
black	black	black
crime	crime	crime
is	is	is
a	a	a
byproduct	byproduct	byproduct
of	of	of
centuries	centuri	century
systemic	system	systemic
racism	racism	racism
you	you	you
fool	fool	fool
https://t.co/1eY07BkwbN	https://t.co/1ey07bkwbn	https://t.co/1eY07BkwbN
Ellen	ellen	Ellen
Pompeo	pompeo	Pompeo
@EllenPompeo	@ellenpompeo	@EllenPompeo
July	juli	July
21	21	21
,	,	,
2016And	2016and	2016And
she	she	she
s	s	s
exactly	exact	exactly
right	right	right
it	it	it
s	s	s
a	a	a
fact	fact	fact
that	that	that
needs	need	need
to	to	to
be	be	be
learned	learn	learned
by	by	by
everyone	everyon	everyone
everywhere	everywher	everywhere
who	who	who
thinks	think	think
otherwise	otherwis	otherwise
.	.	.
Especially	especi	Especially
by	by	by
those	those	those
who	who	who
continue	continu	continue
on	on	on
with	with	with
their	their	their
All	all	All
lives	live	life
matter	matter	matter
bullsh	bullsh	bullsh
t	t	t
,	,	,
because	becaus	because
clearly	clear	clearly
they	they	they
don	don	don
t	t	t
think	think	think
all	all	all
lives	live	life
matter	matter	matter
if	if	if
they	they	they
re	re	re
mad	mad	mad
black	black	black
people	peopl	people
want	want	want
to	to	to
be	be	be
treated	treat	treated
with	with	with
the	the	the
same	same	same
dignity	digniti	dignity
and	and	and
respect	respect	respect
as	as	a
everyone	everyon	everyone
else	els	else
.	.	.
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Mark	mark	Mark
Davis	davi	Davis
Getty	getti	Getty
Images	imag	Images
for	for	for
TV	tv	TV
Land	land	Land
