After	after	After
Trump	trump	Trump
went	went	went
to	to	to
bed	bed	bed
alone	alon	alone
.	.	.

Schiller	schiller	Schiller
testified	testifi	testified
that	that	that
he	he	he
stood	stood	stood
outside	outsid	outside
Trump	trump	Trump
s	s	s
hotel	hotel	hotel
room	room	room
for	for	for
a	a	a
time	time	time
and	and	and
then	then	then
went	went	went
to	to	to
bed	bed	bed
.	.	.
One	one	One
source	sourc	source
noted	note	noted
that	that	that
Schiller	schiller	Schiller
testified	testifi	testified
he	he	he
eventually	eventu	eventually
left	left	left
Trump	trump	Trump
s	s	s
hotel	hotel	hotel
room	room	room
door	door	door
and	and	and
could	could	could
not	not	not
say	say	say
for	for	for
sure	sure	sure
what	what	what
happened	happen	happened
during	dure	during
the	the	the
remainder	remaind	remainder
of	of	of
the	the	the
night	night	night
.	.	.
Two	two	Two
other	other	other
sources	sourc	source
said	said	said
Schiller	schiller	Schiller
testified	testifi	testified
he	he	he
was	was	wa
confident	confid	confident
nothing	noth	nothing
happened	happen	happened
.	.	.
Schiller	schiller	Schiller
said	said	said
he	he	he
and	and	and
Trump	trump	Trump
were	were	were
aware	awar	aware
of	of	of
the	the	the
risk	risk	risk
that	that	that
hotel	hotel	hotel
rooms	room	room
in	in	in
Moscow	moscow	Moscow
could	could	could
be	be	be
set	set	set
up	up	up
to	to	to
capture	captur	capture
hidden	hidden	hidden
video	video	video
,	,	,
two	two	two
sources	sourc	source
said	said	said
.	.	.
Schiller	schiller	Schiller
was	was	wa
grilled	grill	grilled
about	about	about
the	the	the
Moscow	moscow	Moscow
trip	trip	trip
as	as	a
part	part	part
of	of	of
four	four	four
hours	hour	hour
of	of	of
testimony	testimoni	testimony
before	befor	before
the	the	the
House	hous	House
Intelligence	intellig	Intelligence
Committee	committe	Committee
.	.	.

The	the	The
questioning	question	questioning
around	around	around
the	the	the
Moscow	moscow	Moscow
trip	trip	trip
took	took	took
a	a	a
significant	signific	significant
amount	amount	amount
of	of	of
time	time	time
,	,	,
the	the	the
sources	sourc	source
said	said	said
.	.	.

Schiller	schiller	Schiller
was	was	wa
also	also	also
asked	ask	asked
about	about	about
the	the	the
June	june	June
2016	2016	2016
meeting	meet	meeting
at	at	at
Trump	trump	Trump
Tower	tower	Tower
between	between	between
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
and	and	and
Russians	russian	Russians
,	,	,
two	two	two
of	of	of
the	the	the
sources	sourc	source
said	said	said
.	.	.

He	he	He
testified	testifi	testified
that	that	that
he	he	he
did	did	did
not	not	not
recall	recal	recall
much	much	much
about	about	about
that	that	that
day	day	day
.	.	.

A	a	A
White	white	White
House	hous	House
lawyer	lawyer	lawyer
familiar	familiar	familiar
with	with	with
the	the	the
matter	matter	matter
said	said	said
that	that	that
the	the	the
White	white	White
House	hous	House
and	and	and
fair	fair	fair
-minded	-mind	-minded
people	peopl	people
are	are	are
pleased	pleas	pleased
that	that	that
Mr	mr	Mr
.	.	.
Schiller	schiller	Schiller
was	was	wa
able	abl	able
to	to	to
debunk	debunk	debunk
yet	yet	yet
another	anoth	another
of	of	of
the	the	the
false	fals	false
claims	claim	claim
in	in	in
the	the	the
fantasy	fantasi	fantasy
dossier	dossier	dossier
funded	fund	funded
by	by	by
the	the	the
DNC	dnc	DNC
and	and	and
the	the	the
Clinton	clinton	Clinton
campaign	campaign	campaign
and	and	and
prepared	prepar	prepared
during	dure	during
a	a	a
time	time	time
its	it	it
foreign	foreign	foreign
author	author	author
worked	work	worked
closely	close	closely
with	with	with
paid	paid	paid
Russian	russian	Russian
operatives	oper	operative
.	.	.

A	a	A
Navy	navi	Navy
veteran	veteran	veteran
,	,	,
Schiller	schiller	Schiller
worked	work	worked
part	part	part
-time	-time	-time
as	as	a
a	a	a
bodyguard	bodyguard	bodyguard
for	for	for
Trump	trump	Trump
while	while	while
still	still	still
an	an	an
NYPD	nypd	NYPD
officer	offic	officer
.	.	.

He	he	He
began	began	began
working	work	working
for	for	for
Trump	trump	Trump
full	full	full
-time	-time	-time
after	after	after
his	his	his
retirement	retir	retirement
from	from	from
the	the	the
force	forc	force
in	in	in
2002	2002	2002
and	and	and
became	becam	became
his	his	his
director	director	director
of	of	of
security	secur	security
in	in	in
2004	2004	2004
.	.	.

He	he	He
served	serv	served
as	as	a
director	director	director
of	of	of
oval	oval	oval
office	offic	office
operations	oper	operation
in	in	in
the	the	the
Trump	trump	Trump
White	white	White
House	hous	House
from	from	from
January	januari	January
until	until	until
September	septemb	September
.	.	.

NBC	nbc	NBC
News	news	News

