If	if	If
.	.	.

Conservatives	conserv	Conservatives
are	are	are
constantly	constant	constantly
telling	tell	telling
us	us	u
that	that	that
rape	rape	rape
victims	victim	victim
should	should	should
carry	carri	carry
these	these	these
pregnancies	pregnanc	pregnancy
to	to	to
term	term	term
because	becaus	because
the	the	the
baby	babi	baby
isn	isn	isn
t	t	t
to	to	to
blame	blame	blame
.	.	.

But	but	But
as	as	a
long	long	long
as	as	a
rapists	rapist	rapist
are	are	are
able	abl	able
to	to	to
pursue	pursu	pursue
custody	custodi	custody
and	and	and
terrorize	terror	terrorize
their	their	their
victims	victim	victim
for	for	for
the	the	the
rest	rest	rest
of	of	of
their	their	their
lives	live	life
,	,	,
women	women	woman
should	should	should
never	never	never
lose	lose	lose
the	the	the
right	right	right
to	to	to
choose	choos	choose
.	.	.

Because	becaus	Because
no	no	no
one	one	one
should	should	should
be	be	be
forced	forc	forced
to	to	to
live	live	live
their	their	their
life	life	life
in	in	in
terror	terror	terror
and	and	and
fear	fear	fear
.	.	.
Featured	featur	Featured
Image	imag	Image
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images

