At	at	At
the	the	the
report	report	report
says	say	say
,	,	,
ABC	abc	ABC
reported	report	reported
.	.	.
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
admitted	admit	admitted
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
community	communiti	community
was	was	wa
concerned	concern	concerned
about	about	about
the	the	the
problem	problem	problem
in	in	in
testimony	testimoni	testimony
before	befor	before
Congress	congress	Congress
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
The	the	The
intelligence	intellig	intelligence
community	communiti	community
is	is	is
concerned	concern	concerned
that	that	that
they	they	they
ISIS	isi	ISIS
have	have	have
the	the	the
ability	abil	ability
,	,	,
the	the	the
capability	capabl	capability
to	to	to
manufacture	manufactur	manufacture
fraudulent	fraudul	fraudulent
passports	passport	passport
,	,	,
which	which	which
is	is	is
a	a	a
concern	concern	concern
in	in	in
any	ani	any
setting	set	setting
,	,	,
Mr	mr	Mr
.	.	.
Comey	comey	Comey
said	said	said
.	.	.
Fake	fake	Fake
Syrian	syrian	Syrian
passports	passport	passport
have	have	have
already	alreadi	already
been	been	been
discovered	discov	discovered
in	in	in
Europe	europ	Europe
,	,	,
most	most	most
notably	notabl	notably
two	two	two
used	use	used
by	by	by
suicide	suicid	suicide
bombers	bomber	bomber
in	in	in
the	the	the
Paris	pari	Paris
attacks	attack	attack
last	last	last
month	month	month
.	.	.
According	accord	According
to	to	to
the	the	the
source	sourc	source
that	that	that
provided	provid	provided
the	the	the
passport	passport	passport
information	inform	information
to	to	to
homeland	homeland	homeland
security	secur	security
officials	offici	official
,	,	,
Syria	syria	Syria
is	is	is
awash	awash	awash
in	in	in
fake	fake	fake
documents	document	document
.	.	.
The	the	The
source	sourc	source
further	further	further
stated	state	stated
that	that	that
fake	fake	fake
Syrian	syrian	Syrian
passports	passport	passport
are	are	are
so	so	so
prevalent	preval	prevalent
in	in	in
Syria	syria	Syria
that	that	that
Syrians	syrian	Syrians
do	do	do
not	not	not
even	even	even
view	view	view
possessing	possess	possessing
them	them	them
as	as	a
illegal	illeg	illegal
,	,	,
the	the	the
report	report	report
says	say	say
,	,	,
according	accord	according
to	to	to
ABC	abc	ABC
.	.	.
The	the	The
source	sourc	source
stated	state	stated
fake	fake	fake
Syrian	syrian	Syrian
passports	passport	passport
can	can	can
be	be	be
obtained	obtain	obtained
in	in	in
Syria	syria	Syria
for	for	for
200	200	200
to	to	to
400	400	400
and	and	and
that	that	that
backdated	backdat	backdated
passport	passport	passport
stamps	stamp	stamp
to	to	to
be	be	be
placed	place	placed
in	in	in
the	the	the
passport	passport	passport
cost	cost	cost
the	the	the
same	same	same
.	.	.
The	the	The
report	report	report
included	includ	included
one	one	one
example	exampl	example
in	in	in
which	which	which
law	law	law
enforcement	enforc	enforcement
officials	offici	official
said	said	said
that	that	that
a	a	a
Syrian	syrian	Syrian
passport	passport	passport
discovered	discov	discovered
in	in	in
Turkey	turkey	Turkey
was	was	wa
printed	print	printed
with	with	with
a	a	a
designator	design	designator
number	number	number
indicating	indic	indicating
it	it	it
had	had	had
been	been	been
printed	print	printed
in	in	in
an	an	an
ISIS	isi	ISIS
-controlled	-control	-controlled
area	area	area
earlier	earlier	earlier
this	this	this
year	year	year
.	.	.
The	the	The
last	last	last
page	page	page
of	of	of
the	the	the
report	report	report
warns	warn	warns
,	,	,
If	if	If
ISIS	isi	ISIS
ability	abil	ability
to	to	to
produce	produc	produce
passports	passport	passport
is	is	is
not	not	not
controlled	control	controlled
,	,	,
their	their	their
operations	oper	operation
will	will	will
continue	continu	continue
to	to	to
increase	increas	increase
and	and	and
expand	expand	expand
outside	outsid	outside
of	of	of
their	their	their
operational	oper	operational
controlled	control	controlled
areas	area	area
.	.	.
Via	via	Via
Washington	washington	Washington
Times	time	Times
