Adolf	adolf	Adolf
the	the	the
rise	rise	rise
of	of	of
the	the	the
Nazi	nazi	Nazi
leader	leader	leader
.	.	.
In	in	In
an	an	an
interview	interview	interview
with	with	with
Good	good	Good
Morning	morn	Morning
America	america	America
,	,	,
Trump	trump	Trump
said	said	said
of	of	of
the	the	the
comparisons	comparison	comparison
It	it	It
s	s	s
a	a	a
terrible	terribl	terrible
comparison	comparison	comparison
.	.	.

I	i	I
m	m	m
not	not	not
happy	happi	happy
about	about	about
that	that	that
,	,	,
certainly	certain	certainly
.	.	.

I	i	I
don	don	don
t	t	t
want	want	want
that	that	that
comparison	comparison	comparison
.	.	.

But	but	But
you	you	you
know	know	know
we	we	we
have	have	have
to	to	to
be	be	be
strong	strong	strong
,	,	,
and	and	and
we	we	we
have	have	have
to	to	to
be	be	be
vigilant	vigil	vigilant
.	.	.

People	peopl	People
agree	agre	agree
with	with	with
that	that	that
.	.	.

We	we	We
don	don	don
t	t	t
want	want	want
to	to	to
lose	lose	lose
our	our	our
jobs	job	job
to	to	to
China	china	China
.	.	.

And	and	And
we	we	we
don	don	don
t	t	t
want	want	want
to	to	to
lose	lose	lose
our	our	our
jobs	job	job
to	to	to
Mexico	mexico	Mexico
and	and	and
Japan	japan	Japan
,	,	,
If	if	If
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
want	want	want
such	such	such
comparisons	comparison	comparison
,	,	,
then	then	then
he	he	he
should	should	should
stop	stop	stop
propagating	propag	propagating
in	in	in
ways	way	way
that	that	that
remind	remind	remind
the	the	the
world	world	world
of	of	of
the	the	the
notorious	notori	notorious
Nazi	nazi	Nazi
dictator	dictat	dictator
.	.	.

