Now	now	Now
We	we	We
re	re	re
focused	focus	focused
on	on	on
securing	secur	securing
the	the	the
border	border	border
.	.	.

We	we	We
think	think	think
that	that	that
s	s	s
first	first	first
and	and	and
foremost	foremost	foremost
,	,	,
before	befor	before
we	we	we
get	get	get
into	into	into
any	ani	any
other	other	other
immigration	immigr	immigration
issue	issu	issue
.	.	.

We	we	We
ve	ve	ve
got	got	got
to	to	to
know	know	know
who	who	who
s	s	s
coming	come	coming
and	and	and
going	go	going
in	in	in
the	the	the
country	countri	country
.	.	.

We	we	We
ve	ve	ve
got	got	got
to	to	to
secure	secur	secure
the	the	the
border	border	border
.	.	.

Of	of	Of
course	cours	course
,	,	,
this	this	this
is	is	is
not	not	not
what	what	what
Trump	trump	Trump
himself	himself	himself
said	said	said
on	on	on
the	the	the
campaign	campaign	campaign
trail	trail	trail
.	.	.

Here	here	Here
is	is	is
what	what	what
Trump	trump	Trump
insisted	insist	insisted
,	,	,
via	via	via
The	the	The
Hill	hill	Hill
You	you	You
re	re	re
going	go	going
to	to	to
have	have	have
a	a	a
deportation	deport	deportation
force	forc	force
,	,	,
and	and	and
you	you	you
re	re	re
going	go	going
to	to	to
do	do	do
it	it	it
humanely	human	humanely
,	,	,
Trump	trump	Trump
said	said	said
a	a	a
year	year	year
ago	ago	ago
.	.	.

Look	look	Look
,	,	,
we	we	we
have	have	have
to	to	to
do	do	do
what	what	what
we	we	we
have	have	have
to	to	to
do	do	do
,	,	,
and	and	and
Ike	ike	Ike
did	did	did
it	it	it
and	and	and
other	other	other
people	peopl	people
have	have	have
done	done	done
it	it	it
,	,	,
Trump	trump	Trump
said	said	said
,	,	,
referring	refer	referring
to	to	to
President	presid	President
Dwight	dwight	Dwight
Eisenhower	eisenhow	Eisenhower
s	s	s
policy	polici	policy
of	of	of
deporting	deport	deporting
1	1	1
.	.	.
5	5	5
million	million	million
people	peopl	people
by	by	by
bus	bus	bus
and	and	and
dropping	drop	dropping
them	them	them
off	off	off
at	at	at
remote	remot	remote
parts	part	part
of	of	of
the	the	the
border	border	border
.	.	.
So	so	So
,	,	,
whose	whose	whose
promise	promis	promise
should	should	should
we	we	we
trust	trust	trust
?	?	?

Ryan	ryan	Ryan
s	s	s
or	or	or
Trump	trump	Trump
s	s	s
?	?	?

Considering	consid	Considering
the	the	the
lying	lie	lying
,	,	,
sniveling	snivel	sniveling
,	,	,
skeevy	skeevi	skeevy
nature	natur	nature
of	of	of
today	today	today
s	s	s
Republican	republican	Republican
Party	parti	Party
,	,	,
we	we	we
must	must	must
assume	assum	assume
the	the	the
worst	worst	worst
That	that	That
they	they	they
are	are	are
planning	plan	planning
on	on	on
mass	mass	mass
deportations	deport	deportation
,	,	,
but	but	but
want	want	want
people	peopl	people
to	to	to
be	be	be
caught	caught	caught
unaware	unawar	unaware
when	when	when
they	they	they
start	start	start
.	.	.
These	these	These
people	peopl	people
are	are	are
truly	truli	truly
frightening	frighten	frightening
.	.	.

Buckle	buckl	Buckle
up	up	up
,	,	,
folks	folk	folk
.	.	.

It	it	It
s	s	s
going	go	going
to	to	to
be	be	be
a	a	a
long	long	long
four	four	four
years	year	year
.	.	.
Paul	paul	Paul
Ryan	ryan	Ryan
We	we	We
are	are	are
not	not	not
planning	plan	planning
on	on	on
erecting	erect	erecting
a	a	a
deportation	deport	deportation
force	forc	force
https://t.co/KNeF02vhbv	https://t.co/knef02vhbv	https://t.co/KNeF02vhbv
#CNNSOTU	#cnnsotu	#CNNSOTU
https://t.co/skw76OndVK	https://t.co/skw76ondvk	https://t.co/skw76OndVK
CNN	cnn	CNN
Politics	polit	Politics
@CNNPolitics	@cnnpolit	@CNNPolitics
November	novemb	November
13	13	13
,	,	,
2016Featured	2016featur	2016Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture

