Photo	photo	Photo
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
To	to	To
cause	caus	cause
the	the	the
deaths	death	death
of	of	of
500	500	500
,	,	,
000	000	000
children	children	child
,	,	,
and	and	and
say	say	say
it	it	it
was	was	wa
worth	worth	worth
the	the	the
kill	kill	kill
by	by	by
the	the	the
administrators	administr	administrator
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
The	the	The
cover	cover	cover
-up	-up	-up
for	for	for
9	9	9
11	11	11
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.

To	to	To
start	start	start
a	a	a
global	global	global
war	war	war
on	on	on
terror	terror	terror
and	and	and
not	not	not
explain	explain	explain
how	how	how
9	9	9
11	11	11
occurred	occur	occurred
,	,	,
or	or	or
how	how	how
a	a	a
third	third	third
building	build	building
collapsed	collaps	collapsed
nine	nine	nine
hours	hour	hour
later	later	later
,	,	,
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
Obama	obama	Obama
s	s	s
sudden	sudden	sudden
appearance	appear	appearance
on	on	on
the	the	the
scene	scene	scene
,	,	,
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
The	the	The
hundreds	hundr	hundred
of	of	of
books	book	book
and	and	and
articles	articl	article
that	that	that
question	question	question
the	the	the
mechanism	mechan	mechanism
of	of	of
the	the	the
selection	select	selection
of	of	of
Obama	obama	Obama
and	and	and
never	never	never
discussing	discuss	discussing
them	them	them
on	on	on
the	the	the
mainstream	mainstream	mainstream
media	media	medium
,	,	,
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
Obama	obama	Obama
placed	place	placed
in	in	in
that	that	that
position	posit	position
by	by	by
the	the	the
establishment	establish	establishment
,	,	,
by	by	by
the	the	the
deep	deep	deep
state	state	state
,	,	,
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
The	the	The
blanked	blank	blanked
out	out	out
middle	middl	middle
-class	-class	-class
of	of	of
America	america	America
,	,	,
still	still	still
pondering	ponder	pondering
what	what	what
happened	happen	happened
,	,	,
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
The	the	The
fact	fact	fact
that	that	that
they	they	they
lost	lost	lost
their	their	their
jobs	job	job
beginning	begin	beginning
three	three	three
decades	decad	decade
ago	ago	ago
,	,	,
and	and	and
having	have	having
had	had	had
to	to	to
let	let	let
go	go	go
of	of	of
their	their	their
comfortable	comfort	comfortable
insured	insur	insured
life	life	life
working	work	working
in	in	in
an	an	an
American	american	American
factory	factori	factory
,	,	,
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
The	the	The
abandoned	abandon	abandoned
factories	factori	factory
and	and	and
grand	grand	grand
industries	industri	industry
that	that	that
once	onc	once
made	made	made
America	america	America
great	great	great
,	,	,
lying	lie	lying
obsolete	obsolet	obsolete
and	and	and
deserted	desert	deserted
,	,	,
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
Half	half	Half
of	of	of
Detroit	detroit	Detroit
abandoned	abandon	abandoned
and	and	and
deserted	desert	deserted
,	,	,
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
The	the	The
media	media	medium
cheering	cheer	cheering
on	on	on
its	it	it
hallucinatory	hallucinatori	hallucinatory
concussions	concuss	concussion
all	all	all
throughout	throughout	throughout
these	these	these
disasters	disast	disaster
,	,	,
doesn	doesn	doesn
t	t	t
make	make	make
sense	sens	sense
.	.	.
The	the	The
PTSD	ptsd	PTSD
ed	ed	ed
war	war	war
veterans	veteran	veteran
and	and	and
the	the	the
official	offici	official
suicide	suicid	suicide
rates	rate	rate
of	of	of
US	us	US
soldiers	soldier	soldier
on	on	on
and	and	and
off	off	off
duty	duti	duty
,	,	,
go	go	go
undetected	undetect	undetected
and	and	and
barely	bare	barely
seen	seen	seen
in	in	in
the	the	the
rear	rear	rear
view	view	view
mirror	mirror	mirror
of	of	of
the	the	the
media	media	medium
,	,	,
never	never	never
make	make	make
sense	sens	sense
.	.	.
All	all	All
the	the	the
common	common	common
man	man	man
sees	see	see
today	today	today
is	is	is
one	one	one
man	man	man
attacked	attack	attacked
by	by	by
the	the	the
same	same	same
mass	mass	mass
media	media	medium
that	that	that
pushed	push	pushed
them	them	them
into	into	into
the	the	the
illegal	illeg	illegal
wars	war	war
and	and	and
illegitimate	illegitim	illegitimate
debts	debt	debt
from	from	from
zero	zero	zero
to	to	to
20	20	20
trillion	trillion	trillion
,	,	,
between	between	between
1979	1979	1979
-2017	-2017	-2017
,	,	,
by	by	by
some	some	some
estimates	estim	estimate
.	.	.
But	but	But
the	the	the
buck	buck	buck
stops	stop	stop
here	here	here
as	as	a
President	presid	President
Eisenhower	eisenhow	Eisenhower
once	onc	once
famously	famous	famously
said	said	said
.	.	.

The	the	The
heavy	heavi	heavy
train	train	train
loaded	load	loaded
with	with	with
old	old	old
rusted	rust	rusted
debris	debri	debris
is	is	is
coming	come	coming
to	to	to
a	a	a
screeching	screech	screeching
halt	halt	halt
.	.	.

Meanwhile	meanwhil	Meanwhile
the	the	the
curious	curious	curious
are	are	are
looking	look	looking
wide	wide	wide
-eyed	-ey	-eyed
.	.	.

NATO	nato	NATO
doesn	doesn	doesn
t	t	t
know	know	know
where	where	where
it	it	it
really	realli	really
stands	stand	stand
.	.	.

The	the	The
think	think	think
tanks	tank	tank
of	of	of
Washington	washington	Washington
the	the	the
hub	hub	hub
of	of	of
all	all	all
mesmerizing	mesmer	mesmerizing
strategies	strategi	strategy
are	are	are
vacant	vacant	vacant
,	,	,
or	or	or
their	their	their
curtains	curtain	curtain
half	half	half
drawn	drawn	drawn
.	.	.

The	the	The
Neocons	neocon	Neocons
are	are	are
contemplating	contempl	contemplating
plan	plan	plan
B	b	B
.	.	.

The	the	The
Israeli	isra	Israeli
firsters	firster	firsters
are	are	are
caught	caught	caught
off	off	off
guard	guard	guard
.	.	.

They	they	They
are	are	are
planning	plan	planning
ahead	ahead	ahead
of	of	of
time	time	time
desperately	desper	desperately
.	.	.

But	but	But
whose	whose	whose
ears	ear	ear
do	do	do
they	they	they
have	have	have
this	this	this
time	time	time
?	?	?
!	!	!

A	a	A
man	man	man
who	who	who
calls	call	call
the	the	the
weapons	weapon	weapon
of	of	of
the	the	the
think	think	think
tanks	tank	tank
,	,	,
the	the	the
mainstream	mainstream	mainstream
media	media	medium
,	,	,
liars	liar	liar
,	,	,
fake	fake	fake
news	news	news
!	!	!
?	?	?
Once	onc	Once
the	the	the
invisible	invis	invisible
sword	sword	sword
,	,	,
the	the	the
likes	like	like
of	of	of
New	new	New
York	york	York
Times	time	Times
and	and	and
CNN	cnn	CNN
are	are	are
today	today	today
exposed	expos	exposed
and	and	and
blunted	blunt	blunted
.	.	.

Who	who	Who
dared	dare	dared
call	call	call
CNN	cnn	CNN
liars	liar	liar
?	?	?
!	!	!

CNN	cnn	CNN
engaged	engag	engaged
America	america	America
meticulously	meticul	meticulously
into	into	into
two	two	two
fake	fake	fake
wars	war	war
which	which	which
indebted	indebt	indebted
the	the	the
United	unit	United
States	state	States
,	,	,
and	and	and
still	still	still
avoided	avoid	avoided
any	ani	any
blame	blame	blame
.	.	.

It	it	It
was	was	wa
almost	almost	almost
scripted	script	scripted
and	and	and
storyboarded	storyboard	storyboarded
like	like	like
a	a	a
Hollywood	hollywood	Hollywood
movie	movi	movie
.	.	.

Now	now	Now
,	,	,
it	it	it
is	is	is
still	still	still
loose	loos	loose
,	,	,
with	with	with
acrobatic	acrobat	acrobatic
skills	skill	skill
evading	evad	evading
all	all	all
detection	detect	detection
like	like	like
a	a	a
skilled	skill	skilled
serial	serial	serial
killer	killer	killer
breathing	breath	breathing
in	in	in
our	our	our
civilized	civil	civilized
world	world	world
.	.	.
Now	now	Now
the	the	the
eye	eye	eye
-opening	-open	-opening
process	process	process
has	has	ha
begun	begun	begun
.	.	.

Watch	watch	Watch
out	out	out
for	for	for
the	the	the
six	six	six
-packers	-packer	-packers
and	and	and
their	their	their
evaporated	evapor	evaporated
illusions	illus	illusion
!	!	!

You	you	You
have	have	have
finally	final	finally
awaken	awaken	awaken
the	the	the
slumbering	slumber	slumbering
slave	slave	slave
of	of	of
America	america	America
,	,	,
and	and	and
awakened	awaken	awakened
they	they	they
are	are	are
Alas	ala	Alas
!	!	!

All	all	All
empires	empir	empire
go	go	go
through	through	through
these	these	these
stages	stage	stage
.	.	.

The	the	The
awkward	awkward	awkward
moments	moment	moment
must	must	must
be	be	be
tolerated	toler	tolerated
i	i	i
.	.	.
e	e	e
.	.	.
the	the	the
president	presid	president
without	without	without
a	a	a
cabinet	cabinet	cabinet
,	,	,
the	the	the
supporters	support	supporter
with	with	with
semi	semi	semi
-automatic	-automat	-automatic
weapons	weapon	weapon
guarding	guard	guarding
his	his	his
speeches	speech	speech
in	in	in
Georgia	georgia	Georgia
and	and	and
Florida	florida	Florida
.	.	.

The	the	The
anti	anti	anti
-Semitic	-semit	-Semitic
accusations	accus	accusation
that	that	that
are	are	are
being	be	being
discussed	discuss	discussed
in	in	in
the	the	the
morning	morn	morning
regular	regular	regular
sessions	session	session
on	on	on
CNN	cnn	CNN
.	.	.

The	the	The
angry	angri	angry
obliterated	obliter	obliterated
Alan	alan	Alan
Dershowitz	dershowitz	Dershowitz
who	who	who
is	is	is
nervously	nervous	nervously
accusing	accus	accusing
CNN	cnn	CNN
s	s	s
moderator	moder	moderator
Don	don	Don
Lemon	lemon	Lemon
,	,	,
of	of	of
giving	give	giving
the	the	the
anti	anti	anti
-Semites	-semit	-Semites
their	their	their
fifteen	fifteen	fifteen
minutes	minut	minute
of	of	of
fame	fame	fame
.	.	.

They	they	They
fear	fear	fear
that	that	that
it	it	it
will	will	will
catch	catch	catch
fire	fire	fire
on	on	on
the	the	the
colleges	colleg	college
and	and	and
universities	univers	university
.	.	.
The	the	The
masquerade	masquerad	masquerade
however	howev	however
is	is	is
over	over	over
.	.	.

The	the	The
Paul	paul	Paul
Wolfowitzs	wolfowitz	Wolfowitzs
,	,	,
the	the	the
Richard	richard	Richard
Perles	perl	Perles
,	,	,
the	the	the
Daniel	daniel	Daniel
Pipes	pipe	Pipes
have	have	have
to	to	to
face	face	face
the	the	the
masses	mass	mass
.	.	.

The	the	The
not	not	not
-so-innocent	-so-innoc	-so-innocent
masses	mass	mass
that	that	that
succumbed	succumb	succumbed
to	to	to
the	the	the
beast	beast	beast
s	s	s
demands	demand	demand
also	also	also
wait	wait	wait
.	.	.

The	the	The
confrontation	confront	confrontation
lingers	linger	lingers
silently	silent	silently
.	.	.

No	no	No
one	one	one
even	even	even
knows	know	know
these	these	these
people	peopl	people
as	as	a
Thomas	thoma	Thomas
Friedman	friedman	Friedman
of	of	of
the	the	the
New	new	New
York	york	York
Times	time	Times
once	onc	once
famously	famous	famously
said	said	said
in	in	in
his	his	his
interviews	interview	interview
with	with	with
the	the	the
Haaretz	haaretz	Haaretz
.	.	.

Twenty	twenti	Twenty
Five	five	Five
Neocons	neocon	Neocons
have	have	have
planned	plan	planned
and	and	and
executed	execut	executed
what	what	what
has	has	ha
happened	happen	happened
in	in	in
the	the	the
past	past	past
two	two	two
and	and	and
a	a	a
half	half	half
decades	decad	decade
.	.	.
The	the	The
wakeup	wakeup	wakeup
call	call	call
has	has	ha
rung	rung	rung
,	,	,
the	the	the
moment	moment	moment
of	of	of
illusion	illus	illusion
has	has	ha
disappeared	disappear	disappeared
.	.	.

The	the	The
apparent	appar	apparent
,	,	,
sudden	sudden	sudden
sun	sun	sun
is	is	is
beginning	begin	beginning
to	to	to
shine	shine	shine
gloriously	glorious	gloriously
,	,	,
one	one	one
ray	ray	ray
at	at	at
a	a	a
time	time	time
.	.	.

Wash	wash	Wash
your	your	your
face	face	face
and	and	and
watch	watch	watch
the	the	the
unfolding	unfold	unfolding
.	.	.
21WIRE	21wire	21WIRE
contributor	contributor	contributor
Nader	nader	Nader
Talebzadeh	talebzadeh	Talebzadeh
is	is	is
an	an	an
Iranian	iranian	Iranian
filmmaker	filmmak	filmmaker
,	,	,
producer	produc	producer
,	,	,
writer	writer	writer
,	,	,
cultural	cultur	cultural
and	and	and
historical	histor	historical
commentator	comment	commentator
and	and	and
New	new	New
Horizon	horizon	Horizon
Conference	confer	Conference
Chair	chair	Chair
,	,	,
Channel	channel	Channel
One	one	One
TV	tv	TV
program	program	program
host	host	host
A	a	A
sr	sr	sr
The	the	The
Time	time	Time
.	.	.

READ	read	READ
MORE	more	MORE
TRUMP	trump	TRUMP
NEWS	news	NEWS
AT	at	AT
21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
Trump	trump	Trump
FilesSUPPORT	filessupport	FilesSUPPORT
OUR	our	OUR
WORK	work	WORK
BY	by	BY
SUBSCRIBING	subscrib	SUBSCRIBING
BECOMING	becom	BECOMING
A	a	A
MEMBER	member	MEMBER
@21WIRE	@21wire	@21WIRE
.	.	.
TV	tv	TV

