Conservatives	conserv	Conservatives
Reich	reich	Reich
,	,	,
who	who	who
believes	believ	belief
that	that	that
the	the	the
pick	pick	pick
would	would	would
be	be	be
Judge	judg	Judge
Sri	sri	Sri
Srinivasan	srinivasan	Srinivasan
,	,	,
who	who	who
has	has	ha
been	been	been
nominated	nomin	nominated
to	to	to
a	a	a
lower	lower	lower
Court	court	Court
of	of	of
Appeals	appeal	Appeals
by	by	by
President	presid	President
Obama	obama	Obama
.	.	.

However	howev	However
,	,	,
it	it	it
seems	seem	seems
that	that	that
Goldstein	goldstein	Goldstein
s	s	s
prediction	predict	prediction
makes	make	make
much	much	much
more	more	more
sense	sens	sense
,	,	,
both	both	both
practically	practic	practically
and	and	and
politically	polit	politically
.	.	.
This	this	This
nomination	nomin	nomination
could	could	could
be	be	be
a	a	a
political	polit	political
windfall	windfal	windfall
for	for	for
the	the	the
left	left	left
,	,	,
and	and	and
a	a	a
disaster	disast	disaster
for	for	for
the	the	the
right	right	right
.	.	.

With	with	With
so	so	so
many	mani	many
Republicans	republican	Republicans
vowing	vow	vowing
to	to	to
refuse	refus	refuse
to	to	to
allow	allow	allow
any	ani	any
of	of	of
Obama	obama	Obama
s	s	s
nominees	nomine	nominee
onto	onto	onto
the	the	the
court	court	court
,	,	,
their	their	their
image	imag	image
problem	problem	problem
when	when	when
it	it	it
comes	come	come
to	to	to
race	race	race
will	will	will
not	not	not
be	be	be
helped	help	helped
if	if	if
they	they	they
refuse	refus	refuse
to	to	to
confirm	confirm	confirm
Lynch	lynch	Lynch
.	.	.

After	after	After
all	all	all
,	,	,
she	she	she
would	would	would
be	be	be
the	the	the
first	first	first
black	black	black
woman	woman	woman
to	to	to
make	make	make
it	it	it
to	to	to
the	the	the
Supreme	suprem	Supreme
Court	court	Court
,	,	,
and	and	and
they	they	they
would	would	would
look	look	look
like	like	like
a	a	a
bunch	bunch	bunch
of	of	of
racists	racist	racist
and	and	and
misogynists	misogynist	misogynist
.	.	.

Further	further	Further
,	,	,
according	accord	according
to	to	to
Goldstein	goldstein	Goldstein
,	,	,
Lynch	lynch	Lynch
s	s	s
history	histori	history
as	as	a
a	a	a
career	career	career
prosecutor	prosecutor	prosecutor
makes	make	make
it	it	it
very	veri	very
difficult	difficult	difficult
to	to	to
paint	paint	paint
her	her	her
as	as	a
excessively	excess	excessively
liberal	liber	liberal
.	.	.

Essentially	essenti	Essentially
,	,	,
a	a	a
Loretta	loretta	Loretta
Lynch	lynch	Lynch
nomination	nomin	nomination
does	doe	doe
everything	everyth	everything
the	the	the
left	left	left
needs	need	need
it	it	it
to	to	to
do	do	do
,	,	,
and	and	and
completely	complet	completely
paints	paint	paint
the	the	the
GOP	gop	GOP
obstructionists	obstructionist	obstructionist
into	into	into
a	a	a
corner	corner	corner
.	.	.

They	they	They
already	alreadi	already
have	have	have
serious	serious	serious
problems	problem	problem
with	with	with
racial	racial	racial
minorities	minor	minority
,	,	,
and	and	and
with	with	with
the	the	the
way	way	way
they	they	they
treated	treat	treated
the	the	the
Loretta	loretta	Loretta
Lynch	lynch	Lynch
confirmation	confirm	confirmation
for	for	for
the	the	the
position	posit	position
of	of	of
Attorney	attorney	Attorney
General	general	General
,	,	,
they	they	they
can	can	can
t	t	t
afford	afford	afford
to	to	to
treat	treat	treat
her	her	her
badly	bad	badly
again	again	again
.	.	.

People	peopl	People
already	alreadi	already
called	call	called
that	that	that
racism	racism	racism
and	and	and
misogyny	misogyni	misogyny
out	out	out
for	for	for
what	what	what
it	it	it
was	was	wa
,	,	,
and	and	and
if	if	if
they	they	they
want	want	want
to	to	to
maintain	maintain	maintain
any	ani	any
kind	kind	kind
of	of	of
semblance	semblanc	semblance
of	of	of
respect	respect	respect
when	when	when
it	it	it
comes	come	come
to	to	to
race	race	race
issues	issu	issue
and	and	and
minority	minor	minority
communities	communiti	community
,	,	,
they	they	they
will	will	will
not	not	not
block	block	block
Lynch	lynch	Lynch
a	a	a
second	second	second
time	time	time
.	.	.

Goldstein	goldstein	Goldstein
s	s	s
points	point	point
on	on	on
the	the	the
issues	issu	issue
a	a	a
Lynch	lynch	Lynch
nomination	nomin	nomination
poses	pose	pose
for	for	for
the	the	the
GOP	gop	GOP
were	were	were
nothing	noth	nothing
short	short	short
of	of	of
perfect	perfect	perfect
I	i	I
think	think	think
the	the	the
administration	administr	administration
would	would	would
relish	relish	relish
the	the	the
prospect	prospect	prospect
of	of	of
Republicans	republican	Republicans
either	either	either
refusing	refus	refusing
to	to	to
give	give	give
Lynch	lynch	Lynch
a	a	a
vote	vote	vote
or	or	or
seeming	seem	seeming
to	to	to
treat	treat	treat
her	her	her
unfairly	unfair	unfairly
in	in	in
the	the	the
confirmation	confirm	confirmation
process	process	process
.	.	.

Either	either	Either
eventuality	eventu	eventuality
would	would	would
motivate	motiv	motivate
both	both	both
black	black	black
and	and	and
women	women	woman
voters	voter	voter
.	.	.

Oh	oh	Oh
,	,	,
I	i	I
surely	sure	surely
hope	hope	hope
that	that	that
this	this	this
is	is	is
true	true	true
.	.	.

Talk	talk	Talk
about	about	about
a	a	a
great	great	great
way	way	way
for	for	for
President	presid	President
Obama	obama	Obama
to	to	to
stick	stick	stick
it	it	it
to	to	to
the	the	the
GOP	gop	GOP
on	on	on
his	his	his
way	way	way
out	out	out
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
White	white	White
House	hous	House
Flickr	flickr	Flickr

