Representative	repres	Representative
people	peopl	people
are	are	are
so	so	so
worked	work	worked
up	up	up
over	over	over
who	who	who
uses	use	us
which	which	which
toilet	toilet	toilet
and	and	and
why	whi	why
.	.	.

You	you	You
re	re	re
not	not	not
going	go	going
to	to	to
see	see	see
the	the	the
person	person	person
they	they	they
re	re	re
behind	behind	behind
a	a	a
closed	close	closed
door	door	door
!	!	!

And	and	And
to	to	to
impose	impos	impose
restricting	restrict	restricting
laws	law	law
on	on	on
children	children	child
?	?	?

Children	children	Children
?	?	?
Sadly	sad	Sadly
,	,	,
Simmons	simmon	Simmons
is	is	is
not	not	not
alone	alon	alone
in	in	in
this	this	this
endeavor	endeavor	endeavor
,	,	,
as	as	a
the	the	the
Governor	governor	Governor
of	of	of
Texas	texa	Texas
Greg	greg	Greg
Abbot	abbot	Abbot
has	has	ha
said	said	said
that	that	that
passing	pass	passing
an	an	an
anti	anti	anti
-LGBT	-lgbt	-LGBT
bathroom	bathroom	bathroom
bill	bill	bill
is	is	is
top	top	top
priority	prioriti	priority
back	back	back
in	in	in
May	may	May
according	accord	according
to	to	to
PinkNews	pinknew	PinkNews
.	.	.
PinkNews	pinknew	PinkNews
reports	report	report
that	that	that
in	in	in
response	respons	response
to	to	to
the	the	the
failure	failur	failure
to	to	to
pass	pass	pas
the	the	the
bill	bill	bill
,	,	,
the	the	the
state	state	state
s	s	s
Governor	governor	Governor
has	has	ha
earlier	earlier	earlier
this	this	this
month	month	month
vowed	vow	vowed
to	to	to
hold	hold	hold
a	a	a
special	special	special
legislative	legisl	legislative
session	session	session
on	on	on
the	the	the
issue	issu	issue
an	an	an
extremely	extrem	extremely
costly	cost	costly
procedure	procedur	procedure
which	which	which
is	is	is
intended	intend	intended
to	to	to
only	onli	only
be	be	be
used	use	used
for	for	for
urgent	urgent	urgent
issues	issu	issue
and	and	and
emergency	emerg	emergency
legislation	legisl	legislation
.	.	.
So	so	So
,	,	,
Texas	texa	Texas
is	is	is
holding	hold	holding
a	a	a
costly	cost	costly
,	,	,
special	special	special
,	,	,
emergency	emerg	emergency
legislative	legisl	legislative
session	session	session
because	becaus	because
they	they	they
re	re	re
freaking	freak	freaking
out	out	out
over	over	over
who	who	who
uses	use	us
which	which	which
bathroom	bathroom	bathroom
.	.	.

You	you	You
know	know	know
,	,	,
that	that	that
private	privat	private
place	place	place
where	where	where
you	you	you
re	re	re
meant	meant	meant
to	to	to
do	do	do
your	your	your
business	busi	business
behind	behind	behind
closed	close	closed
doors	door	door
.	.	.

They	they	They
re	re	re
freaking	freak	freaking
out	out	out
over	over	over
which	which	which
bathroom	bathroom	bathroom
a	a	a
child	child	child
uses	use	us
in	in	in
school	school	school
.	.	.

Just	just	Just
let	let	let
all	all	all
that	that	that
sink	sink	sink
in	in	in
.	.	.
In	in	In
response	respons	response
,	,	,
Sarah	sarah	Sarah
Kate	kate	Kate
Ellis	elli	Ellis
,	,	,
President	presid	President
,	,	,
and	and	and
CEO	ceo	CEO
of	of	of
GLAAD	glaad	GLAAD
said	said	said
Governor	governor	Governor
Greg	greg	Greg
Abbott	abbott	Abbott
is	is	is
proving	prove	proving
everything	everyth	everything
is	is	is
bigger	bigger	bigger
in	in	in
Texas	texa	Texas
including	includ	including
prioritizing	priorit	prioritizing
discrimination	discrimin	discrimination
.	.	.

If	if	If
the	the	the
governor	governor	governor
moves	move	move
forward	forward	forward
with	with	with
this	this	this
harmful	harm	harmful
legislation	legisl	legislation
against	against	against
trans	tran	trans
students	student	student
,	,	,
LGBTQ	lgbtq	LGBTQ
people	peopl	people
,	,	,
businesses	busi	business
,	,	,
and	and	and
fair	fair	fair
-minded	-mind	-minded
Texans	texan	Texans
will	will	will
respond	respond	respond
in	in	in
Texas	texa	Texas
style	style	style
Big	big	Big
.	.	.

Trans	tran	Trans
Texans	texan	Texans
have	have	have
experienced	experienc	experienced
harassment	harass	harassment
and	and	and
threats	threat	threat
because	becaus	because
of	of	of
this	this	this
last	last	last
session	session	session
and	and	and
if	if	if
any	ani	any
anti	anti	anti
-trans	-tran	-trans
bills	bill	bill
get	get	get
signed	sign	signed
into	into	into
law	law	law
,	,	,
then	then	then
Governor	governor	Governor
Abbott	abbott	Abbott
s	s	s
legacy	legaci	legacy
will	will	will
be	be	be
turning	turn	turning
Texas	texa	Texas
into	into	into
a	a	a
state	state	state
known	known	known
for	for	for
harming	harm	harming
some	some	some
its	it	it
most	most	most
marginalized	margin	marginalized
people	peopl	people
.	.	.

Source	sourc	Source
PinkNewsEllis	pinknewselli	PinkNewsEllis
couldn	couldn	couldn
t	t	t
be	be	be
more	more	more
right	right	right
.	.	.

These	these	These
Texan	texan	Texan
lawmakers	lawmak	lawmaker
need	need	need
to	to	to
get	get	get
a	a	a
grip	grip	grip
and	and	and
focus	focus	focus
on	on	on
actual	actual	actual
,	,	,
important	import	important
issues	issu	issue
.	.	.

Not	not	Not
where	where	where
someone	someon	someone
goes	goe	go
to	to	to
the	the	the
bathroom	bathroom	bathroom
and	and	and
why	whi	why
.	.	.

This	this	This
shouldn	shouldn	shouldn
t	t	t
even	even	even
be	be	be
up	up	up
for	for	for
discussion	discuss	discussion
or	or	or
debate	debat	debate
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Sara	sara	Sara
D	d	D
.	.	.

Davis	davi	Davis
Getty	getti	Getty
Images	imag	Images

