Leaked	leak	Leaked
Parliament	parliament	Parliament
election	elect	election
campaign	campaign	campaign
in	in	in
the	the	the
Czech	czech	Czech
Republic	republ	Republic
,	,	,
Hungary	hungari	Hungary
and	and	and
Slovakia	slovakia	Slovakia
.	.	.
Another	anoth	Another
27	27	27
,	,	,
049	049	049
was	was	wa
given	given	given
to	to	to
the	the	the
Public	public	Public
Diplomacy	diplomaci	Diplomacy
Council	council	Council
of	of	of
Catalonia	catalonia	Catalonia
for	for	for
a	a	a
workshop	workshop	workshop
to	to	to
influence	influenc	influence
leading	lead	leading
journalists	journalist	journalist
and	and	and
media	media	medium
practitioners	practition	practitioner
from	from	from
Europe	europ	Europe
to	to	to
change	chang	change
their	their	their
coverage	coverag	coverage
to	to	to
prevent	prevent	prevent
populist	populist	populist
,	,	,
xenophobic	xenophob	xenophobic
and	and	and
Eurosceptic	euroscept	Eurosceptic
movements	movement	movement
.	.	.
The	the	The
stated	state	stated
aim	aim	aim
of	of	of
the	the	the
workshop	workshop	workshop
was	was	wa
to	to	to
trigger	trigger	trigger
a	a	a
change	chang	change
of	of	of
attitude	attitud	attitude
amongst	amongst	amongst
journalists	journalist	journalist
and	and	and
media	media	medium
practitioners	practition	practitioner
so	so	so
that	that	that
they	they	they
will	will	will
report	report	report
about	about	about
the	the	the
EU	eu	EU
in	in	in
a	a	a
way	way	way
that	that	that
does	doe	doe
not	not	not
directly	direct	directly
promote	promot	promote
the	the	the
cause	caus	cause
of	of	of
these	these	these
movements	movement	movement
.	.	.
An	an	An
OSF	osf	OSF
spokesperson	spokesperson	spokesperson
said	said	said
the	the	the
organization	organ	organization
has	has	ha
funded	fund	funded
efforts	effort	effort
to	to	to
encourage	encourag	encourage
voter	voter	voter
participation	particip	participation
and	and	and
education	educ	education
,	,	,
encourage	encourag	encourage
policy	polici	policy
innovation	innov	innovation
,	,	,
and	and	and
promote	promot	promote
independent	independ	independent
journalism	journal	journalism
to	to	to
help	help	help
make	make	make
governments	govern	government
of	of	of
all	all	all
types	type	type
more	more	more
transparent	transpar	transparent
and	and	and
accountable	account	accountable
to	to	to
the	the	the
people	peopl	people
they	they	they
serve	serv	serve
.	.	.
Open	open	Open
Society	societi	Society
Foundations	foundat	Foundations
does	doe	doe
not	not	not
financially	financi	financially
support	support	support
candidates	candid	candidate
for	for	for
public	public	public
office	offic	office
.	.	.
OSF	osf	OSF
may	may	may
not	not	not
financially	financi	financially
support	support	support
candidates	candid	candidate
for	for	for
public	public	public
office	offic	office
,	,	,
but	but	but
it	it	it
is	is	is
clear	clear	clear
from	from	from
the	the	the
documents	document	document
that	that	that
OSF	osf	OSF
did	did	did
support	support	support
organizations	organ	organization
who	who	who
opposed	oppos	opposed
candidates	candid	candidate
who	who	who
clash	clash	clash
with	with	with
the	the	the
OSF	osf	OSF
worldview	worldview	worldview
.	.	.
A	a	A
46	46	46
,	,	,
840	840	840
grant	grant	grant
to	to	to
the	the	the
Center	center	Center
for	for	for
Peace	peac	Peace
Studies	studi	Studies
,	,	,
for	for	for
example	exampl	example
,	,	,
was	was	wa
meant	meant	meant
to	to	to
stimulate	stimul	stimulate
public	public	public
support	support	support
and	and	and
election	elect	election
turnout	turnout	turnout
among	among	among
ambivalent	ambival	ambivalent
voters	voter	voter
in	in	in
order	order	order
to	to	to
prevent	prevent	prevent
the	the	the
election	elect	election
of	of	of
xenophobic	xenophob	xenophobic
,	,	,
racist	racist	racist
,	,	,
and	and	and
other	other	other
radical	radic	radical
political	polit	political
options	option	option
representing	repres	representing
Croatia	croatia	Croatia
at	at	at
the	the	the
EU	eu	EU
level	level	level
.	.	.
Supporting	support	Supporting
restrictions	restrict	restriction
on	on	on
immigration	immigr	immigration
is	is	is
typically	typic	typically
synonymous	synonym	synonymous
with	with	with
xenophobia	xenophobia	xenophobia
in	in	in
OSF	osf	OSF
s	s	s
internal	intern	internal
documents	document	document
.	.	.
Another	anoth	Another
100	100	100
,	,	,
000	000	000
went	went	went
to	to	to
UNITED	unit	UNITED
for	for	for
Intercultural	intercultur	Intercultural
Action	action	Action
to	to	to
counter	counter	counter
the	the	the
election	elect	election
of	of	of
European	european	European
Members	member	Members
of	of	of
Parliament	parliament	Parliament
from	from	from
populist	populist	populist
and	and	and
far	far	far
-right	-right	-right
parties	parti	party
in	in	in
Europe	europ	Europe
.	.	.
According	accord	According
to	to	to
the	the	the
documents	document	document
,	,	,
UNITED	unit	UNITED
teamed	team	teamed
up	up	up
with	with	with
the	the	the
European	european	European
Network	network	Network
Against	against	Against
Racism	racism	Racism
ENAR	enar	ENAR
and	and	and
Hope	hope	Hope
not	not	not
Hate	hate	Hate
to	to	to
push	push	push
back	back	back
against	against	against
populist	populist	populist
candidates	candid	candidate
in	in	in
all	all	all
28	28	28
member	member	member
states	state	state
of	of	of
the	the	the
EU	eu	EU
,	,	,
while	while	while
particularly	particular	particularly
focusing	focus	focusing
on	on	on
five	five	five
countries	countri	country
France	franc	France
,	,	,
Greece	greec	Greece
,	,	,
Hungary	hungari	Hungary
,	,	,
Italy	itali	Italy
,	,	,
and	and	and
the	the	the
Netherlands	netherland	Netherlands
.	.	.
Local	local	Local
groups	group	group
in	in	in
these	these	these
five	five	five
countries	countri	country
will	will	will
be	be	be
formed	form	formed
to	to	to
organize	organ	organize
meetings	meet	meeting
and	and	and
door	door	door
-to-door	-to-door	-to-door
campaigns	campaign	campaign
ahead	ahead	ahead
of	of	of
the	the	the
EP	ep	EP
elections	elect	election
to	to	to
1	1	1
encourage	encourag	encourage
voters	voter	voter
to	to	to
register	regist	register
and	and	and
vote	vote	vote
;	;	;
and	and	and
2	2	2
to	to	to
vote	vote	vote
for	for	for
non	non	non
-extremist	-extremist	-extremist
candidates	candid	candidate
,	,	,
the	the	the
documents	document	document
state	state	state
.	.	.
Netherlands	netherland	Netherlands
,	,	,
a	a	a
separate	separ	separate
OSF	osf	OSF
document	document	document
explained	explain	explained
,	,	,
was	was	wa
one	one	one
of	of	of
the	the	the
five	five	five
priority	prioriti	priority
countries	countri	country
because	becaus	because
of	of	of
the	the	the
rise	rise	rise
of	of	of
the	the	the
far	far	far
-right	-right	-right
PPV	ppv	PPV
party	parti	party
,	,	,
lead	lead	lead
by	by	by
populist	populist	populist
Geert	geert	Geert
Wilders	wilder	Wilders
.	.	.
OSF	osf	OSF
chose	chose	chose
Netherlands	netherland	Netherlands
because	becaus	because
polling	poll	polling
showed	show	showed
PPV	ppv	PPV
will	will	will
have	have	have
a	a	a
very	veri	very
good	good	good
result	result	result
in	in	in
the	the	the
European	european	European
Parliament	parliament	Parliament
elections	elect	election
,	,	,
and	and	and
because	becaus	because
it	it	it
is	is	is
one	one	one
of	of	of
the	the	the
drivers	driver	driver
of	of	of
anti	anti	anti
-European	-european	-European
and	and	and
anti	anti	anti
-migration	-migrat	-migration
discourse	discours	discourse
in	in	in
the	the	the
EU	eu	EU
.	.	.
Another	anoth	Another
document	document	document
,	,	,
from	from	from
two	two	two
months	month	month
before	befor	before
the	the	the
2014	2014	2014
EP	ep	EP
elections	elect	election
,	,	,
stated	state	stated
that	that	that
OSF	osf	OSF
s	s	s
strategy	strategi	strategy
in	in	in
the	the	the
Netherlands	netherland	Netherlands
varied	vari	varied
depending	depend	depending
on	on	on
the	the	the
success	success	success
of	of	of
Wilders	wilder	Wilders
and	and	and
PPV	ppv	PPV
.	.	.
The	the	The
outcome	outcom	outcome
of	of	of
the	the	the
European	european	European
Parliament	parliament	Parliament
elections	elect	election
in	in	in
May	may	May
2014	2014	2014
and	and	and
how	how	how
well	well	well
the	the	the
PPV	ppv	PPV
,	,	,
the	the	the
populist	populist	populist
party	parti	party
of	of	of
Geert	geert	Geert
Wilders	wilder	Wilders
,	,	,
does	doe	doe
will	will	will
help	help	help
to	to	to
determine	determin	determine
OSF	osf	OSF
s	s	s
next	next	next
steps	step	step
in	in	in
the	the	the
Netherlands	netherland	Netherlands
,	,	,
the	the	the
document	document	document
stated	state	stated
.	.	.
In	in	In
total	total	total
,	,	,
Soros	soro	Soros
gave	gave	gave
more	more	more
than	than	than
6	6	6
million	million	million
to	to	to
90	90	90
different	differ	different
partner	partner	partner
organizations	organ	organization
to	to	to
influence	influenc	influence
the	the	the
outcome	outcom	outcome
of	of	of
the	the	the
2014	2014	2014
European	european	European
Parliamentary	parliamentari	Parliamentary
elections	elect	election
.	.	.
Read	read	Read
more	more	more
Daily	daili	Daily
Caller	caller	Caller
