Imagine	imagin	Imagine
seem	seem	seem
like	like	like
a	a	a
sweet	sweet	sweet
payment	payment	payment
plan	plan	plan
,	,	,
clearly	clear	clearly
it	it	it
is	is	is
not	not	not
working	work	working
.	.	.

In	in	In
the	the	the
two	two	two
years	year	year
since	sinc	since
the	the	the
city	citi	city
started	start	started
to	to	to
aggressively	aggress	aggressively
target	target	target
residents	resid	resident
who	who	who
could	could	could
not	not	not
pay	pay	pay
,	,	,
they	they	they
still	still	still
have	have	have
thousands	thousand	thousand
of	of	of
residents	resid	resident
in	in	in
the	the	the
same	same	same
situation	situat	situation
.	.	.

These	these	These
are	are	are
not	not	not
people	peopl	people
who	who	who
are	are	are
refusing	refus	refusing
to	to	to
pay	pay	pay
their	their	their
water	water	water
bills	bill	bill
because	becaus	because
they	they	they
want	want	want
to	to	to
go	go	go
out	out	out
and	and	and
party	parti	party
;	;	;
these	these	these
are	are	are
people	peopl	people
who	who	who
live	live	live
in	in	in
extreme	extrem	extreme
poverty	poverti	poverty
the	the	the
likes	like	like
of	of	of
which	which	which
should	should	should
not	not	not
exist	exist	exist
in	in	in
this	this	this
country	countri	country
.	.	.
It	it	It
is	is	is
incredibly	incred	incredibly
inhumane	inhuman	inhumane
for	for	for
the	the	the
city	citi	city
to	to	to
do	do	do
this	this	this
.	.	.

Water	water	Water
is	is	is
a	a	a
right	right	right
,	,	,
not	not	not
a	a	a
luxury	luxuri	luxury
and	and	and
it	it	it
should	should	should
NEVER	never	NEVER
be	be	be
shut	shut	shut
off	off	off
because	becaus	because
someone	someon	someone
cannot	cannot	cannot
afford	afford	afford
to	to	to
pay	pay	pay
.	.	.

But	but	But
capitalism	capit	capitalism
isn	isn	isn
t	t	t
it	it	it
great	great	great
?	?	?
For	for	For
more	more	more
on	on	on
Detroit	detroit	Detroit
s	s	s
water	water	water
wars	war	war
,	,	,
watch	watch	watch
this	this	this
video	video	video
Featured	featur	Featured
image	imag	image
via	via	via
Bill	bill	Bill
Pugliano	pugliano	Pugliano
Getty	getti	Getty
Images	imag	Images

