It	it	It
it	it	it
s	s	s
too	too	too
complicated	complic	complicated
an	an	an
issue	issu	issue
for	for	for
legislation	legisl	legislation
.	.	.

Too	too	Too
much	much	much
can	can	can
go	go	go
into	into	into
whether	whether	whether
men	men	men
and	and	and
women	women	woman
are	are	are
really	realli	really
doing	do	doing
the	the	the
same	same	same
job	job	job
or	or	or
not	not	not
,	,	,
he	he	he
says	say	say
.	.	.
So	so	So
,	,	,
what	what	what
,	,	,
we	we	we
re	re	re
supposed	suppos	supposed
to	to	to
assume	assum	assume
that	that	that
he	he	he
s	s	s
paying	pay	paying
all	all	all
his	his	his
staffers	staffer	staffer
exactly	exact	exactly
in	in	in
accordance	accord	accordance
with	with	with
the	the	the
jobs	job	job
they	they	they
do	do	do
,	,	,
and	and	and
how	how	how
well	well	well
they	they	they
do	do	do
them	them	them
?	?	?

Please	pleas	Please
.	.	.
Whichever	whichev	Whichever
way	way	way
we	we	we
look	look	look
at	at	at
this	this	this
,	,	,
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
is	is	is
set	set	set
up	up	up
in	in	in
a	a	a
traditionally	tradit	traditionally
sexist	sexist	sexist
manner	manner	manner
,	,	,
which	which	which
is	is	is
at	at	at
odds	odd	odds
with	with	with
his	his	his
assertions	assert	assertion
that	that	that
he	he	he
ll	ll	ll
be	be	be
so	so	so
good	good	good
for	for	for
women	women	woman
and	and	and
black	black	black
people	peopl	people
,	,	,
and	and	and
Latinos	latino	Latinos
,	,	,
etc	etc	etc
.	.	.
once	onc	once
he	he	he
s	s	s
elected	elect	elected
.	.	.

That	that	That
,	,	,
in	in	in
and	and	and
of	of	of
itself	itself	itself
,	,	,
is	is	is
laughable	laughabl	laughable
considering	consid	considering
how	how	how
badly	bad	badly
he	he	he
treats	treat	treat
women	women	woman
,	,	,
and	and	and
some	some	some
of	of	of
the	the	the
misogynistic	misogynist	misogynistic
comments	comment	comment
he	he	he
s	s	s
made	made	made
about	about	about
women	women	woman
.	.	.

For	for	For
him	him	him
to	to	to
make	make	make
that	that	that
claim	claim	claim
while	while	while
allowing	allow	allowing
a	a	a
pay	pay	pay
gap	gap	gap
that	that	that
s	s	s
much	much	much
worse	wors	worse
than	than	than
even	even	even
the	the	the
national	nation	national
gender	gender	gender
pay	pay	pay
gap	gap	gap
is	is	is
ridiculous	ridicul	ridiculous
.	.	.
Compare	compar	Compare
all	all	all
of	of	of
that	that	that
to	to	to
how	how	how
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
treating	treat	treating
her	her	her
staff	staff	staff
,	,	,
and	and	and
the	the	the
differences	differ	difference
are	are	are
stark	stark	stark
.	.	.

Of	of	Of
the	the	the
15	15	15
highest	highest	highest
-paid	-paid	-paid
staffers	staffer	staffer
on	on	on
her	her	her
campaign	campaign	campaign
,	,	,
eight	eight	eight
were	were	were
men	men	men
and	and	and
seven	seven	seven
were	were	were
women	women	woman
in	in	in
April	april	April
.	.	.

Men	men	Men
earned	earn	earned
about	about	about
3	3	3
,	,	,
760	760	760
,	,	,
while	while	while
women	women	woman
earned	earn	earned
about	about	about
3	3	3
,	,	,
710	710	710
.	.	.

There	there	There
s	s	s
still	still	still
a	a	a
gap	gap	gap
there	there	there
,	,	,
but	but	but
it	it	it
s	s	s
extremely	extrem	extremely
thin	thin	thin
.	.	.

When	when	When
it	it	it
comes	come	come
to	to	to
women	women	woman
s	s	s
equality	equal	equality
,	,	,
Hillary	hillari	Hillary
knows	know	know
she	she	she
has	has	ha
to	to	to
set	set	set
an	an	an
example	exampl	example
with	with	with
how	how	how
she	she	she
runs	run	run
her	her	her
campaign	campaign	campaign
.	.	.
Trump	trump	Trump
loves	love	love
talking	talk	talking
big	big	big
.	.	.

That	that	That
s	s	s
his	his	his
whole	whole	whole
game	game	game
talk	talk	talk
big	big	big
,	,	,
do	do	do
what	what	what
he	he	he
wants	want	want
even	even	even
if	if	if
it	it	it
makes	make	make
him	him	him
a	a	a
huge	huge	huge
hypocrite	hypocrit	hypocrite
.	.	.

But	but	But
since	sinc	since
he	he	he
thinks	think	think
letting	let	letting
women	women	woman
work	work	work
is	is	is
a	a	a
bad	bad	bad
idea	idea	idea
anyway	anyway	anyway
,	,	,
then	then	then
maybe	mayb	maybe
he	he	he
s	s	s
not	not	not
such	such	such
a	a	a
hypocrite	hypocrit	hypocrite
.	.	.

Just	just	Just
a	a	a
disgusting	disgust	disgusting
,	,	,
sexist	sexist	sexist
prick	prick	prick
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Spencer	spencer	Spencer
Platt	platt	Platt
Getty	getti	Getty
Images	imag	Images

