Lately	late	Lately
has	has	ha
completely	complet	completely
rebuffed	rebuf	rebuffed
him	him	him
The	the	The
International	intern	International
Civil	civil	Civil
Rights	right	Rights
Center	center	Center
and	and	and
Museum	museum	Museum
in	in	in
Greensboro	greensboro	Greensboro
,	,	,
North	north	North
Carolina	carolina	Carolina
.	.	.
According	accord	According
t0	t0	t0
Earl	earl	Earl
Jones	jone	Jones
,	,	,
co	co	co
-founder	-founder	-founder
of	of	of
the	the	the
museum	museum	museum
,	,	,
Trump	trump	Trump
s	s	s
team	team	team
made	made	made
a	a	a
list	list	list
of	of	of
exploitative	exploit	exploitative
demands	demand	demand
that	that	that
disrespected	disrespect	disrespected
the	the	the
museum	museum	museum
staff	staff	staff
and	and	and
insisted	insist	insisted
upon	upon	upon
special	special	special
treatment	treatment	treatment
for	for	for
Trump	trump	Trump
including	includ	including
closing	close	closing
the	the	the
place	place	place
down	down	down
for	for	for
hours	hour	hour
on	on	on
end	end	end
so	so	so
that	that	that
Trump	trump	Trump
could	could	could
come	come	come
.	.	.
Well	well	Well
,	,	,
that	that	that
wasn	wasn	wasn
t	t	t
happening	happen	happening
for	for	for
sure	sure	sure
,	,	,
Jones	jone	Jones
said	said	said
.	.	.
The	the	The
co	co	co
-founder	-founder	-founder
went	went	went
on	on	on
to	to	to
say	say	say
of	of	of
the	the	the
Trump	trump	Trump
camp	camp	camp
s	s	s
request	request	request
We	we	We
did	did	did
not	not	not
honor	honor	honor
the	the	the
request	request	request
of	of	of
the	the	the
Donald	donald	Donald
Trump	trump	Trump
team	team	team
because	becaus	because
we	we	we
thought	thought	thought
they	they	they
demonstrated	demonstr	demonstrated
,	,	,
in	in	in
their	their	their
approach	approach	approach
was	was	wa
disrespectful	disrespect	disrespectful
,	,	,
so	so	so
therefore	therefor	therefore
we	we	we
did	did	did
not	not	not
grant	grant	grant
that	that	that
request	request	request
.	.	.
The	the	The
approach	approach	approach
,	,	,
the	the	the
type	type	type
of	of	of
disrespect	disrespect	disrespect
,	,	,
pretty	pretti	pretty
much	much	much
a	a	a
demand	demand	demand
and	and	and
bullying	bulli	bullying
us	us	u
to	to	to
use	use	use
the	the	the
museum	museum	museum
in	in	in
their	their	their
manner	manner	manner
and	and	and
their	their	their
way	way	way
in	in	in
their	their	their
time	time	time
,	,	,
it	it	it
was	was	wa
inappropriate	inappropri	inappropriate
and	and	and
I	i	I
think	think	think
it	it	it
s	s	s
probably	probabl	probably
reflective	reflect	reflective
of	of	of
the	the	the
type	type	type
of	of	of
insensitivity	insensit	insensitivity
of	of	of
civil	civil	civil
rights	right	right
and	and	and
human	human	human
rights	right	right
that	that	that
s	s	s
reflective	reflect	reflective
from	from	from
Trump	trump	Trump
over	over	over
the	the	the
years	year	year
.	.	.
Who	who	Who
wouldn	wouldn	wouldn
t	t	t
want	want	want
to	to	to
be	be	be
a	a	a
fly	fli	fly
on	on	on
the	the	the
wall	wall	wall
when	when	when
Trump	trump	Trump
got	got	got
THIS	this	THIS
news	news	news
?	?	?
That	that	That
was	was	wa
probably	probabl	probably
a	a	a
temper	temper	temper
tantrum	tantrum	tantrum
for	for	for
the	the	the
ages	age	age
.	.	.
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
probably	probabl	probably
had	had	had
to	to	to
take	take	take
his	his	his
phone	phone	phone
for	for	for
hours	hour	hour
on	on	on
end	end	end
so	so	so
that	that	that
he	he	he
wouldn	wouldn	wouldn
t	t	t
attack	attack	attack
these	these	these
people	peopl	people
on	on	on
Twitter	twitter	Twitter
for	for	for
daring	dare	daring
to	to	to
stand	stand	stand
up	up	up
to	to	to
his	his	his
blatant	blatant	blatant
and	and	and
aggressive	aggress	aggressive
attempts	attempt	attempt
to	to	to
use	use	use
them	them	them
to	to	to
score	score	score
political	polit	political
points	point	point
.	.	.
Anyone	anyon	Anyone
who	who	who
isn	isn	isn
t	t	t
completely	complet	completely
tone	tone	tone
deaf	deaf	deaf
here	here	here
knows	know	know
that	that	that
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
give	give	give
a	a	a
damn	damn	damn
about	about	about
black	black	black
people	peopl	people
or	or	or
anyone	anyon	anyone
else	els	else
,	,	,
for	for	for
that	that	that
matter	matter	matter
and	and	and
it	it	it
s	s	s
about	about	about
time	time	time
that	that	that
some	some	some
of	of	of
these	these	these
places	place	place
stop	stop	stop
allowing	allow	allowing
Trump	trump	Trump
to	to	to
use	use	use
them	them	them
to	to	to
engage	engag	engage
in	in	in
his	his	his
disgusting	disgust	disgusting
brand	brand	brand
of	of	of
dog	dog	dog
whistle	whistl	whistle
racist	racist	racist
politics	polit	politics
.	.	.
Well	well	Well
done	done	done
,	,	,
International	intern	International
Civil	civil	Civil
Rights	right	Rights
Center	center	Center
and	and	and
Museum	museum	Museum
,	,	,
and	and	and
Earl	earl	Earl
Jones	jone	Jones
.	.	.
It	it	It
s	s	s
about	about	about
time	time	time
someone	someon	someone
called	call	called
Trump	trump	Trump
on	on	on
his	his	his
shit	shit	shit
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Spencer	spencer	Spencer
Platt	platt	Platt
Getty	getti	Getty
Images	imag	Images
