Meanwhile	meanwhil	Meanwhile
Otherwise	otherwis	Otherwise
,	,	,
Refugee	refuge	Refugee
Medical	medic	Medical
Assistance	assist	Assistance
is	is	is
available	avail	available
for	for	for
up	up	up
to	to	to
eight	eight	eight
months	month	month
for	for	for
those	those	those
individuals	individu	individual
who	who	who
are	are	are
not	not	not
eligible	elig	eligible
for	for	for
Medicaid	medicaid	Medicaid
.	.	.
The	the	The
Supplemental	supplement	Supplemental
Nutrition	nutrit	Nutrition
Assistance	assist	Assistance
Program	program	Program
SNAP	snap	SNAP
is	is	is
made	made	made
available	avail	available
to	to	to
refugees	refuge	refugee
for	for	for
up	up	up
to	to	to
nine	nine	nine
years	year	year
while	while	while
social	social	social
services	servic	service
for	for	for
refugees	refuge	refugee
including	includ	including
job	job	job
training	train	training
,	,	,
placement	placement	placement
,	,	,
and	and	and
retention	retent	retention
for	for	for
those	those	those
settled	settl	settled
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
are	are	are
available	avail	available
for	for	for
up	up	up
to	to	to
five	five	five
years	year	year
.	.	.
Ann	ann	Ann
Corcoran	corcoran	Corcoran
,	,	,
founder	founder	founder
of	of	of
Refugee	refuge	Refugee
Resettlement	resettl	Resettlement
Watch	watch	Watch
,	,	,
first	first	first
noticed	notic	noticed
the	the	the
posting	post	posting
and	and	and
comments	comment	comment
,	,	,
At	at	At
the	the	the
top	top	top
you	you	you
will	will	will
see	see	see
that	that	that
each	each	each
refugee	refuge	refugee
gets	get	get
1850	1850	1850
as	as	a
a	a	a
one	one	one
time	time	time
payment	payment	payment
from	from	from
the	the	the
US	us	US
Dept	dept	Dept
.	.	.
of	of	of
State	state	State
a	a	a
family	famili	family
of	of	of
6	6	6
would	would	would
receive	receiv	receive
11	11	11
,	,	,
100	100	100
.	.	.
However	howev	However
,	,	,
the	the	the
contracting	contract	contracting
non	non	non
-profit	-profit	-profit
agency	agenc	agency
keeps	keep	keep
about	about	about
750	750	750
of	of	of
each	each	each
refugee	refuge	refugee
s	s	s
allotment	allot	allotment
for	for	for
its	it	it
own	own	own
overhead	overhead	overhead
.	.	.
She	she	She
later	later	later
noted	note	noted
,	,	,
But	but	But
,	,	,
that	that	that
is	is	is
not	not	not
all	all	all
the	the	the
contractor	contractor	contractor
receives	receiv	receives
,	,	,
most	most	most
get	get	get
tens	ten	ten
of	of	of
thousands	thousand	thousand
of	of	of
federal	feder	federal
dollars	dollar	dollar
to	to	to
run	run	run
myriad	myriad	myriad
other	other	other
programs	program	program
through	through	through
their	their	their
offices	offic	office
including	includ	including
English	english	English
language	languag	language
lessons	lesson	lesson
,	,	,
employment	employ	employment
counseling	counsel	counseling
,	,	,
and	and	and
even	even	even
are	are	are
granted	grant	granted
federal	feder	federal
dollars	dollar	dollar
to	to	to
develop	develop	develop
community	communiti	community
gardens	garden	garden
for	for	for
their	their	their
refugee	refuge	refugee
clients	client	client
.	.	.
Via	via	Via
Daily	daili	Daily
Caller	caller	Caller
