According	accord	According
losing	lose	losing
,	,	,
now	now	now
if	if	if
he	he	he
does	doe	doe
lose	lose	lose
,	,	,
well	well	well
,	,	,
he	he	he
can	can	can
say	say	say
he	he	he
called	call	called
it	it	it
and	and	and
claim	claim	claim
he	he	he
never	never	never
needed	need	needed
it	it	it
I	i	I
told	told	told
you	you	you
guys	guy	guy
I	i	I
didn	didn	didn
t	t	t
need	need	need
it	it	it
!	!	!
He	he	He
s	s	s
creating	creat	creating
a	a	a
bit	bit	bit
of	of	of
an	an	an
insurance	insur	insurance
policy	polici	policy
for	for	for
himself	himself	himself
as	as	a
really	realli	really
any	ani	any
good	good	good
businessperson	businessperson	businessperson
would	would	would
you	you	you
have	have	have
a	a	a
contingency	conting	contingency
plan	plan	plan
.	.	.
Oh	oh	Oh
,	,	,
Trump	trump	Trump
.	.	.
If	if	If
not	not	not
for	for	for
your	your	your
ego	ego	ego
,	,	,
you	you	you
would	would	would
be	be	be
a	a	a
very	veri	very
lonely	lone	lonely
man	man	man
.	.	.
Your	your	Your
love	love	love
for	for	for
yourself	yourself	yourself
is	is	is
unending	unend	unending
.	.	.
Trump	trump	Trump
I	i	I
want	want	want
to	to	to
win	win	win
N	n	N
.	.	.
H	h	H
.	.	.
,	,	,
but	but	but
I	i	I
don	don	don
t	t	t
think	think	think
I	i	I
have	have	have
to	to	to
win	win	win
it	it	it
.	.	.
#CNNSOTU	#cnnsotu	#CNNSOTU
Full	full	Full
interview	interview	interview
https://t.co/1UBwh3zztW	https://t.co/1ubwh3zztw	https://t.co/1UBwh3zztW
https://t.co/uVRpYsQ305	https://t.co/uvrpysq305	https://t.co/uVRpYsQ305
State	state	State
of	of	of
the	the	the
Union	union	Union
@CNNSotu	@cnnsotu	@CNNSotu
February	februari	February
7	7	7
,	,	,
2016Video	2016video	2016Video
Featured	featur	Featured
image	imag	image
Twitter	twitter	Twitter
