Radical	radic	Radical
Perez	perez	Perez
interview	interview	interview
happens	happen	happens
at	at	at
about	about	about
25	25	25
-30	-30	-30
seconds	second	second
into	into	into
the	the	the
show	show	show
Here	here	Here
s	s	s
a	a	a
tweet	tweet	tweet
showing	show	showing
the	the	the
moment	moment	moment
the	the	the
flag	flag	flag
fell	fell	fell
while	while	while
Perez	perez	Perez
was	was	wa
speaking	speak	speaking
Metaphor	metaphor	Metaphor
alert	alert	alert
.	.	.

pic.twitter.com/RAJU5qmdke	pic.twitter.com/raju5qmdk	pic.twitter.com/RAJU5qmdke
T	t	T
.	.	.

Becket	becket	Becket
Adams	adam	Adams
@BecketAdams	@becketadam	@BecketAdams
April	april	April
18	18	18
,	,	,
2017DNC	2017dnc	2017DNC
Chair	chair	Chair
Tom	tom	Tom
Perez	perez	Perez
was	was	wa
clearly	clear	clearly
not	not	not
the	the	the
best	best	best
choice	choic	choice
for	for	for
the	the	the
fractured	fractur	fractured
Democrat	democrat	Democrat
Party	parti	Party
following	follow	following
Hillary	hillari	Hillary
s	s	s
blistering	blister	blistering
loss	loss	loss
to	to	to
President	presid	President
Trump	trump	Trump
.	.	.

The	the	The
day	day	day
before	befor	before
his	his	his
interview	interview	interview
with	with	with
Joy	joy	Joy
Reid	reid	Reid
on	on	on
MSNBC	msnbc	MSNBC
Tom	tom	Tom
Perez	perez	Perez
was	was	wa
introduced	introduc	introduced
by	by	by
the	the	the
leader	leader	leader
of	of	of
the	the	the
Maine	main	Maine
Young	young	Young
Democrats	democrat	Democrats
Claire	clair	Claire
Cumming	cum	Cumming
.	.	.

The	the	The
video	video	video
shows	show	show
Cumming	cum	Cumming
attempting	attempt	attempting
to	to	to
get	get	get
the	the	the
crowd	crowd	crowd
excited	excit	excited
by	by	by
the	the	the
mere	mere	mere
mention	mention	mention
of	of	of
socialist	socialist	socialist
Bernie	berni	Bernie
Sanders	sander	Sanders
,	,	,
Regardless	regardless	Regardless
of	of	of
why	whi	why
you	you	you
showed	show	showed
up	up	up
today	today	today
,	,	,
you	you	you
showed	show	showed
up	up	up
for	for	for
a	a	a
reason	reason	reason
.	.	.

Something	someth	Something
compelled	compel	compelled
you	you	you
to	to	to
find	find	find
the	the	the
space	space	space
and	and	and
time	time	time
to	to	to
be	be	be
here	here	here
,	,	,
and	and	and
I	i	I
want	want	want
you	you	you
to	to	to
ask	ask	ask
yourself	yourself	yourself
what	what	what
that	that	that
reason	reason	reason
is	is	is
.	.	.

The	the	The
excitement	excit	excitement
quickly	quick	quickly
fell	fell	fell
flat	flat	flat
when	when	when
she	she	she
mentioned	mention	mentioned
Tom	tom	Tom
Perez	perez	Perez
to	to	to
the	the	the
crowd	crowd	crowd
.	.	.

Watch	watch	Watch
the	the	the
millennials	millenni	millennials
boo	boo	boo
Perez	perez	Perez
as	as	a
Cumming	cum	Cumming
appears	appear	appears
to	to	to
be	be	be
surprised	surpris	surprised
by	by	by
their	their	their
reaction	reaction	reaction
to	to	to
this	this	this
name	name	name

