On	on	On
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
gt	gt	gt
;	;	;
Heartbroken	heartbroken	Heartbroken
Father	father	Father
Speaks	speak	Speaks
Out	out	Out
After	after	After
Cops	cop	Cops
Murder	murder	Murder
SonHeartbroken	sonheartbroken	SonHeartbroken
Father	father	Father
Speaks	speak	Speaks
Out	out	Out
After	after	After
Cops	cop	Cops
Murder	murder	Murder
SonPosted	sonpost	SonPosted
by	by	by
The	the	The
Young	young	Young
Turks	turk	Turks
on	on	on
Thursday	thursday	Thursday
,	,	,
December	decemb	December
31	31	31
,	,	,
2015Following	2015follow	2015Following
the	the	the
death	death	death
of	of	of
her	her	her
son	son	son
,	,	,
Janet	janet	Janet
Cooksey	cooksey	Cooksey
,	,	,
Quintonio	quintonio	Quintonio
LeGrier	legrier	LeGrier
s	s	s
mother	mother	mother
,	,	,
asked	ask	asked
a	a	a
very	veri	very
important	import	important
question	question	question
during	dure	during
a	a	a
December	decemb	December
27th	27th	27th
press	press	press
conference	confer	conference
.	.	.

Who	who	Who
are	are	are
we	we	we
supposed	suppos	supposed
to	to	to
call	call	call
?	?	?

As	as	As
Cenk	cenk	Cenk
Uygur	uygur	Uygur
points	point	point
out	out	out
in	in	in
the	the	the
video	video	video
above	abov	above
,	,	,
calling	call	calling
police	polic	police
for	for	for
help	help	help
is	is	is
the	the	the
last	last	last
thing	thing	thing
we	we	we
should	should	should
do	do	do
if	if	if
a	a	a
family	famili	family
member	member	member
is	is	is
dealing	deal	dealing
with	with	with
an	an	an
emotional	emot	emotional
or	or	or
mental	mental	mental
health	health	health
issue	issu	issue
.	.	.

Communities	communiti	Communities
must	must	must
come	come	come
up	up	up
with	with	with
their	their	their
own	own	own
solutions	solut	solution
to	to	to
provide	provid	provide
safe	safe	safe
intervention	intervent	intervention
services	servic	service
for	for	for
families	famili	family
,	,	,
that	that	that
do	do	do
not	not	not
involve	involv	involve
police	polic	police
.	.	.
It	it	It
seems	seem	seems
one	one	one
solution	solut	solution
might	might	might
be	be	be
to	to	to
organize	organ	organize
community	communiti	community
task	task	task
forces	forc	force
,	,	,
which	which	which
would	would	would
be	be	be
made	made	made
up	up	up
of	of	of
people	peopl	people
who	who	who
are	are	are
trained	train	trained
to	to	to
provide	provid	provide
crisis	crisi	crisis
intervention	intervent	intervention
and	and	and
mental	mental	mental
health	health	health
services	servic	service
to	to	to
families	famili	family
.	.	.

Community	communiti	Community
task	task	task
forces	forc	force
could	could	could
provide	provid	provide
families	famili	family
with	with	with
an	an	an
alternative	altern	alternative
to	to	to
police	polic	police
involvement	involv	involvement
,	,	,
saving	save	saving
lives	live	life
and	and	and
preventing	prevent	preventing
mentally	mental	mentally
ill	ill	ill
family	famili	family
members	member	member
from	from	from
becoming	becom	becoming
victims	victim	victim
of	of	of
an	an	an
unjust	unjust	unjust
justice	justic	justice
system	system	system
,	,	,
in	in	in
which	which	which
the	the	the
only	onli	only
options	option	option
are	are	are
generally	general	generally
incarceration	incarcer	incarceration
or	or	or
execution	execut	execution
.	.	.
As	as	As
TYT	tyt	TYT
points	point	point
out	out	out
,	,	,
people	peopl	people
who	who	who
are	are	are
experiencing	experienc	experiencing
a	a	a
mental	mental	mental
health	health	health
crisis	crisi	crisis
are	are	are
more	more	more
likely	like	likely
to	to	to
be	be	be
killed	kill	killed
by	by	by
police	polic	police
than	than	than
any	ani	any
other	other	other
segment	segment	segment
of	of	of
the	the	the
population	popul	population
.	.	.
It	it	It
s	s	s
simply	simpli	simply
not	not	not
safe	safe	safe
to	to	to
call	call	call
police	polic	police
for	for	for
help	help	help
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.

It	it	It
time	time	time
for	for	for
communities	communiti	community
to	to	to
come	come	come
together	togeth	together
to	to	to
create	creat	create
alternatives	altern	alternative
that	that	that
protect	protect	protect
children	children	child
and	and	and
families	famili	family
in	in	in
crisis	crisi	crisis
,	,	,
rather	rather	rather
than	than	than
causing	caus	causing
them	them	them
irreparable	irrepar	irreparable
harm	harm	harm
.	.	.
As	as	As
Uygur	uygur	Uygur
asks	ask	asks
in	in	in
the	the	the
video	video	video
,	,	,
What	what	What
if	if	if
this	this	this
were	were	were
your	your	your
kid	kid	kid
and	and	and
not	not	not
a	a	a
Black	black	Black
kid	kid	kid
?	?	?

Our	our	Our
society	societi	society
can	can	can
not	not	not
continue	continu	continue
to	to	to
look	look	look
the	the	the
other	other	other
way	way	way
while	while	while
our	our	our
police	polic	police
brutally	brutal	brutally
murder	murder	murder
other	other	other
human	human	human
beings	be	being
.	.	.

We	we	We
cannot	cannot	cannot
keep	keep	keep
blaming	blame	blaming
the	the	the
victims	victim	victim
of	of	of
these	these	these
Gestapo	gestapo	Gestapo
-style	-style	-style
executions	execut	execution
,	,	,
while	while	while
excusing	excus	excusing
and	and	and
defending	defend	defending
the	the	the
officers	offic	officer
that	that	that
kill	kill	kill
in	in	in
cold	cold	cold
blood	blood	blood
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Facebook	facebook	Facebook

