Alex	alex	Alex
believes	believ	belief
we	we	we
should	should	should
all	all	all
have	have	have
guns	gun	gun
.	.	.

So	so	So
,	,	,
if	if	if
he	he	he
really	realli	really
believes	believ	belief
that	that	that
,	,	,
why	whi	why
does	doe	doe
he	he	he
work	work	work
so	so	so
hard	hard	hard
to	to	to
discourage	discourag	discourage
people	peopl	people
who	who	who
come	come	come
to	to	to
him	him	him
from	from	from
obtaining	obtain	obtaining
gun	gun	gun
permits	permit	permit
?	?	?

