On	on	On
a	a	a
felony	feloni	felony
to	to	to
steal	steal	steal
a	a	a
gun	gun	gun
or	or	or
purchase	purchas	purchase
a	a	a
stolen	stolen	stolen
gun	gun	gun
,	,	,
regardless	regardless	regardless
of	of	of
the	the	the
value	valu	value
of	of	of
the	the	the
weapon	weapon	weapon
.	.	.
Under	under	Under
current	current	current
state	state	state
law	law	law
the	the	the
felony	feloni	felony
charge	charg	charge
of	of	of
Grand	grand	Grand
Theft	theft	Theft
Firearm	firearm	Firearm
only	onli	only
applies	appli	applies
to	to	to
stolen	stolen	stolen
guns	gun	gun
that	that	that
are	are	are
valued	valu	valued
at	at	at
950	950	950
or	or	or
more	more	more
.	.	.
Other	other	Other
measures	measur	measure
require	requir	require
owners	owner	owner
of	of	of
homemade	homemad	homemade
guns	gun	gun
to	to	to
obtain	obtain	obtain
a	a	a
serial	serial	serial
number	number	number
and	and	and
register	regist	register
such	such	such
guns	gun	gun
with	with	with
the	the	the
state	state	state
,	,	,
and	and	and
mandate	mandat	mandate
that	that	that
owners	owner	owner
of	of	of
lost	lost	lost
and	and	and
stolen	stolen	stolen
guns	gun	gun
report	report	report
the	the	the
theft	theft	theft
to	to	to
the	the	the
police	polic	police
within	within	within
five	five	five
days	day	day
of	of	of
discovering	discov	discovering
a	a	a
missing	miss	missing
firearm	firearm	firearm
.	.	.
While	while	While
the	the	the
legislation	legisl	legislation
still	still	still
has	has	ha
to	to	to
wind	wind	wind
its	it	it
way	way	way
through	through	through
the	the	the
state	state	state
house	hous	house
for	for	for
approval	approv	approval
,	,	,
the	the	the
Los	los	Los
Angeles	angel	Angeles
Times	time	Times
reports	report	report
that	that	that
special	special	special
measures	measur	measure
have	have	have
been	been	been
taken	taken	taken
to	to	to
try	tri	try
to	to	to
get	get	get
the	the	the
bills	bill	bill
approved	approv	approved
before	befor	before
June	june	June
.	.	.
If	if	If
the	the	the
bills	bill	bill
fail	fail	fail
to	to	to
pass	pass	pas
the	the	the
House	hous	House
before	befor	before
that	that	that
time	time	time
,	,	,
voters	voter	voter
will	will	will
likely	like	likely
have	have	have
the	the	the
opportunity	opportun	opportunity
to	to	to
approve	approv	approve
the	the	the
same	same	same
measures	measur	measure
through	through	through
a	a	a
2016	2016	2016
ballot	ballot	ballot
initiative	initi	initiative
.	.	.
California	california	California
is	is	is
leading	lead	leading
the	the	the
way	way	way
in	in	in
common	common	common
sense	sens	sense
gun	gun	gun
control	control	control
legislation	legisl	legislation
.	.	.
In	in	In
spite	spite	spite
of	of	of
NRA	nra	NRA
propaganda	propaganda	propaganda
,	,	,
these	these	these
measures	measur	measure
are	are	are
not	not	not
the	the	the
first	first	first
steps	step	step
toward	toward	toward
the	the	the
government	govern	government
taking	take	taking
away	away	away
everyone	everyon	everyone
s	s	s
guns	gun	gun
.	.	.
The	the	The
bills	bill	bill
approved	approv	approved
by	by	by
the	the	the
California	california	California
Senate	senat	Senate
are	are	are
good	good	good
examples	exampl	example
of	of	of
sane	sane	sane
gun	gun	gun
-control	-control	-control
legislation	legisl	legislation
.	.	.
This	this	This
kind	kind	kind
of	of	of
legislation	legisl	legislation
is	is	is
both	both	both
reasonable	reason	reasonable
and	and	and
necessary	necessari	necessary
.	.	.
No	no	No
one	one	one
is	is	is
naive	naiv	naive
enough	enough	enough
to	to	to
think	think	think
that	that	that
these	these	these
measures	measur	measure
will	will	will
prevent	prevent	prevent
all	all	all
incidents	incid	incident
of	of	of
gun	gun	gun
violence	violenc	violence
.	.	.
On	on	On
the	the	the
other	other	other
hand	hand	hand
,	,	,
few	few	few
people	peopl	people
are	are	are
stupid	stupid	stupid
enough	enough	enough
to	to	to
think	think	think
that	that	that
doing	do	doing
nothing	noth	nothing
about	about	about
America	america	America
s	s	s
epidemic	epidem	epidemic
of	of	of
gun	gun	gun
violence	violenc	violence
is	is	is
a	a	a
reasonable	reason	reasonable
response	respons	response
to	to	to
the	the	the
problem	problem	problem
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
wikipedia	wikipedia	wikipedia
public	public	public
domain	domain	domain
