Newt	newt	Newt
are	are	are
trying	tri	trying
to	to	to
damage	damag	damage
the	the	the
Trump	trump	Trump
presidency	presid	presidency
.	.	.
In	in	In
addition	addit	addition
,	,	,
this	this	this
week	week	week
,	,	,
chief	chief	chief
One	one	One
America	america	America
News	news	News
Network	network	Network
OANN	oann	OANN
White	white	White
House	hous	House
correspondent	correspond	correspondent
Trey	trey	Trey
Yingst	yingst	Yingst
also	also	also
reported	report	reported
that	that	that
three	three	three
White	white	White
House	hous	House
leakers	leaker	leaker
have	have	have
been	been	been
identified	identifi	identified
and	and	and
referred	refer	referred
to	to	to
the	the	the
proper	proper	proper
authorities	author	authority
.	.	.
Yingst	yingst	Yingst
wrote	wrote	wrote
on	on	on
Twitter	twitter	Twitter
that	that	that
the	the	the
three	three	three
leakers	leaker	leaker
have	have	have
been	been	been
carelessly	careless	carelessly
leaking	leak	leaking
classified	classifi	classified
information	inform	information
to	to	to
hurt	hurt	hurt
President	presid	President
Trump	trump	Trump
politically	polit	politically
and	and	and
that	that	that
Trump	trump	Trump
is	is	is
expected	expect	expected
to	to	to
fire	fire	fire
multiple	multipl	multiple
people	peopl	people
connected	connect	connected
with	with	with
the	the	the
network	network	network
of	of	of
leakers	leaker	leaker
upon	upon	upon
his	his	his
return	return	return
to	to	to
the	the	the
White	white	White
House	hous	House
.	.	.
