The	the	The
actually	actual	actually
does	doe	doe
what	what	what
he	he	he
said	said	said
.	.	.
At	at	At
the	the	the
outset	outset	outset
of	of	of
this	this	this
campaign	campaign	campaign
I	i	I
committed	commit	committed
,	,	,
I	i	I
will	will	will
support	support	support
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
,	,	,
and	and	and
I	i	I
honor	honor	honor
my	my	my
word	word	word
.	.	.
This	this	This
clearly	clear	clearly
shows	show	show
Cruz	cruz	Cruz
s	s	s
inflexibility	inflex	inflexibility
on	on	on
evolving	evolv	evolving
situations	situat	situation
,	,	,
and	and	and
proves	prove	prof
beyond	beyond	beyond
a	a	a
shadow	shadow	shadow
of	of	of
a	a	a
doubt	doubt	doubt
that	that	that
he	he	he
does	doe	doe
not	not	not
belong	belong	belong
in	in	in
the	the	the
White	white	White
House	hous	House
.	.	.
Being	be	Being
president	presid	president
includes	includ	includes
being	be	being
able	abl	able
to	to	to
gather	gather	gather
and	and	and
process	process	process
to	to	to
information	inform	information
and	and	and
intelligence	intellig	intelligence
and	and	and
make	make	make
the	the	the
best	best	best
decision	decis	decision
for	for	for
the	the	the
nation	nation	nation
depending	depend	depending
on	on	on
that	that	that
information	inform	information
.	.	.
Honestly	honest	Honestly
,	,	,
if	if	if
people	peopl	people
are	are	are
still	still	still
voting	vote	voting
Republican	republican	Republican
at	at	at
this	this	this
point	point	point
we	we	we
should	should	should
question	question	question
their	their	their
sanity	saniti	sanity
.	.	.
We	we	We
literally	liter	literally
have	have	have
the	the	the
top	top	top
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
encouraging	encourag	encouraging
violence	violenc	violence
against	against	against
others	other	others
,	,	,
and	and	and
the	the	the
next	next	next
in	in	in
line	line	line
saying	say	saying
he	he	he
ll	ll	ll
back	back	back
that	that	that
sort	sort	sort
of	of	of
behavior	behavior	behavior
,	,	,
unless	unless	unless
,	,	,
of	of	of
course	cours	course
,	,	,
he	he	he
were	were	were
to	to	to
actually	actual	actually
shoot	shoot	shoot
somebody	somebodi	somebody
.	.	.
We	we	We
,	,	,
as	as	a
Americans	american	Americans
,	,	,
should	should	should
not	not	not
only	onli	only
be	be	be
ashamed	asham	ashamed
,	,	,
we	we	we
should	should	should
be	be	be
terrified	terrifi	terrified
that	that	that
one	one	one
of	of	of
these	these	these
men	men	men
has	has	ha
a	a	a
very	veri	very
real	real	real
shot	shot	shot
at	at	at
being	be	being
leader	leader	leader
of	of	of
the	the	the
free	free	free
world	world	world
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
Raw	raw	Raw
Story	stori	Story
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
