Former	former	Former
with	with	with
impunity	impun	impunity
.	.	.
I	i	I
have	have	have
this	this	this
message	messag	message
for	for	for
the	the	the
intelligence	intellig	intelligence
community	communiti	community
the	the	the
Department	depart	Department
of	of	of
Justice	justic	Justice
is	is	is
open	open	open
for	for	for
business	busi	business
,	,	,
he	he	he
added	ad	added
.	.	.
And	and	And
I	i	I
have	have	have
this	this	this
warning	warn	warning
for	for	for
would	would	would
-be	-be	-be
leakers	leaker	leaker
don	don	don
t	t	t
do	do	do
it	it	it
.	.	.
The	the	The
worst	worst	worst
way	way	way
to	to	to
stop	stop	stop
leaks	leak	leak
threats	threat	threat
,	,	,
Todd	todd	Todd
responded	respond	responded
to	to	to
Sessions	session	Sessions
threat	threat	threat
.	.	.
The	the	The
worst	worst	worst
way	way	way
to	to	to
stop	stop	stop
leaks	leak	leak
threats	threat	threat
Chuck	chuck	Chuck
Todd	todd	Todd
@chucktodd	@chucktodd	@chucktodd
August	august	August
4	4	4
,	,	,
2017Meanwhile	2017meanwhil	2017Meanwhile
,	,	,
Trump	trump	Trump
supporters	support	supporter
are	are	are
attacking	attack	attacking
Todd	todd	Todd
on	on	on
Twitter	twitter	Twitter
.	.	.
Look	look	Look
at	at	at
what	what	what
has	has	ha
been	been	been
unleashed	unleash	unleashed
.	.	.
I	i	I
wonder	wonder	wonder
if	if	if
this	this	this
is	is	is
an	an	an
actual	actual	actual
American	american	American
citizen	citizen	citizen
or	or	or
a	a	a
foreign	foreign	foreign
bot	bot	bot
.	.	.
https://t.co/WQYVvYNrem	https://t.co/wqyvvynrem	https://t.co/WQYVvYNrem
Chuck	chuck	Chuck
Todd	todd	Todd
@chucktodd	@chucktodd	@chucktodd
August	august	August
4	4	4
,	,	,
2017Todd	2017todd	2017Todd
was	was	wa
responding	respond	responding
to	to	to
this	this	this
tweet	tweet	tweet
.	.	.
The	the	The
freedom	freedom	freedom
of	of	of
the	the	the
press	press	press
should	should	should
be	be	be
ripped	rip	ripped
up	up	up
thrown	thrown	thrown
in	in	in
the	the	the
garbage	garbag	garbage
.	.	.
Name	name	Name
your	your	your
sources	sourc	source
or	or	or
STFU	stfu	STFU
?	?	?
?	?	?
Jonathan	jonathan	Jonathan
?	?	?
?	?	?
@JJay_973	@jjay_973	@JJay_973
August	august	August
4	4	4
,	,	,
2017I'll	2017i'll	2017I'll
say	say	say
it	it	it
again	again	again
the	the	the
best	best	best
way	way	way
to	to	to
prevent	prevent	prevent
leaks	leak	leak
for	for	for
ANY	ani	ANY
org	org	org
?	?	?
Be	be	Be
a	a	a
leader	leader	leader
that	that	that
inspires	inspir	inspires
loyalty	loyalti	loyalty
and	and	and
cut	cut	cut
out	out	out
the	the	the
staff	staff	staff
infighting	infight	infighting
.	.	.
Chuck	chuck	Chuck
Todd	todd	Todd
@chucktodd	@chucktodd	@chucktodd
August	august	August
4	4	4
,	,	,
2017Oddly	2017odd	2017Oddly
,	,	,
Sessions	session	Sessions
made	made	made
no	no	no
mention	mention	mention
of	of	of
the	the	the
Leaker	leaker	Leaker
-in-Chief	-in-chief	-in-Chief
who	who	who
has	has	ha
revealed	reveal	revealed
sensitive	sensit	sensitive
information	inform	information
on	on	on
his	his	his
Twitter	twitter	Twitter
timeline	timelin	timeline
.	.	.
Threats	threat	Threats
by	by	by
Team	team	Team
Trump	trump	Trump
issued	issu	issued
to	to	to
the	the	the
free	free	free
press	press	press
are	are	are
nothing	noth	nothing
new	new	new
.	.	.
Sessions	session	Sessions
is	is	is
suggesting	suggest	suggesting
that	that	that
he	he	he
s	s	s
trying	tri	trying
to	to	to
protect	protect	protect
the	the	the
intelligence	intellig	intelligence
community	communiti	community
,	,	,
which	which	which
is	is	is
another	anoth	another
entity	entiti	entity
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
has	has	ha
repeatedly	repeat	repeatedly
attacked	attack	attacked
.	.	.
This	this	This
newest	newest	newest
assault	assault	assault
follows	follow	follows
leaked	leak	leaked
transcripts	transcript	transcript
published	publish	published
by	by	by
the	the	the
Washington	washington	Washington
Post	post	Post
which	which	which
portrays	portray	portrays
a	a	a
totally	total	totally
incompetent	incompet	incompetent
man	man	man
trying	tri	trying
to	to	to
talk	talk	talk
to	to	to
world	world	world
leaders	leader	leader
.	.	.
Trump	trump	Trump
s	s	s
team	team	team
of	of	of
misfits	misfit	misfit
only	onli	only
wants	want	want
positive	posit	positive
coverage	coverag	coverage
for	for	for
the	the	the
amateur	amateur	amateur
president	presid	president
and	and	and
we	we	we
re	re	re
going	go	going
to	to	to
go	go	go
out	out	out
on	on	on
a	a	a
limb	limb	limb
here	here	here
and	and	and
suggest	suggest	suggest
that	that	that
maybe	mayb	maybe
telling	tell	telling
the	the	the
truth	truth	truth
might	might	might
help	help	help
.	.	.
Image	imag	Image
screen	screen	screen
capture	captur	capture
