One	one	One
.	.	.
And	and	And
really	realli	really
,	,	,
who	who	who
wants	want	want
to	to	to
spend	spend	spend
day	day	day
after	after	after
day	day	day
in	in	in
boring	bore	boring
meetings	meet	meeting
with	with	with
transitional	transit	transitional
staffers	staffer	staffer
,	,	,
members	member	member
of	of	of
Congress	congress	Congress
,	,	,
security	secur	security
teams	team	team
,	,	,
the	the	the
current	current	current
President	presid	President
,	,	,
and	and	and
more	more	more
when	when	when
he	he	he
can	can	can
just	just	just
be	be	be
gone	gone	gone
all	all	all
the	the	the
time	time	time
,	,	,
stroking	stroke	stroking
his	his	his
ego	ego	ego
?	?	?
While	while	While
some	some	some
have	have	have
spun	spun	spun
his	his	his
need	need	need
for	for	for
large	larg	large
rallies	ralli	rally
full	full	full
of	of	of
adoring	ador	adoring
fans	fan	fan
as	as	a
rubbing	rub	rubbing
shoulders	shoulder	shoulder
with	with	with
the	the	the
everyday	everyday	everyday
American	american	American
,	,	,
it	it	it
just	just	just
doesn	doesn	doesn
t	t	t
seem	seem	seem
like	like	like
that	that	that
s	s	s
what	what	what
Trump	trump	Trump
really	realli	really
wants	want	want
to	to	to
do	do	do
.	.	.
He	he	He
has	has	ha
an	an	an
ego	ego	ego
the	the	the
size	size	size
of	of	of
Russia	russia	Russia
.	.	.
It	it	It
s	s	s
not	not	not
easy	easi	easy
to	to	to
quiet	quiet	quiet
that	that	that
,	,	,
and	and	and
his	his	his
staff	staff	staff
would	would	would
rather	rather	rather
kowtow	kowtow	kowtow
to	to	to
him	him	him
than	than	than
try	tri	try
and	and	and
actually	actual	actually
mold	mold	mold
him	him	him
into	into	into
a	a	a
real	real	real
statesman	statesman	statesman
.	.	.
He	he	He
publicly	public	publicly
admits	admit	admits
that	that	that
his	his	his
life	life	life
is	is	is
going	go	going
to	to	to
change	chang	change
drastically	drastic	drastically
,	,	,
but	but	but
what	what	what
he	he	he
s	s	s
pushing	push	pushing
his	his	his
advisers	advis	adviser
and	and	and
planners	planner	planner
to	to	to
do	do	do
shows	show	show
he	he	he
s	s	s
going	go	going
to	to	to
try	tri	try
and	and	and
hold	hold	hold
onto	onto	onto
his	his	his
old	old	old
life	life	life
as	as	a
much	much	much
as	as	a
possible	possibl	possible
.	.	.
Will	will	Will
he	he	he
hold	hold	hold
rallies	ralli	rally
in	in	in
states	state	state
he	he	he
didn	didn	didn
t	t	t
carry	carri	carry
?	?	?
Who	who	Who
knows	know	know
.	.	.
He	he	He
ll	ll	ll
promise	promis	promise
to	to	to
,	,	,
because	becaus	because
to	to	to
do	do	do
otherwise	otherwis	otherwise
would	would	would
be	be	be
to	to	to
confirm	confirm	confirm
that	that	that
some	some	some
people	peopl	people
don	don	don
t	t	t
matter	matter	matter
,	,	,
even	even	even
if	if	if
they	they	they
voted	vote	voted
for	for	for
him	him	him
.	.	.
Will	will	Will
he	he	he
actually	actual	actually
do	do	do
it	it	it
,	,	,
though	though	though
?	?	?
It	it	It
might	might	might
actually	actual	actually
depend	depend	depend
on	on	on
whether	whether	whether
he	he	he
thinks	think	think
he	he	he
can	can	can
get	get	get
the	the	the
huge	huge	huge
crowds	crowd	crowd
he	he	he
wants	want	want
,	,	,
which	which	which
is	is	is
totally	total	totally
what	what	what
being	be	being
president	presid	president
is	is	is
all	all	all
about	about	about
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
via	via	via
Getty	getti	Getty
Images	imag	Images
