REMEMBER	rememb	REMEMBER
were	were	were
told	told	told
that	that	that
the	the	the
Notice	notic	Notice
of	of	of
Apparent	appar	Apparent
Liability	liabil	Liability
could	could	could
not	not	not
be	be	be
released	releas	released
or	or	or
publicly	public	publicly
discussed	discuss	discussed
until	until	until
April	april	April
1	1	1
,	,	,
2016	2016	2016
,	,	,
conveniently	conveni	conveniently
one	one	one
day	day	day
after	after	after
the	the	the
Commission	commiss	Commission
was	was	wa
scheduled	schedul	scheduled
to	to	to
expand	expand	expand
the	the	the
Lifeline	lifelin	Lifeline
program	program	program
to	to	to
broadband	broadband	broadband
,	,	,
Pai	pai	Pai
wrote	wrote	wrote
.	.	.

That	that	That
s	s	s
not	not	not
right	right	right
.	.	.

Pai	pai	Pai
did	did	did
not	not	not
say	say	say
who	who	who
issued	issu	issued
that	that	that
directive	direct	directive
.	.	.

However	howev	However
,	,	,
it	it	it
had	had	had
the	the	the
effect	effect	effect
of	of	of
preventing	prevent	preventing
public	public	public
knowledge	knowledg	knowledge
of	of	of
widespread	widespread	widespread
fraud	fraud	fraud
in	in	in
the	the	the
Lifeline	lifelin	Lifeline
program	program	program
ahead	ahead	ahead
of	of	of
a	a	a
contentious	contenti	contentious
vote	vote	vote
on	on	on
expanding	expand	expanding
it	it	it
despite	despit	despite
persisting	persist	persisting
concerns	concern	concern
about	about	about
a	a	a
lack	lack	lack
of	of	of
internal	intern	internal
safeguards	safeguard	safeguard
.	.	.
FCC	fcc	FCC
spokesman	spokesman	spokesman
Will	will	Will
Wiquist	wiquist	Wiquist
insisted	insist	insisted
that	that	that
the	the	the
timing	time	timing
was	was	wa
completely	complet	completely
coincidental	coincident	coincidental
.	.	.

The	the	The
timing	time	timing
of	of	of
the	the	the
enforcement	enforc	enforcement
action	action	action
was	was	wa
in	in	in
no	no	no
way	way	way
related	relat	related
to	to	to
the	the	the
timing	time	timing
of	of	of
the	the	the
vote	vote	vote
on	on	on
the	the	the
program	program	program
modernization	modern	modernization
,	,	,
he	he	he
said	said	said
in	in	in
an	an	an
email	email	email
.	.	.
Lifeline	lifelin	Lifeline
has	has	ha
faced	face	faced
controversy	controversi	controversy
over	over	over
enrollment	enrol	enrollment
requirements	requir	requirement
that	that	that
its	it	it
critics	critic	critic
say	say	say
are	are	are
too	too	too
lax	lax	lax
and	and	and
vulnerable	vulner	vulnerable
to	to	to
fraud	fraud	fraud
.	.	.

The	the	The
service	servic	service
,	,	,
which	which	which
subsidizes	subsid	subsidizes
cell	cell	cell
phone	phone	phone
plans	plan	plan
for	for	for
low	low	low
-income	-incom	-income
Americans	american	Americans
,	,	,
allows	allow	allows
beneficiaries	beneficiari	beneficiary
to	to	to
enroll	enrol	enroll
using	use	using
cards	card	card
issued	issu	issued
for	for	for
the	the	the
Supplemental	supplement	Supplemental
Nutrition	nutrit	Nutrition
Assistance	assist	Assistance
Program	program	Program
SNAP	snap	SNAP
,	,	,
a	a	a
welfare	welfar	welfare
program	program	program
that	that	that
has	has	ha
also	also	also
faced	face	faced
fraud	fraud	fraud
allegations	alleg	allegation
.	.	.
Critics	critic	Critics
of	of	of
the	the	the
Lifeline	lifelin	Lifeline
program	program	program
began	began	began
calling	call	calling
its	it	it
subsidized	subsid	subsidized
cell	cell	cell
phones	phone	phone
Obamaphones	obamaphon	Obamaphones
early	earli	early
in	in	in
the	the	the
Obama	obama	Obama
administration	administr	administration
in	in	in
response	respons	response
to	to	to
viral	viral	viral
YouTube	youtub	YouTube
videos	video	video
of	of	of
beneficiaries	beneficiari	beneficiary
thanking	thank	thanking
the	the	the
president	presid	president
for	for	for
their	their	their
free	free	free
phones	phone	phone
.	.	.

The	the	The
program	program	program
was	was	wa
actually	actual	actually
created	creat	created
under	under	under
President	presid	President
Ronald	ronald	Ronald
Reagan	reagan	Reagan
.	.	.
The	the	The
FCC	fcc	FCC
s	s	s
NAL	nal	NAL
last	last	last
week	week	week
accused	accus	accused
cell	cell	cell
phone	phone	phone
provider	provid	provider
Total	total	Total
Call	call	Call
Mobile	mobil	Mobile
,	,	,
which	which	which
provides	provid	provides
Lifeline	lifelin	Lifeline
services	servic	service
in	in	in
19	19	19
states	state	state
,	,	,
of	of	of
systematic	systemat	systematic
and	and	and
egregious	egregi	egregious
misconduct	misconduct	misconduct
and	and	and
widespread	widespread	widespread
enrollment	enrol	enrollment
fraud	fraud	fraud
.	.	.

According	accord	According
to	to	to
the	the	the
commission	commiss	commission
,	,	,
Total	total	Total
Call	call	Call
employees	employe	employee
enrolled	enrol	enrolled
tens	ten	ten
of	of	of
thousands	thousand	thousand
of	of	of
duplicate	duplic	duplicate
Lifeline	lifelin	Lifeline
beneficiaries	beneficiari	beneficiary
and	and	and
pocketed	pocket	pocketed
the	the	the
extra	extra	extra
subsidies	subsidi	subsidy
.	.	.

The	the	The
FCC	fcc	FCC
caught	caught	caught
onto	onto	onto
the	the	the
scheme	scheme	scheme
when	when	when
the	the	the
company	compani	company
enrolled	enrol	enrolled
an	an	an
undercover	undercov	undercover
FCC	fcc	FCC
investigator	investig	investigator
in	in	in
the	the	the
program	program	program
without	without	without
asking	ask	asking
for	for	for
any	ani	any
eligibility	elig	eligibility
documentation	document	documentation
.	.	.

Since	sinc	Since
2014	2014	2014
,	,	,
Total	total	Total
Call	call	Call
has	has	ha
requested	request	requested
and	and	and
received	receiv	received
an	an	an
estimated	estim	estimated
9	9	9
.	.	.
7	7	7
million	million	million
dollars	dollar	dollar
in	in	in
improper	improp	improper
payments	payment	payment
from	from	from
the	the	the
Universal	univers	Universal
Service	servic	Service
Fund	fund	Fund
for	for	for
duplicate	duplic	duplicate
or	or	or
ineligible	inelig	ineligible
consumers	consum	consumer
despite	despit	despite
repeated	repeat	repeated
and	and	and
explicit	explicit	explicit
warnings	warn	warning
from	from	from
its	it	it
own	own	own
employees	employe	employee
,	,	,
in	in	in
some	some	some
cases	case	case
compliance	complianc	compliance
specialists	specialist	specialist
,	,	,
that	that	that
company	compani	company
sales	sale	sale
agents	agent	agent
were	were	were
engaged	engag	engaged
in	in	in
widespread	widespread	widespread
enrollment	enrol	enrollment
fraud	fraud	fraud
,	,	,
the	the	the
FCC	fcc	FCC
said	said	said
in	in	in
a	a	a
news	news	news
release	releas	release
.	.	.
A	a	A
common	common	common
means	mean	mean
of	of	of
fraudulent	fraudul	fraudulent
enrollment	enrol	enrollment
was	was	wa
the	the	the
repeated	repeat	repeated
use	use	use
of	of	of
a	a	a
single	singl	single
SNAP	snap	SNAP
identification	identif	identification
card	card	card
,	,	,
according	accord	according
to	to	to
the	the	the
FCC	fcc	FCC
.	.	.

That	that	That
drew	drew	drew
the	the	the
ire	ire	ire
of	of	of
Commissioner	commission	Commissioner
Michael	michael	Michael
O	o	O
Reilly	reilli	Reilly
,	,	,
who	who	who
said	said	said
the	the	the
use	use	use
of	of	of
SNAP	snap	SNAP
cards	card	card
as	as	a
Lifeline	lifelin	Lifeline
verification	verif	verification
mechanisms	mechan	mechanism
is	is	is
woefully	woefulli	woefully
inadequate	inadequ	inadequate
.	.	.

I	i	I
must	must	must
once	onc	once
again	again	again
lodge	lodg	lodge
my	my	my
extreme	extrem	extreme
frustration	frustrat	frustration
that	that	that
the	the	the
Commission	commiss	Commission
continues	continu	continues
to	to	to
rely	reli	rely
on	on	on
SNAP	snap	SNAP
as	as	a
an	an	an
entry	entri	entry
point	point	point
in	in	in
the	the	the
Lifeline	lifelin	Lifeline
program	program	program
,	,	,
and	and	and
has	has	ha
the	the	the
gall	gall	gall
to	to	to
claim	claim	claim
that	that	that
it	it	it
is	is	is
a	a	a
highly	high	highly
accountable	account	accountable
program	program	program
,	,	,
when	when	when
it	it	it
is	is	is
painfully	pain	painfully
obvious	obvious	obvious
to	to	to
anyone	anyon	anyone
paying	pay	paying
attention	attent	attention
that	that	that
SNAP	snap	SNAP
is	is	is
riddled	riddl	riddled
with	with	with
waste	wast	waste
,	,	,
fraud	fraud	fraud
,	,	,
and	and	and
abuse	abus	abuse
,	,	,
he	he	he
wrote	wrote	wrote
in	in	in
a	a	a
partial	partial	partial
dissent	dissent	dissent
in	in	in
the	the	the
Total	total	Total
Call	call	Call
case	case	case
.	.	.
Despite	despit	Despite
those	those	those
ongoing	ongo	ongoing
concerns	concern	concern
,	,	,
the	the	the
FCC	fcc	FCC
recently	recent	recently
voted	vote	voted
to	to	to
expand	expand	expand
the	the	the
Lifeline	lifelin	Lifeline
program	program	program
to	to	to
include	includ	include
subsidies	subsidi	subsidy
for	for	for
3G	3g	3G
wireless	wireless	wireless
broadband	broadband	broadband
service	servic	service
.	.	.
That	that	That
vote	vote	vote
followed	follow	followed
a	a	a
contentious	contenti	contentious
debate	debat	debate
over	over	over
the	the	the
scope	scope	scope
of	of	of
the	the	the
expansion	expans	expansion
and	and	and
its	it	it
accompanying	accompani	accompanying
price	price	price
tag	tag	tag
.	.	.

The	the	The
commission	commiss	commission
approved	approv	approved
the	the	the
expansion	expans	expansion
by	by	by
a	a	a
narrow	narrow	narrow
3	3	3
-2	-2	-2
vote	vote	vote
on	on	on
March	march	March
31	31	31
,	,	,
a	a	a
day	day	day
before	befor	before
the	the	the
FCC	fcc	FCC
announced	announc	announced
its	it	it
Total	total	Total
Call	call	Call
NAL	nal	NAL
.	.	.

Read	read	Read
more	more	more
WFB	wfb	WFB

