21st	21st	21st
hasn	hasn	hasn
t	t	t
discouraged	discourag	discouraged
them	them	them
to	to	to
keep	keep	keep
on	on	on
trying	tri	trying
.	.	.
What	what	What
s	s	s
more	more	more
shocking	shock	shocking
however	howev	however
,	,	,
is	is	is
why	whi	why
the	the	the
United	unit	United
Nations	nation	Nations
would	would	would
allow	allow	allow
its	it	it
name	name	name
to	to	to
be	be	be
attributed	attribut	attributed
to	to	to
such	such	such
a	a	a
fraudulent	fraudul	fraudulent
and	and	and
misleading	mislead	misleading
document	document	document
one	one	one
that	that	that
is	is	is
clearly	clear	clearly
designed	design	designed
to	to	to
bolster	bolster	bolster
another	anoth	another
bogus	bogus	bogus
case	case	case
for	for	for
western	western	western
military	militari	military
intervention	intervent	intervention
.	.	.
In	in	In
the	the	the
end	end	end
,	,	,
this	this	this
type	type	type
of	of	of
self	self	self
-interested	-interest	-interested
abuse	abus	abuse
and	and	and
manipulation	manipul	manipulation
by	by	by
certain	certain	certain
UN	un	UN
Security	secur	Security
Council	council	Council
members	member	member
only	onli	only
serves	serv	serf
to	to	to
damage	damag	damage
the	the	the
credibility	credibl	credibility
of	of	of
the	the	the
UN	un	UN
as	as	a
an	an	an
international	intern	international
arbiter	arbit	arbiter
and	and	and
the	the	the
institution	institut	institution
as	as	a
a	a	a
whole	whole	whole
maybe	mayb	maybe
that	that	that
s	s	s
part	part	part
of	of	of
the	the	the
West	west	West
s	s	s
agenda	agenda	agenda
too	too	too
.	.	.
Verdict	verdict	Verdict
The	the	The
evidence	evid	evidence
presented	present	presented
in	in	in
the	the	the
UN	un	UN
report	report	report
derives	deriv	derives
hearsay	hearsay	hearsay
reporting	report	reporting
only	onli	only
from	from	from
activists	activist	activist
and	and	and
rebels	rebel	rebel
listed	list	listed
terrorist	terrorist	terrorist
groups	group	group
,	,	,
in	in	in
effect	effect	effect
,	,	,
lowering	lower	lowering
the	the	the
bar	bar	bar
so	so	so
that	that	that
absolutely	absolut	absolutely
no	no	no
burden	burden	burden
of	of	of
proof	proof	proof
is	is	is
required	requir	required
by	by	by
accusing	accus	accusing
parties	parti	party
.	.	.
Considering	consid	Considering
what	what	what
is	is	is
at	at	at
stake	stake	stake
,	,	,
and	and	and
knowing	know	knowing
full	full	full
-well	-well	-well
just	just	just
how	how	how
the	the	the
US	us	US
,	,	,
UK	uk	UK
,	,	,
France	franc	France
and	and	and
its	it	it
NATO	nato	NATO
allies	alli	ally
have	have	have
demonstrated	demonstr	demonstrated
they	they	they
are	are	are
willing	will	willing
to	to	to
conjure	conjur	conjure
any	ani	any
report	report	report
of	of	of
chemical	chemic	chemical
attacks	attack	attack
by	by	by
the	the	the
regime	regim	regime
and	and	and
will	will	will
hold	hold	hold
this	this	this
up	up	up
as	as	a
a	a	a
violation	violat	violation
of	of	of
Barack	barack	Barack
Obama	obama	Obama
and	and	and
Washington	washington	Washington
s	s	s
ethereal	ether	ethereal
Red	red	Red
Line	line	Line
this	this	this
is	is	is
leads	lead	lead
immediately	immedi	immediately
to	to	to
calls	call	call
to	to	to
mount	mount	mount
another	anoth	another
humanitarian	humanitarian	humanitarian
intervention	intervent	intervention
.	.	.
Joining	join	Joining
in	in	in
the	the	the
party	parti	party
also	also	also
,	,	,
are	are	are
the	the	the
West	west	West
s	s	s
new	new	new
instruments	instrument	instrument
of	of	of
war	war	war
high	high	high
-profile	-profil	-profile
human	human	human
rights	right	right
charities	chariti	charity
with	with	with
links	link	link
the	the	the
US	us	US
State	state	State
Department	depart	Department
.	.	.
One	one	One
such	such	such
organization	organ	organization
,	,	,
Human	human	Human
Rights	right	Rights
Watch	watch	Watch
,	,	,
whose	whose	whose
CEO	ceo	CEO
Ken	ken	Ken
Roth	roth	Roth
has	has	ha
already	alreadi	already
been	been	been
seen	seen	seen
on	on	on
multiple	multipl	multiple
occasions	occas	occasion
tweeting	tweet	tweeting
fake	fake	fake
Syria	syria	Syria
images	imag	image
in	in	in
order	order	order
to	to	to
build	build	build
the	the	the
case	case	case
for	for	for
regime	regim	regime
change	chang	change
,	,	,
called	call	called
on	on	on
the	the	the
UN	un	UN
Security	secur	Security
council	council	council
to	to	to
renew	renew	renew
its	it	it
resolution	resolut	resolution
referring	refer	referring
Syria	syria	Syria
to	to	to
the	the	the
International	intern	International
Criminal	crimin	Criminal
Court	court	Court
in	in	in
The	the	The
Hague	hagu	Hague
.	.	.
Louis	loui	Louis
Charbonneau	charbonneau	Charbonneau
,	,	,
UN	un	UN
director	director	director
at	at	at
Human	human	Human
Rights	right	Rights
Watch	watch	Watch
stated	state	stated
,	,	,
Russia	russia	Russia
and	and	and
China	china	China
don	don	don
t	t	t
have	have	have
a	a	a
leg	leg	leg
to	to	to
stand	stand	stand
on	on	on
by	by	by
continuing	continu	continuing
to	to	to
obstruct	obstruct	obstruct
the	the	the
Security	secur	Security
Council	council	Council
,	,	,
he	he	he
said	said	said
,	,	,
The	the	The
Security	secur	Security
Council	council	Council
diminishes	diminish	diminishes
its	it	it
importance	import	importance
if	if	if
it	it	it
doesn	doesn	doesn
t	t	t
take	take	take
strong	strong	strong
action	action	action
against	against	against
demonstrated	demonstr	demonstrated
use	use	use
of	of	of
chemical	chemic	chemical
weapons	weapon	weapon
by	by	by
the	the	the
Syrian	syrian	Syrian
government	govern	government
.	.	.
To	to	To
learn	learn	learn
more	more	more
about	about	about
Human	human	Human
Rights	right	Rights
NGOs	ngos	NGOs
are	are	are
being	be	being
used	use	used
to	to	to
support	support	support
western	western	western
imperial	imperi	imperial
objectives	object	objective
read	read	read
21WIRE	21wire	21WIRE
s	s	s
detailed	detail	detailed
report	report	report
on	on	on
this	this	this
subject	subject	subject
AN	an	AN
INTRODUCTION	introduct	INTRODUCTION
SMART	smart	SMART
POWER	power	POWER
THE	the	THE
HUMAN	human	HUMAN
RIGHTS	right	RIGHTS
INDUSTRIAL	industri	INDUSTRIAL
COMPLEXMore	complexmor	COMPLEXMore
on	on	on
the	the	the
Washington	washington	Washington
s	s	s
latest	latest	latest
dodgy	dodgi	dodgy
dossier	dossier	dossier
from	from	from
award	award	award
-winning	-win	-winning
journalist	journalist	journalist
Robert	robert	Robert
Parry	parri	Parry
Robert	robert	Robert
Parry	parri	Parry
Consortium	consortium	Consortium
NewsUnited	newsunit	NewsUnited
Nations	nation	Nations
investigators	investig	investigator
encountered	encount	encountered
evidence	evid	evidence
that	that	that
alleged	alleg	alleged
chemical	chemic	chemical
weapons	weapon	weapon
attacks	attack	attack
by	by	by
the	the	the
Syrian	syrian	Syrian
military	militari	military
were	were	were
staged	stage	staged
by	by	by
jihadist	jihadist	jihadist
rebels	rebel	rebel
and	and	and
their	their	their
supporters	support	supporter
,	,	,
but	but	but
still	still	still
decided	decid	decided
to	to	to
blame	blame	blame
the	the	the
government	govern	government
for	for	for
two	two	two
incidents	incid	incident
in	in	in
which	which	which
chlorine	chlorin	chlorine
was	was	wa
allegedly	alleg	allegedly
dispersed	dispers	dispersed
via	via	via
improvised	improvis	improvised
explosives	explos	explosive
dropped	drop	dropped
by	by	by
helicopters	helicopt	helicopter
.	.	.
In	in	In
both	both	both
cases	case	case
,	,	,
the	the	the
Syrian	syrian	Syrian
government	govern	government
denied	deni	denied
that	that	that
it	it	it
had	had	had
any	ani	any
aircraft	aircraft	aircraft
in	in	in
the	the	the
areas	area	area
at	at	at
the	the	the
times	time	time
of	of	of
the	the	the
purported	purport	purported
attacks	attack	attack
,	,	,
but	but	but
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
team	team	team
rejected	reject	rejected
that	that	that
explanation	explan	explanation
with	with	with
the	the	the
curious	curious	curious
argument	argument	argument
that	that	that
Syria	syria	Syria
failed	fail	failed
to	to	to
provide	provid	provide
flight	flight	flight
records	record	record
to	to	to
corroborate	corrobor	corroborate
the	the	the
absence	absenc	absence
of	of	of
any	ani	any
flights	flight	flight
.	.	.
Yet	yet	Yet
,	,	,
if	if	if
there	there	there
had	had	had
been	been	been
no	no	no
flights	flight	flight
,	,	,
there	there	there
would	would	would
be	be	be
no	no	no
flight	flight	flight
records	record	record
.	.	.
The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
team	team	team
also	also	also
dismissed	dismiss	dismissed
out	out	out
of	of	of
hand	hand	hand
the	the	the
possibility	possibl	possibility
that	that	that
jihadist	jihadist	jihadist
rebels	rebel	rebel
who	who	who
had	had	had
overrun	overrun	overrun
some	some	some
air	air	air
bases	base	base
and	and	and
thus	thus	thus
had	had	had
operational	oper	operational
helicopters	helicopt	helicopter
at	at	at
their	their	their
disposal	dispos	disposal
might	might	might
have	have	have
used	use	used
them	them	them
as	as	a
part	part	part
of	of	of
a	a	a
staged	stage	staged
event	event	event
designed	design	designed
to	to	to
incriminate	incrimin	incriminate
the	the	the
Damascus	damascus	Damascus
regime	regim	regime
and	and	and
thus	thus	thus
justify	justifi	justify
U	u	U
.	.	.
S	s	S
.	.	.
or	or	or
other	other	other
outside	outsid	outside
military	militari	military
intervention	intervent	intervention
.	.	.
Another	anoth	Another
problem	problem	problem
with	with	with
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
team	team	team
s	s	s
findings	find	finding
is	is	is
that	that	that
the	the	the
home	home	home
-made	-made	-made
chlorine	chlorin	chlorine
bombs	bomb	bomb
had	had	had
minimal	minim	minimal
military	militari	military
value	valu	value
,	,	,
inflicting	inflict	inflicting
relatively	relat	relatively
few	few	few
casualties	casualti	casualty
and	and	and
only	onli	only
a	a	a
handful	hand	handful
of	of	of
deaths	death	death
.	.	.
Why	whi	Why
the	the	the
Syrian	syrian	Syrian
government	govern	government
,	,	,
which	which	which
was	was	wa
under	under	under
intense	intens	intense
international	intern	international
pressure	pressur	pressure
regarding	regard	regarding
alleged	alleg	alleged
chemical	chemic	chemical
weapons	weapon	weapon
use	use	use
and	and	and
was	was	wa
in	in	in
the	the	the
process	process	process
of	of	of
surrendering	surrend	surrendering
its	it	it
stockpile	stockpil	stockpile
of	of	of
such	such	such
weapons	weapon	weapon
,	,	,
would	would	would
have	have	have
jerry	jerri	jerry
-rigged	-rig	-rigged
a	a	a
handful	hand	handful
of	of	of
homemade	homemad	homemade
bombs	bomb	bomb
and	and	and
dropped	drop	dropped
them	them	them
for	for	for
no	no	no
discernible	discern	discernible
military	militari	military
effect	effect	effect
makes	make	make
little	littl	little
sense	sens	sense
.	.	.
However	howev	However
,	,	,
since	sinc	since
Syrian	syrian	Syrian
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
has	has	ha
been	been	been
thoroughly	thorough	thoroughly
demonized	demon	demonized
over	over	over
his	his	his
harsh	harsh	harsh
reaction	reaction	reaction
to	to	to
an	an	an
uprising	upris	uprising
that	that	that
began	began	began
in	in	in
2011	2011	2011
,	,	,
pretty	pretti	pretty
much	much	much
any	ani	any
accusation	accus	accusation
against	against	against
him	him	him
no	no	no
matter	matter	matter
how	how	how
unlikely	unlik	unlikely
or	or	or
implausible	implaus	implausible
is	is	is
widely	wide	widely
accepted	accept	accepted
in	in	in
the	the	the
mainstream	mainstream	mainstream
Western	western	Western
media	media	medium
and	and	and
political	polit	political
circles	circl	circle
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
team	team	team
was	was	wa
under	under	under
pressure	pressur	pressure
to	to	to
reach	reach	reach
a	a	a
guilty	guilti	guilty
verdict	verdict	verdict
.	.	.
Accusations	accus	Accusations
of	of	of
StagingYet	stagingyet	StagingYet
,	,	,
the	the	the
evidence	evid	evidence
from	from	from
at	at	at
least	least	least
one	one	one
of	of	of
the	the	the
incidents	incid	incident
examined	examin	examined
by	by	by
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
team	team	team
suggests	suggest	suggests
that	that	that
an	an	an
attack	attack	attack
on	on	on
Al	al	Al
-Tamanah	-tamanah	-Tamanah
on	on	on
the	the	the
night	night	night
of	of	of
April	april	April
29	29	29
-30	-30	-30
,	,	,
2014	2014	2014
,	,	,
might	might	might
well	well	well
have	have	have
been	been	been
staged	stage	staged
by	by	by
rebels	rebel	rebel
and	and	and
then	then	then
played	play	played
up	up	up
by	by	by
activists	activist	activist
through	through	through
social	social	social
media	media	medium
.	.	.
Seven	seven	Seven
witnesses	wit	witness
stated	state	stated
that	that	that
frequent	frequent	frequent
alerts	alert	alert
about	about	about
an	an	an
imminent	immin	imminent
chlorine	chlorin	chlorine
weapons	weapon	weapon
attack	attack	attack
by	by	by
the	the	the
government	govern	government
had	had	had
been	been	been
issued	issu	issued
,	,	,
but	but	but
in	in	in
fact	fact	fact
no	no	no
incidents	incid	incident
with	with	with
chemicals	chemic	chemical
took	took	took
place	place	place
,	,	,
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
report	report	report
stated	state	stated
.	.	.
While	while	While
people	peopl	people
sought	sought	sought
safety	safeti	safety
after	after	after
the	the	the
warnings	warn	warning
,	,	,
their	their	their
homes	home	home
were	were	were
looted	loot	looted
and	and	and
rumours	rumour	rumour
spread	spread	spread
that	that	that
the	the	the
events	event	event
were	were	were
being	be	being
staged	stage	staged
.	.	.
T	t	T
hey	hey	hey
these	these	these
witnesses	wit	witness
had	had	had
come	come	come
forward	forward	forward
to	to	to
contest	contest	contest
the	the	the
wide	wide	wide
-spread	-spread	-spread
false	fals	false
media	media	medium
reports	report	report
.	.	.
Accounts	account	Accounts
from	from	from
other	other	other
people	peopl	people
,	,	,
who	who	who
did	did	did
allege	alleg	allege
that	that	that
there	there	there
had	had	had
been	been	been
a	a	a
government	govern	government
chemical	chemic	chemical
attack	attack	attack
on	on	on
Al	al	Al
-Tamanah	-tamanah	-Tamanah
,	,	,
provided	provid	provided
suspect	suspect	suspect
evidence	evid	evidence
,	,	,
including	includ	including
data	data	data
from	from	from
questionable	question	questionable
sources	sourc	source
,	,	,
according	accord	according
to	to	to
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
report	report	report
.	.	.
The	the	The
report	report	report
said	said	said
,	,	,
Three	three	Three
witnesses	wit	witness
,	,	,
who	who	who
did	did	did
not	not	not
give	give	give
any	ani	any
description	descript	description
of	of	of
the	the	the
incident	incid	incident
on	on	on
29	29	29
-30	-30	-30
April	april	April
2014	2014	2014
,	,	,
provided	provid	provided
material	materi	material
of	of	of
unknown	unknown	unknown
source	sourc	source
.	.	.
One	one	One
witness	wit	witness
had	had	had
second	second	second
-hand	-hand	-hand
knowledge	knowledg	knowledge
of	of	of
two	two	two
of	of	of
the	the	the
five	five	five
incidents	incid	incident
in	in	in
Al	al	Al
-Tamanah	-tamanah	-Tamanah
,	,	,
but	but	but
did	did	did
not	not	not
remember	rememb	remember
the	the	the
exact	exact	exact
dates	date	date
.	.	.
Later	later	Later
that	that	that
witness	wit	witness
provided	provid	provided
a	a	a
USB	usb	USB
-stick	-stick	-stick
with	with	with
information	inform	information
of	of	of
unknown	unknown	unknown
origin	origin	origin
,	,	,
which	which	which
was	was	wa
saved	save	saved
in	in	in
separate	separ	separate
folders	folder	folder
according	accord	according
to	to	to
the	the	the
dates	date	date
of	of	of
all	all	all
the	the	the
five	five	five
incidents	incid	incident
mentioned	mention	mentioned
by	by	by
the	the	the
FFM	ffm	FFM
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
s	s	s
Fact	fact	Fact
-Finding	-find	-Finding
Mission	mission	Mission
.	.	.
Another	anoth	Another
witness	wit	witness
provided	provid	provided
the	the	the
dates	date	date
of	of	of
all	all	all
five	five	five
incidents	incid	incident
reading	read	reading
it	it	it
from	from	from
a	a	a
piece	piec	piece
of	of	of
paper	paper	paper
,	,	,
but	but	but
did	did	did
not	not	not
provide	provid	provide
any	ani	any
testimony	testimoni	testimony
on	on	on
the	the	the
incident	incid	incident
on	on	on
29	29	29
-30	-30	-30
April	april	April
2014	2014	2014
.	.	.
The	the	The
latter	latter	latter
also	also	also
provided	provid	provided
a	a	a
video	video	video
titled	titl	titled
site	site	site
where	where	where
second	second	second
barrel	barrel	barrel
containing	contain	containing
toxic	toxic	toxic
chlorine	chlorin	chlorine
gas	gas	gas
was	was	wa
