In	in	In
subsequently	subsequ	subsequently
adopted	adopt	adopted
the	the	the
children	children	child
with	with	with
her	her	her
partner	partner	partner
s	s	s
explicit	explicit	explicit
consent	consent	consent
.	.	.

The	the	The
adoption	adopt	adoption
was	was	wa
in	in	in
Georgia	georgia	Georgia
,	,	,
where	where	where
both	both	both
women	women	woman
appeared	appear	appeared
at	at	at
a	a	a
court	court	court
hearing	hear	hearing
,	,	,
and	and	and
the	the	the
final	final	final
adoption	adopt	adoption
decree	decre	decree
recognized	recogn	recognized
both	both	both
as	as	a
the	the	the
children	children	child
s	s	s
legal	legal	legal
parents	parent	parent
.	.	.
When	when	When
the	the	the
parents	parent	parent
,	,	,
now	now	now
living	live	living
in	in	in
Alabama	alabama	Alabama
,	,	,
split	split	split
five	five	five
years	year	year
ago	ago	ago
,	,	,
however	howev	however
,	,	,
the	the	the
biological	biolog	biological
mother	mother	mother
denied	deni	denied
her	her	her
former	former	former
partner	partner	partner
access	access	access
to	to	to
the	the	the
children	children	child
.	.	.

The	the	The
Alabama	alabama	Alabama
courts	court	court
initially	initi	initially
ordered	order	ordered
a	a	a
decree	decre	decree
of	of	of
shared	share	shared
custody	custodi	custody
,	,	,
based	base	based
on	on	on
the	the	the
Georgia	georgia	Georgia
adoption	adopt	adoption
,	,	,
but	but	but
the	the	the
Alabama	alabama	Alabama
Supreme	suprem	Supreme
Court	court	Court
overturned	overturn	overturned
the	the	the
lower	lower	lower
court	court	court
orders	order	order
.	.	.

The	the	The
state	state	state
Supreme	suprem	Supreme
Court	court	Court
said	said	said
the	the	the
Georgia	georgia	Georgia
courts	court	court
had	had	had
wrongly	wrong	wrongly
agreed	agre	agreed
to	to	to
the	the	the
adoption	adopt	adoption
.	.	.
The	the	The
adoptive	adopt	adoptive
mother	mother	mother
appealed	appeal	appealed
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Supreme	suprem	Supreme
Court	court	Court
,	,	,
and	and	and
on	on	on
Monday	monday	Monday
the	the	the
justices	justic	justice
unanimously	unanim	unanimously
overruled	overrul	overruled
the	the	the
Alabama	alabama	Alabama
Supreme	suprem	Supreme
Court	court	Court
in	in	in
a	a	a
short	short	short
,	,	,
unsigned	unsign	unsigned
opinion	opinion	opinion
.	.	.

Now	now	Now
,	,	,
all	all	all
of	of	of
that	that	that
aside	asid	aside
,	,	,
let	let	let
s	s	s
just	just	just
get	get	get
it	it	it
out	out	out
there	there	there
that	that	that
this	this	this
was	was	wa
a	a	a
frickin	frickin	frickin
terrible	terribl	terrible
thing	thing	thing
to	to	to
do	do	do
,	,	,
and	and	and
as	as	a
a	a	a
lesbian	lesbian	lesbian
myself	myself	myself
,	,	,
to	to	to
see	see	see
a	a	a
woman	woman	woman
use	use	use
anti	anti	anti
-gay	-gay	-gay
laws	law	law
against	against	against
her	her	her
former	former	former
partner	partner	partner
as	as	a
a	a	a
means	mean	mean
to	to	to
try	tri	try
to	to	to
keep	keep	keep
her	her	her
away	away	away
from	from	from
her	her	her
own	own	own
children	children	child
is	is	is
pretty	pretti	pretty
much	much	much
the	the	the
lowest	lowest	lowest
of	of	of
the	the	the
low	low	low
.	.	.

But	but	But
I	i	I
digress	digress	digress
Thankfully	thank	Thankfully
,	,	,
the	the	the
Court	court	Court
sided	side	sided
with	with	with
the	the	the
mother	mother	mother
who	who	who
had	had	had
adoptive	adopt	adoptive
rights	right	right
in	in	in
Georgia	georgia	Georgia
with	with	with
the	the	the
argument	argument	argument
was	was	wa
brought	brought	brought
up	up	up
where	where	where
according	accord	according
to	to	to
the	the	the
Constitution	constitut	Constitution
in	in	in
Article	articl	Article
IV	iv	IV
,	,	,
Section	section	Section
1	1	1
,	,	,
where	where	where
the	the	the
Full	full	Full
Faith	faith	Faith
and	and	and
Credit	credit	Credit
shall	shall	shall
be	be	be
given	given	given
in	in	in
each	each	each
State	state	State
to	to	to
the	the	the
public	public	public
Acts	act	Acts
,	,	,
Records	record	Records
,	,	,
and	and	and
judicial	judici	judicial
Proceedings	proceed	Proceedings
of	of	of
every	everi	every
other	other	other
State	state	State
.	.	.

Basically	basic	Basically
,	,	,
what	what	what
s	s	s
good	good	good
for	for	for
the	the	the
goose	goos	goose
,	,	,
better	better	better
damn	damn	damn
well	well	well
be	be	be
good	good	good
for	for	for
the	the	the
gander	gander	gander
,	,	,
and	and	and
all	all	all
states	state	state
need	need	need
to	to	to
respect	respect	respect
legal	legal	legal
acts	act	act
and	and	and
proceedings	proceed	proceeding
from	from	from
other	other	other
states	state	state
.	.	.

According	accord	According
to	to	to
Cathy	cathi	Cathy
Sakimura	sakimura	Sakimura
of	of	of
the	the	the
National	nation	National
Center	center	Center
for	for	for
Lesbian	lesbian	Lesbian
Rights	right	Rights
The	the	The
Supreme	suprem	Supreme
Court	court	Court
s	s	s
reversal	revers	reversal
of	of	of
Alabama	alabama	Alabama
s	s	s
unprecedented	unpreced	unprecedented
decision	decis	decision
to	to	to
void	void	void
an	an	an
adoption	adopt	adoption
from	from	from
another	anoth	another
state	state	state
is	is	is
a	a	a
victory	victori	victory
not	not	not
only	onli	only
for	for	for
our	our	our
client	client	client
but	but	but
for	for	for
thousands	thousand	thousand
of	of	of
adopted	adopt	adopted
families	famili	family
.	.	.

No	no	No
adoptive	adopt	adoptive
parent	parent	parent
or	or	or
child	child	child
should	should	should
have	have	have
to	to	to
face	face	face
the	the	the
uncertainty	uncertainti	uncertainty
and	and	and
loss	loss	loss
of	of	of
being	be	being
separated	separ	separated
years	year	year
after	after	after
their	their	their
adoption	adopt	adoption
just	just	just
because	becaus	because
another	anoth	another
state	state	state
s	s	s
court	court	court
disagrees	disagre	disagrees
with	with	with
the	the	the
law	law	law
that	that	that
was	was	wa
applied	appli	applied
in	in	in
their	their	their
adoption	adopt	adoption
.	.	.

This	this	This
decision	decis	decision
could	could	could
affect	affect	affect
up	up	up
to	to	to
30	30	30
different	differ	different
states	state	state
,	,	,
according	accord	according
to	to	to
a	a	a
brief	brief	brief
that	that	that
was	was	wa
submitted	submit	submitted
by	by	by
adoption	adopt	adoption
and	and	and
child	child	child
welfare	welfar	welfare
agencies	agenc	agency
.	.	.

If	if	If
we	we	we
re	re	re
going	go	going
to	to	to
have	have	have
marriage	marriag	marriage
equality	equal	equality
,	,	,
then	then	then
that	that	that
equality	equal	equality
needs	need	need
to	to	to
reach	reach	reach
across	across	across
all	all	all
levels	level	level
of	of	of
the	the	the
law	law	law
.	.	.

This	this	This
should	should	should
include	includ	include
,	,	,
but	but	but
not	not	not
be	be	be
limited	limit	limited
to	to	to
,	,	,
adoption	adopt	adoption
,	,	,
and	and	and
worker	worker	worker
s	s	s
rights	right	right
as	as	a
well	well	well
.	.	.

No	no	No
one	one	one
should	should	should
be	be	be
fired	fire	fired
for	for	for
being	be	being
gay	gay	gay
,	,	,
which	which	which
currently	current	currently
is	is	is
still	still	still
allowed	allow	allowed
in	in	in
28	28	28
states	state	state
.	.	.

It	it	It
s	s	s
2016	2016	2016
,	,	,
people	peopl	people
,	,	,
gay	gay	gay
rights	right	right
are	are	are
human	human	human
rights	right	right
.	.	.

There	there	There
should	should	should
be	be	be
no	no	no
difference	differ	difference
whatsoever	whatsoev	whatsoever
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Wikimedia	wikimedia	Wikimedia
Commons	common	Commons

