Right	right	Right
it	it	it
can	can	can
crawl	crawl	crawl
back	back	back
into	into	into
their	their	their
hellhole	hellhol	hellhole
,	,	,
because	becaus	because
I	i	I
,	,	,
for	for	for
one	one	one
,	,	,
will	will	will
not	not	not
put	put	put
my	my	my
Lord	lord	Lord
,	,	,
my	my	my
God	god	God
,	,	,
aside	asid	aside
for	for	for
a	a	a
few	few	few
atheists	atheist	atheist
.	.	.
And	and	And
if	if	if
they	they	they
don	don	don
t	t	t
like	like	like
it	it	it
,	,	,
the	the	the
ACLU	aclu	ACLU
doesn	doesn	doesn
t	t	t
like	like	like
it	it	it
,	,	,
the	the	the
heck	heck	heck
with	with	with
them	them	them
.	.	.
Aside	asid	Aside
for	for	for
this	this	this
,	,	,
another	anoth	another
example	exampl	example
is	is	is
the	the	the
fact	fact	fact
that	that	that
Meyer	meyer	Meyer
was	was	wa
on	on	on
the	the	the
wrong	wrong	wrong
side	side	side
when	when	when
a	a	a
State	state	State
Board	board	Board
of	of	of
Education	educ	Education
member	member	member
Pat	pat	Pat
MacPherson	macpherson	MacPherson
wrote	wrote	wrote
racist	racist	racist
opinions	opinion	opinion
about	about	about
President	presid	President
Obama	obama	Obama
.	.	.
Regarding	regard	Regarding
the	the	the
school	school	school
calendar	calendar	calendar
issue	issu	issue
,	,	,
no	no	no
one	one	one
seconded	second	seconded
Meyer	meyer	Meyer
s	s	s
move	move	move
to	to	to
rename	renam	rename
the	the	the
winter	winter	winter
break	break	break
Christmas	christma	Christmas
break	break	break
,	,	,
and	and	and
now	now	now
his	his	his
religious	religi	religious
intolerance	intoler	intolerance
has	has	ha
rendered	render	rendered
the	the	the
break	break	break
nameless	nameless	nameless
.	.	.
Meyer	meyer	Meyer
went	went	went
on	on	on
to	to	to
say	say	say
The	the	The
responsibility	respons	responsibility
of	of	of
this	this	this
board	board	board
is	is	is
to	to	to
set	set	set
a	a	a
good	good	good
example	exampl	example
for	for	for
the	the	the
kids	kid	kid
of	of	of
this	this	this
state	state	state
.	.	.
But	but	But
what	what	what
you	you	you
show	show	show
these	these	these
kids	kid	kid
is	is	is
that	that	that
the	the	the
First	first	First
Amendment	amend	Amendment
is	is	is
null	null	null
and	and	and
void	void	void
,	,	,
and	and	and
does	doe	doe
not	not	not
apply	appli	apply
to	to	to
anyone	anyon	anyone
if	if	if
the	the	the
speech	speech	speech
Nazis	nazi	Nazis
disagree	disagre	disagree
.	.	.
So	so	So
in	in	in
other	other	other
words	word	word
,	,	,
this	this	this
guy	guy	guy
sincerely	sincer	sincerely
believes	believ	belief
that	that	that
a	a	a
good	good	good
example	exampl	example
is	is	is
the	the	the
idea	idea	idea
that	that	that
America	america	America
is	is	is
a	a	a
Christian	christian	Christian
nation	nation	nation
and	and	and
no	no	no
one	one	one
else	els	else
should	should	should
get	get	get
a	a	a
voice	voic	voice
,	,	,
that	that	that
Christian	christian	Christian
values	valu	value
should	should	should
be	be	be
everywhere	everywher	everywhere
,	,	,
the	the	the
Constitution	constitut	Constitution
be	be	be
damned	damn	damned
.	.	.
This	this	This
man	man	man
needs	need	need
to	to	to
be	be	be
kicked	kick	kicked
off	off	off
the	the	the
school	school	school
board	board	board
,	,	,
as	as	a
he	he	he
has	has	ha
no	no	no
business	busi	business
having	have	having
any	ani	any
influence	influenc	influence
whatsoever	whatsoev	whatsoever
over	over	over
school	school	school
children	children	child
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Omaha	omaha	Omaha
.	.	.
com	com	com
