Everybody	everybodi	Everybody
if	if	if
they	they	they
do	do	do
,	,	,
the	the	the
next	next	next
time	time	time
voters	voter	voter
elect	elect	elect
a	a	a
Democratic	democrat	Democratic
majority	major	majority
,	,	,
their	their	their
opposition	opposit	opposition
will	will	will
be	be	be
able	abl	able
to	to	to
ram	ram	ram
through	through	through
any	ani	any
legislation	legisl	legislation
they	they	they
like	like	like
,	,	,
with	with	with
nothing	noth	nothing
to	to	to
stop	stop	stop
them	them	them
.	.	.
That	that	That
s	s	s
something	someth	something
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
understand	understand	understand
neither	neither	neither
party	parti	party
wants	want	want
.	.	.
If	if	If
Senate	senat	Senate
Republicans	republican	Republicans
don't	don't	don't
get	get	get
rid	rid	rid
of	of	of
the	the	the
Filibuster	filibust	Filibuster
Rule	rule	Rule
and	and	and
go	go	go
to	to	to
a	a	a
51	51	51
majority	major	majority
,	,	,
few	few	few
bills	bill	bill
will	will	will
be	be	be
passed	pass	passed
.	.	.
8	8	8
Dems	dem	Dems
control	control	control
the	the	the
Senate	senat	Senate
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
August	august	August
25	25	25
,	,	,
2017Just	2017just	2017Just
eleven	eleven	eleven
minutes	minut	minute
later	later	later
,	,	,
Trump	trump	Trump
came	came	came
to	to	to
his	his	his
senses	sens	sens
and	and	and
realized	realiz	realized
if	if	if
he	he	he
says	say	say
the	the	the
GOP	gop	GOP
can	can	can
t	t	t
pass	pass	pas
bills	bill	bill
and	and	and
he	he	he
is	is	is
the	the	the
leader	leader	leader
of	of	of
the	the	the
GOP	gop	GOP
then	then	then
he	he	he
can	can	can
t	t	t
keep	keep	keep
saying	say	saying
he	he	he
s	s	s
passed	pass	passed
more	more	more
bills	bill	bill
than	than	than
a	a	a
concert	concert	concert
promoter	promot	promoter
on	on	on
a	a	a
New	new	New
York	york	York
subway	subway	subway
.	.	.
So	so	So
he	he	he
went	went	went
back	back	back
to	to	to
that	that	that
.	.	.
Few	few	Few
,	,	,
if	if	if
any	ani	any
,	,	,
Administrations	administr	Administrations
have	have	have
done	done	done
more	more	more
in	in	in
just	just	just
7	7	7
months	month	month
than	than	than
the	the	the
Trump	trump	Trump
A	a	A
.	.	.
Bills	bill	Bills
passed	pass	passed
,	,	,
regulations	regul	regulation
killed	kill	killed
,	,	,
border	border	border
,	,	,
military	militari	military
,	,	,
ISIS	isi	ISIS
,	,	,
SC	sc	SC
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
August	august	August
25	25	25
,	,	,
2017I	2017i	2017I
d	d	d
just	just	just
like	like	like
to	to	to
point	point	point
out	out	out
the	the	the
humor	humor	humor
in	in	in
calling	call	calling
his	his	his
administration	administr	administration
the	the	the
Trump	trump	Trump
A	a	A
.	.	.
We	we	We
all	all	all
have	have	have
the	the	the
same	same	same
character	charact	character
limit	limit	limit
on	on	on
Twitter	twitter	Twitter
,	,	,
Donnie	donni	Donnie
.	.	.
Just	just	Just
leave	leav	leave
out	out	out
if	if	if
any	ani	any
next	next	next
time	time	time
,	,	,
so	so	so
what	what	what
could	could	could
be	be	be
admin	admin	admin
doesn	doesn	doesn
t	t	t
look	look	look
like	like	like
ass	ass	as
.	.	.
But	but	But
complaining	complain	complaining
about	about	about
the	the	the
Democrats	democrat	Democrats
in	in	in
Washington	washington	Washington
keeping	keep	keeping
him	him	him
from	from	from
doing	do	doing
what	what	what
he	he	he
wants	want	want
is	is	is
quickly	quick	quickly
becoming	becom	becoming
one	one	one
of	of	of
his	his	his
favorite	favorit	favorite
topics	topic	topic
.	.	.
There	there	There
are	are	are
the	the	the
hilariously	hilari	hilariously
wrong	wrong	wrong
-in-retrospect	-in-retrospect	-in-retrospect
messages	messag	message
Despite	despit	Despite
the	the	the
long	long	long
delays	delay	delay
by	by	by
the	the	the
Democrats	democrat	Democrats
in	in	in
finally	final	finally
approving	approv	approving
Dr	dr	Dr
.	.	.
Tom	tom	Tom
Price	price	Price
,	,	,
the	the	the
repeal	repeal	repeal
and	and	and
replacement	replac	replacement
of	of	of
ObamaCare	obamacar	ObamaCare
is	is	is
moving	move	moving
fast	fast	fast
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
February	februari	February
17	17	17
,	,	,
2017The	2017the	2017The
tweets	tweet	tweet
where	where	where
he	he	he
can	can	can
t	t	t
quite	quit	quite
get	get	get
his	his	his
Cabinet	cabinet	Cabinet
approved	approv	approved
as	as	a
fast	fast	fast
as	as	a
he	he	he
d	d	d
like	like	like
It	it	It
is	is	is
so	so	so
pathetic	pathet	pathetic
that	that	that
the	the	the
Dems	dem	Dems
have	have	have
still	still	still
not	not	not
approved	approv	approved
my	my	my
full	full	full
Cabinet	cabinet	Cabinet
.	.	.
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
March	march	March
3	3	3
,	,	,
2017The	2017the	2017The
Senate	senat	Senate
Democrats	democrat	Democrats
have	have	have
only	onli	only
confirmed	confirm	confirmed
48	48	48
of	of	of
197	197	197
Presidential	presidenti	Presidential
Nominees	nomine	Nominees
.	.	.
They	they	They
can't	can't	can't
win	win	win
so	so	so
all	all	all
they	they	they
do	do	do
is	is	is
slow	slow	slow
things	thing	thing
down	down	down
obstruct	obstruct	obstruct
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
July	juli	July
11	11	11
,	,	,
2017And	2017and	2017And
the	the	the
ones	one	one
where	where	where
everything	everyth	everything
is	is	is
the	the	the
Democrats	democrat	Democrats
fault	fault	fault
,	,	,
okay	okay	okay
?	?	?
The	the	The
Democrats	democrat	Democrats
,	,	,
without	without	without
a	a	a
leader	leader	leader
,	,	,
have	have	have
become	becom	become
the	the	the
party	parti	party
of	of	of
obstruction	obstruct	obstruction
.	.	.
They	they	They
are	are	are
only	onli	only
interested	interest	interested
in	in	in
themselves	themselv	themselves
and	and	and
not	not	not
in	in	in
what's	what	what's
best	best	best
for	for	for
U	u	U
.	.	.
S	s	S
.	.	.
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
April	april	April
30	30	30
,	,	,
2017The	2017the	2017The
Obstructionist	obstructionist	Obstructionist
Democrats	democrat	Democrats
make	make	make
Security	secur	Security
for	for	for
our	our	our
country	countri	country
very	veri	very
difficult	difficult	difficult
.	.	.
They	they	They
use	use	use
the	the	the
courts	court	court
and	and	and
associated	associ	associated
delay	delay	delay
at	at	at
all	all	all
times	time	time
.	.	.
Must	must	Must
stop	stop	stop
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
August	august	August
18	18	18
,	,	,
2017So	2017so	2017So
where	where	where
are	are	are
all	all	all
the	the	the
superlatives	superl	superlative
?	?	?
You	you	You
know	know	know
,	,	,
the	the	the
best	best	best
,	,	,
most	most	most
amazing	amaz	amazing
,	,	,
biggest	biggest	biggest
by	by	by
far	far	far
in	in	in
the	the	the
history	histori	history
of	of	of
the	the	the
world	world	world
tweets	tweet	tweet
about	about	about
how	how	how
incredibly	incred	incredibly
,	,	,
ridiculously	ridicul	ridiculously
huge	huge	huge
his	his	his
successes	success	success
are	are	are
,	,	,
which	which	which
of	of	of
course	cours	course
are	are	are
the	the	the
most	most	most
successful	success	successful
of	of	of
all	all	all
time	time	time
?	?	?
Well	well	Well
,	,	,
those	those	those
are	are	are
there	there	there
,	,	,
too	too	too
,	,	,
but	but	but
I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
bore	bore	bore
you	you	you
by	by	by
re	re	re
-posting	-post	-posting
a	a	a
bunch	bunch	bunch
of	of	of
tweets	tweet	tweet
where	where	where
Trump	trump	Trump
tries	tri	try
to	to	to
Bannonize	bannon	Bannonize
the	the	the
old	old	old
nine	nine	nine
-iron	-iron	-iron
.	.	.
The	the	The
point	point	point
is	is	is
,	,	,
Trump	trump	Trump
really	realli	really
wants	want	want
to	to	to
have	have	have
it	it	it
both	both	both
ways	way	way
that	that	that
he	he	he
simultaneously	simultan	simultaneously
is	is	is
the	the	the
most	most	most
bestest	bestest	bestest
at	at	at
presidenting	presid	presidenting
,	,	,
and	and	and
that	that	that
those	those	those
dirty	dirti	dirty
demon	demon	demon
-dog	-dog	-dog
Democrats	democrat	Democrats
won	won	won
t	t	t
let	let	let
him	him	him
president	presid	president
properly	proper	properly
.	.	.
He	he	He
s	s	s
not	not	not
even	even	even
close	close	close
on	on	on
the	the	the
claim	claim	claim
that	that	that
no	no	no
A	a	A
has	has	ha
done	done	done
more	more	more
.	.	.
He	he	He
s	s	s
behind	behind	behind
Bill	bill	Bill
Clinton	clinton	Clinton
in	in	in
bills	bill	bill
passed	pass	passed
and	and	and
signed	sign	signed
by	by	by
about	about	about
30	30	30
for	for	for
this	this	this
point	point	point
in	in	in
his	his	his
presidency	presid	presidency
.	.	.
And	and	And
that	that	that
s	s	s
just	just	just
fine	fine	fine
by	by	by
me	me	me
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Drew	drew	Drew
Angerer	anger	Angerer
Getty	getti	Getty
Images	imag	Images
